Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538166018552,1834977150316754,-0.78529817,3.5865142,9.14585
android.sensor.accelerometer,1538166018563,1834977170389620,-0.7565677,3.5194764,9.02614
android.sensor.accelerometer,1538166018582,1834977190111081,-0.7469909,3.5051112,9.23683
android.sensor.accelerometer,1538166018602,1834977210295770,-0.78529817,3.5242648,9.433155
android.sensor.accelerometer,1538166018623,1834977230024418,-0.6847417,3.5625722,9.308656
android.sensor.accelerometer,1538166018643,1834977250132389,-0.5506664,3.6296098,9.102755
android.sensor.accelerometer,1538166018663,1834977269655255,-0.6464345,3.6727054,9.131485
android.sensor.accelerometer,1538166018683,1834977289907028,-0.6655881,3.6104562,9.174581
android.sensor.accelerometer,1538166018703,1834977309583540,-0.62249243,3.5577838,9.308656
android.sensor.accelerometer,1538166018722,1834977329738490,-0.7182605,3.5482068,9.222465
android.sensor.accelerometer,1538166018742,1834977349380680,-0.7134721,3.5242648,9.251195
android.sensor.accelerometer,1538166018764,1834977369500005,-0.7661445,3.4572272,9.3182335
android.sensor.accelerometer,1538166018789,1834977389223236,-0.7517793,3.5529952,9.227253
android.sensor.accelerometer,1538166018802,1834977409311936,-0.7565677,3.6296098,9.11712
android.sensor.accelerometer,1538166018823,1834977429165531,-0.6991069,3.6056678,9.14585
android.sensor.accelerometer,1538166018844,1834977449231471,-0.58418524,3.5817258,9.203311
android.sensor.accelerometer,1538166018863,1834977468944181,-0.7182605,3.5529952,9.193734
android.sensor.accelerometer,1538166018884,1834977489022360,-0.7278373,3.6152446,9.088389
android.sensor.accelerometer,1538166018903,1834977508734602,-0.80924016,3.5769374,9.102755
android.sensor.accelerometer,1538166018923,1834977528614552,-0.91458505,3.490746,9.294291
android.sensor.accelerometer,1538166018944,1834977548508616,-0.7230489,3.490746,9.3661175
android.sensor.accelerometer,1538166018965,1834977568634816,-0.5650316,3.572149,9.414001
android.sensor.accelerometer,1538166018984,1834977588149245,-0.6368576,3.6343982,9.337387
android.sensor.accelerometer,1538166019004,1834977608412216,-0.80924016,3.3806129,8.983045
android.sensor.accelerometer,1538166019022,1834977627943468,-0.8571242,3.8594532,8.834604
android.sensor.accelerometer,1538166019044,1834977648180084,-0.7469909,3.620033,8.686164
android.sensor.accelerometer,1538166019064,1834977667760607,-1.1923125,3.6487634,9.131485
android.sensor.accelerometer,1538166019081,1834977687735974,-0.770933,3.4955344,9.3661175
android.sensor.accelerometer,1538166019101,1834977707392538,-0.6799533,3.6535518,9.77792
android.sensor.accelerometer,1538166019121,1834977727454415,-1.1061212,3.6248214,9.294291
