Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538335253777,2004217084772552,0.59855044,7.9966335,4.309563
android.sensor.accelerometer,1538335253777,2004217104581616,0.6464345,8.049306,4.6591167
android.sensor.accelerometer,1538335253793,2004217124354848,0.92416185,8.063671,4.8362875
android.sensor.accelerometer,1538335253807,2004217144053600,1.3694834,8.039729,5.056554
android.sensor.accelerometer,1538335253827,2004217164222508,1.4700398,7.967903,5.3725886
android.sensor.accelerometer,1538335253846,2004217183934281,1.6711528,7.991845,5.765238
android.sensor.accelerometer,1538335253867,2004217204092251,1.7238252,7.9152308,5.8466406
android.sensor.accelerometer,1538335253891,2004217223792410,1.5562311,7.819463,5.9902925
android.sensor.accelerometer,1538335253908,2004217243761422,1.2545617,7.7428484,6.114791
android.sensor.accelerometer,1538335253926,2004217263621164,0.6943185,7.6470804,6.2392898
android.sensor.accelerometer,1538335253946,2004217283682780,-0.25378537,7.52737,6.167464
android.sensor.accelerometer,1538335253966,2004217303397157,-1.0534488,7.3071036,5.90889
android.sensor.accelerometer,1538335253986,2004217323383722,-1.8579005,7.0820484,5.889736
android.sensor.accelerometer,1538335254008,2004217343334505,-2.4851813,6.679823,5.899313
android.sensor.accelerometer,1538335254028,2004217363407788,-4.1180267,6.1100025,6.5744777
android.sensor.accelerometer,1538335254047,2004217383108728,-6.766014,5.521029,7.896077
android.sensor.accelerometer,1538335254067,2004217403183730,-8.317456,4.582502,10.658986
android.sensor.accelerometer,1538335254087,2004217422904200,-7.0820484,3.5194764,14.4849205
android.sensor.accelerometer,1538335254108,2004217442966806,-5.650316,2.8107927,18.104954
android.sensor.accelerometer,1538335254127,2004217462676444,-4.0653543,1.6519991,21.389797
android.sensor.accelerometer,1538335254146,2004217482540248,0.7469909,-1.4221559,24.061728
android.sensor.accelerometer,1538335254166,2004217502055510,6.7468605,-4.2042184,25.771187
android.sensor.accelerometer,1538335254185,2004217522099523,10.0029745,-5.21936,26.78154
android.sensor.accelerometer,1538335254204,2004217541883014,11.822568,-6.042965,25.388115
android.sensor.accelerometer,1538335254224,2004217561997339,14.197616,-5.8945246,21.150377
android.sensor.accelerometer,1538335254245,2004217581861039,15.729905,-4.975151,14.781801
android.sensor.accelerometer,1538335254263,2004217601805260,15.380352,-3.2273839,10.414778
android.sensor.accelerometer,1538335254283,2004217621375574,14.60463,-1.5514427,8.269572
android.sensor.accelerometer,1538335254303,2004217641536774,13.326127,-0.110133275,5.683835
android.sensor.accelerometer,1538335254323,2004217661243182,13.804967,1.0151415,3.6727054
android.sensor.accelerometer,1538335254343,2004217681383601,11.832145,1.5035586,2.2936451
android.sensor.accelerometer,1538335254367,2004217703133603,10.539276,2.0829554,0.93373865
android.sensor.accelerometer,1538335254389,2004217723058918,9.998186,2.9831753,-0.019153614
android.sensor.accelerometer,1538335254404,2004217741118034,8.408437,3.9217024,-1.2401965
android.sensor.accelerometer,1538335254424,2004217761052151,7.0102224,4.3287168,-1.7190368
android.sensor.accelerometer,1538335254446,2004217780691059,6.2249246,4.5633483,-1.6567876
android.sensor.accelerometer,1538335254465,2004217800766217,5.971139,5.1571107,-1.8626889
android.sensor.accelerometer,1538335254484,2004217820663823,5.4779334,5.631162,-2.2601264
android.sensor.accelerometer,1538335254505,2004217840734034,4.7022123,5.861006,-2.8443117
android.sensor.accelerometer,1538335254525,2004217860450442,3.9695864,6.0238113,-3.4237084
android.sensor.accelerometer,1538335254547,2004217882174298,3.6631286,6.421249,-4.0222588
android.sensor.accelerometer,1538335254565,2004217900019612,3.4045548,7.0341644,-3.892972
android.sensor.accelerometer,1538335254584,2004217920268781,3.1794999,7.2544312,-3.9121256
android.sensor.accelerometer,1538335254605,2004217939602116,3.122039,7.0245876,-3.7588966
android.sensor.accelerometer,1538335254624,2004217960414150,2.8682537,6.5265937,-3.4045548
android.sensor.accelerometer,1538335254645,2004217979742120,2.8299465,5.8705826,-3.5098996
android.sensor.accelerometer,1538335254666,2004218000080768,2.8060043,5.1810527,-4.381389
android.sensor.accelerometer,1538335254685,2004218021174677,2.4468741,4.414908,-5.3486466
android.sensor.accelerometer,1538335254704,2004218039613428,2.4372973,3.643975,-6.3206925
android.sensor.accelerometer,1538335254727,2004218061133222,2.6192567,2.6001031,-7.345411
android.sensor.accelerometer,1538335254743,2004218079218276,2.9017725,1.1444284,-7.216124
android.sensor.accelerometer,1538335254763,2004218099135518,3.6583402,-0.48841715,-5.884948
android.sensor.accelerometer,1538335254785,2004218119508072,3.9552212,-2.1068976,-4.721366
android.sensor.accelerometer,1538335254803,2004218138702553,4.5202527,-3.8881836,-4.721366
android.sensor.accelerometer,1538335254822,2004218158773805,5.185841,-6.3206925,-5.434838
android.sensor.accelerometer,1538335254845,2004218178469328,6.727707,-9.706094,-6.5744777
android.sensor.accelerometer,1538335254865,2004218198531309,11.616667,-15.437813,-8.566454
android.sensor.accelerometer,1538335254882,2004218218056936,18.646044,-22.49113,-12.157756
android.sensor.accelerometer,1538335254901,2004218238323604,29.793446,-32.829292,-16.050728
android.sensor.accelerometer,1538335254922,2004218257884440,41.75488,-42.33906,-17.937359
android.sensor.accelerometer,1538335254942,2004218278066421,55.430557,-49.93347,-22.213404
android.sensor.accelerometer,1538335254962,2004218297613142,71.30891,-58.231773,-26.149471
android.sensor.accelerometer,1538335254982,2004218317643612,72.956116,-60.247692,-34.37595
android.sensor.accelerometer,1538335255001,2004218337471687,65.83576,-68.57951,-42.79396
android.sensor.accelerometer,1538335255021,2004218357472002,62.273186,-72.09899,-48.31499
android.sensor.accelerometer,1538335255042,2004218377401847,52.375557,-76.39419,-46.653416
android.sensor.accelerometer,1538335255061,2004218397396224,52.686802,-80.62714,-32.75747
android.sensor.accelerometer,1538335255081,2004218417106018,62.905254,-78.58249,-11.343728
android.sensor.accelerometer,1538335255102,2004218437245291,60.113617,-70.22194,2.3080103
android.sensor.accelerometer,1538335255123,2004218456992428,55.57421,-60.8223,10.520123
android.sensor.accelerometer,1538335255141,2004218476955816,45.925575,-47.02691,23.118412
android.sensor.accelerometer,1538335255163,2004218496973578,36.43975,-34.112587,30.420727
android.sensor.accelerometer,1538335255183,2004218516535559,27.26038,-28.246792,22.151154
android.sensor.accelerometer,1538335255202,2004218536245978,17.085024,-24.353819,13.733141
android.sensor.accelerometer,1538335255222,2004218556983532,4.9464207,-19.450495,12.559982
android.sensor.accelerometer,1538335255242,2004218577020878,-3.5338416,-14.341269,13.081918
android.sensor.accelerometer,1538335255263,2004218596984942,-6.9527617,-10.888829,12.617443
android.sensor.accelerometer,1538335255283,2004218616992340,-7.4363904,-7.3406224,11.013328
android.sensor.accelerometer,1538335255301,2004218635860102,-5.971139,-4.3478703,10.280702
android.sensor.accelerometer,1538335255321,2004218656995365,-4.1611223,-1.982399,10.936713
android.sensor.accelerometer,1538335255341,2004218676994221,-3.2609026,-0.20111294,10.831368
android.sensor.accelerometer,1538335255358,2004218695375473,-3.9552212,1.1109096,9.476251
android.sensor.accelerometer,1538335255379,2004218715479589,-5.3486466,2.1452048,7.6135616
android.sensor.accelerometer,1538335255405,2004218735333810,-6.823475,3.8163576,5.837064
android.sensor.accelerometer,1538335255417,2004218755307198,-6.7324953,4.43885,4.3766007
android.sensor.accelerometer,1538335255438,2004218775179700,-5.8322754,5.161899,3.4284968
android.sensor.accelerometer,1538335255459,2004218794990274,-5.185841,6.3781533,3.3854012
android.sensor.accelerometer,1538335255478,2004218814661474,-4.3861775,6.445191,3.4763808
android.sensor.accelerometer,1538335255497,2004218834732049,-3.4332852,6.38773,3.514688
android.sensor.accelerometer,1538335255515,2004218854437572,-2.5570073,6.1770406,3.040636
android.sensor.accelerometer,1538335255536,2004218874657157,-1.5849615,7.1395097,2.135628
android.sensor.accelerometer,1538335255556,2004218894322628,-1.4413095,7.73806,1.2976574
android.sensor.accelerometer,1538335255577,2004218914558620,-1.6998832,8.465898,1.7477672
android.sensor.accelerometer,1538335255596,2004218934172840,-1.1348516,8.839393,2.3080103
android.sensor.accelerometer,1538335255623,2004218954245707,-0.2633622,9.045294,2.231396
android.sensor.accelerometer,1538335255642,2004218974023313,1.3790601,10.127473,2.480393
android.sensor.accelerometer,1538335255656,2004218993906023,3.9456444,10.673351,2.207454
android.sensor.accelerometer,1538335255677,2004219013715713,5.4539914,11.482592,1.7238252
android.sensor.accelerometer,1538335255697,2004219033769204,5.9280434,11.999739,1.7286136
android.sensor.accelerometer,1538335255716,2004219053564988,8.154651,10.994174,2.4277205
android.sensor.accelerometer,1538335255736,2004219073621917,8.585608,11.602302,4.5154643
android.sensor.accelerometer,1538335255758,2004219093358794,5.9759274,11.650186,5.1762643
android.sensor.accelerometer,1538335255776,2004219113326973,5.6215854,11.075577,5.3199162
android.sensor.accelerometer,1538335255795,2004219132886506,6.033388,10.13705,5.1475334
android.sensor.accelerometer,1538335255815,2004219153175362,4.5058875,9.840169,4.7022123
android.sensor.accelerometer,1538335255835,2004219172899166,4.1802764,9.619903,3.8163576
android.sensor.accelerometer,1538335255856,2004219192871043,4.3239284,8.925584,3.0119057
android.sensor.accelerometer,1538335255875,2004219212587764,3.5482068,9.045294,2.858677
android.sensor.accelerometer,1538335255895,2004219232632922,2.4851813,9.169792,3.3039982
android.sensor.accelerometer,1538335255915,2004219252343132,2.2505496,9.064447,3.5865142
android.sensor.accelerometer,1538335255934,2004219272354645,2.1691468,9.040505,3.5098996
android.sensor.accelerometer,1538335255954,2004219292183814,1.6519991,9.375694,3.3375173
android.sensor.accelerometer,1538335255977,2004219313726264,1.6424223,9.3661175,3.0214825
android.sensor.accelerometer,1538335255994,2004219331959234,1.1444284,9.758766,3.3758245
android.sensor.accelerometer,1538335256015,2004219352097153,1.4221559,9.514558,3.4141316
android.sensor.accelerometer,1538335256035,2004219371735696,1.7860745,9.557653,3.4524388
android.sensor.accelerometer,1538335256054,2004219391801792,2.1499932,9.643845,3.3758245
android.sensor.accelerometer,1538335256074,2004219411549503,2.0111294,9.160215,2.8682537
android.sensor.accelerometer,1538335256094,2004219431616640,0.8619126,9.514558,3.6391866
android.sensor.accelerometer,1538335256116,2004219452760548,1.3359646,9.3182335,4.156334
android.sensor.accelerometer,1538335256136,2004219473272009,1.2018893,9.11712,3.7110126
android.sensor.accelerometer,1538335256156,2004219491153156,0.9768343,9.303867,3.4380736
android.sensor.accelerometer,1538335256177,2004219511219356,0.9911995,9.3661175,3.1172507
android.sensor.accelerometer,1538335256198,2004219532752483,1.1444284,9.112331,2.743755
android.sensor.accelerometer,1538335256216,2004219552819048,0.8619126,9.169792,2.858677
android.sensor.accelerometer,1538335256236,2004219572542123,0.7086837,9.255983,3.1842883
android.sensor.accelerometer,1538335256255,2004219592579312,0.9672575,9.404425,3.3901896
android.sensor.accelerometer,1538335256277,2004219612293585,1.0342951,9.212888,3.5913026
android.sensor.accelerometer,1538335256299,2004219632354681,0.62249243,9.284714,3.9264908
android.sensor.accelerometer,1538335256316,2004219652068849,0.46447513,9.303867,3.8738184
android.sensor.accelerometer,1538335256338,2004219671905414,0.45968673,9.165004,3.6727054
android.sensor.accelerometer,1538335256358,2004219691860833,0.34955344,9.251195,3.6008794
android.sensor.accelerometer,1538335256376,2004219711923335,0.22026655,9.179369,3.2944214
android.sensor.accelerometer,1538335256395,2004219729817503,0.5554548,9.169792,2.9113493
android.sensor.accelerometer,1538335256415,2004219751675109,0.35434186,9.289502,2.5234885
android.sensor.accelerometer,1538335256436,2004219771413705,0.10055647,9.323022,2.5474305
android.sensor.accelerometer,1538335256456,2004219791461207,0.10055647,9.241618,2.9257145
android.sensor.accelerometer,1538335256472,2004219809370688,0.16280572,9.203311,3.3375173
android.sensor.accelerometer,1538335256495,2004219831242669,0.24420857,9.227253,3.3662477
android.sensor.accelerometer,1538335256514,2004219850955640,0.1388637,9.32781,3.1555579
android.sensor.accelerometer,1538335256537,2004219871015330,0.2633622,9.41879,2.5234885
android.sensor.accelerometer,1538335256556,2004219890726790,0.17717093,9.500193,2.0159178
android.sensor.accelerometer,1538335256572,2004219909017469,0.25378537,9.495404,2.384625
android.sensor.accelerometer,1538335256596,2004219930523721,0.05746084,9.390059,2.8538885
android.sensor.accelerometer,1538335256612,2004219948821379,-0.009576807,9.380483,3.0310593
android.sensor.accelerometer,1538335256632,2004219968485131,0.15322891,9.3421755,2.9017725
android.sensor.accelerometer,1538335256656,2004219989312893,0.12928689,9.428367,2.7581203
android.sensor.accelerometer,1538335256670,2004220008139666,-0.23463176,9.442732,2.456451
android.sensor.accelerometer,1538335256690,2004220028163522,-0.34476504,9.385271,2.5234885
android.sensor.accelerometer,1538335256711,2004220047750868,-0.49320555,9.361329,2.7006595
android.sensor.accelerometer,1538335256730,2004220067940766,-0.320823,9.375694,2.8107927
android.sensor.accelerometer,1538335256750,2004220087657903,-0.23463176,9.361329,2.5713725
android.sensor.accelerometer,1538335256770,2004220107721707,-0.23942018,9.423578,2.566584
android.sensor.accelerometer,1538335256790,2004220127436084,-0.29688102,9.3421755,2.9831753
android.sensor.accelerometer,1538335256811,2004220147492961,-0.29209262,9.126697,3.2848446
android.sensor.accelerometer,1538335256830,2004220167322182,-0.78529817,9.227253,3.0119057
