Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335232538,2004195864254343,-0.49749365,1.0471869,0.85756403
android.sensor.gyroscope,1538335232552,2004195883515595,-0.67220235,1.1654348,1.0269462
android.sensor.gyroscope,1538335232567,2004195903583618,-0.7169448,1.1270841,1.1824796
android.sensor.gyroscope,1538335232586,2004195923553360,-0.56247675,1.2932705,1.4626527
android.sensor.gyroscope,1538335232606,2004195943320758,-0.67752886,1.4125837,1.7055404
android.sensor.gyroscope,1538335232625,2004195963314510,-1.0173585,1.5265706,1.9739952
android.sensor.gyroscope,1538335232645,2004195983169407,-1.1899366,1.550007,2.3116944
android.sensor.gyroscope,1538335232668,2004196003174097,-1.1153659,1.3305559,2.6291528
android.sensor.gyroscope,1538335232686,2004196022978318,-1.1015171,1.2708993,2.90613
android.sensor.gyroscope,1538335232706,2004196042844517,-1.3092499,1.4264326,3.2310457
android.sensor.gyroscope,1538335232725,2004196062694728,-1.6075331,1.5159175,3.2853758
android.sensor.gyroscope,1538335232745,2004196082534782,-1.7406952,1.8600085,3.2523515
android.sensor.gyroscope,1538335232766,2004196102561242,-1.7353687,2.0134113,3.0233128
android.sensor.gyroscope,1538335232786,2004196122576765,-1.7300422,2.0528271,2.848604
android.sensor.gyroscope,1538335232806,2004196142319736,-1.3380129,1.9857135,3.0126598
android.sensor.gyroscope,1538335232826,2004196162355675,-0.61041516,1.4711751,3.2246537
android.sensor.gyroscope,1538335232846,2004196182224115,0.17683929,0.8479764,3.3279877
android.sensor.gyroscope,1538335232865,2004196202017294,0.53371376,0.30360964,3.3162694
android.sensor.gyroscope,1538335232886,2004196222045004,0.85436815,0.14381509,3.3002899
android.sensor.gyroscope,1538335232905,2004196241736048,1.442412,0.26845482,3.1127977
android.sensor.gyroscope,1538335232926,2004196261793133,2.163618,0.5731298,2.8645835
android.sensor.gyroscope,1538335232946,2004196281702979,2.4746847,0.6668759,2.5769532
android.sensor.gyroscope,1538335232966,2004196301437824,2.9253054,0.43037996,2.1838586
android.sensor.gyroscope,1538335232985,2004196321300483,3.5751364,-0.009587673,1.9249916
android.sensor.gyroscope,1538335233006,2004196341392776,3.956513,0.08309316,1.5255052
android.sensor.gyroscope,1538335233028,2004196361277258,3.8542442,0.7691444,1.0589051
android.sensor.gyroscope,1538335233046,2004196380896843,3.6209443,1.180349,0.85010695
android.sensor.gyroscope,1538335233069,2004196402391637,3.4345174,1.1057782,0.7126837
android.sensor.gyroscope,1538335233088,2004196421317055,3.286441,0.8319969,0.47831833
android.sensor.gyroscope,1538335233109,2004196441230859,3.2704616,0.6828553,0.15766394
android.sensor.gyroscope,1538335233127,2004196461084976,3.2086744,0.85330284,-0.15127216
android.sensor.gyroscope,1538335233146,2004196480404301,3.1298423,0.986465,-0.31745848
android.sensor.gyroscope,1538335233168,2004196502239407,3.06699,0.8522375,-0.36965802
android.sensor.gyroscope,1538335233186,2004196520245763,2.916783,0.818148,-0.3813763
android.sensor.gyroscope,1538335233208,2004196542043578,2.7250295,1.0322727,-0.28763017
android.sensor.gyroscope,1538335233225,2004196559944569,2.5769532,1.1792837,-0.1395539
android.sensor.gyroscope,1538335233249,2004196581754363,2.5109048,1.1206924,-0.18855755
android.sensor.gyroscope,1538335233263,2004196599498010,2.407571,1.0269462,-0.33663383
android.sensor.gyroscope,1538335233284,2004196619494262,2.2040994,0.8319969,-0.43677175
android.sensor.gyroscope,1538335233302,2004196639359369,2.00915,0.63065577,-0.38670278
android.sensor.gyroscope,1538335233323,2004196659447027,1.7428257,0.5816521,-0.3185238
android.sensor.gyroscope,1538335233343,2004196679306768,1.2943357,0.7329243,-0.29508725
android.sensor.gyroscope,1538335233362,2004196699134687,0.77020967,0.789385,-0.22903883
android.sensor.gyroscope,1538335233385,2004196718815626,0.351548,0.5816521,-0.16725162
android.sensor.gyroscope,1538335233401,2004196738845524,-0.053264845,0.18110047,-0.19175345
android.sensor.gyroscope,1538335233422,2004196758863443,-0.60402334,-0.29082605,-0.17790459
android.sensor.gyroscope,1538335233442,2004196778722612,-1.2059162,-0.7808626,-0.07457078
android.sensor.gyroscope,1538335233462,2004196798577666,-1.8120701,-1.3550577,0.07457078
android.sensor.gyroscope,1538335233484,2004196818503709,-2.5172966,-1.9676034,0.29828313
android.sensor.gyroscope,1538335233503,2004196838433190,-3.4419744,-2.5588431,0.54330146
android.sensor.gyroscope,1538335233523,2004196858297724,-4.377305,-3.350359,0.9278736
android.sensor.gyroscope,1538335233546,2004196878155590,-4.964284,-4.494488,1.5702477
android.sensor.gyroscope,1538335233562,2004196898066061,-5.5555234,-5.656727,2.396918
android.sensor.gyroscope,1538335233582,2004196917963042,-6.3949776,-6.9489317,3.383383
android.sensor.gyroscope,1538335233604,2004196937848669,-7.5902405,-8.475502,4.5605364
android.sensor.gyroscope,1538335233625,2004196957783984,-8.541551,-9.07633,5.5150423
android.sensor.gyroscope,1538335233644,2004196977781486,-9.264888,-8.8323765,5.7004037
android.sensor.gyroscope,1538335233663,2004196997601383,-9.987159,-8.01849,5.539544
android.sensor.gyroscope,1538335233683,2004197017406385,-10.4846525,-6.9617157,4.9845243
android.sensor.gyroscope,1538335233704,2004197037352377,-11.140876,-6.381129,4.0513244
android.sensor.gyroscope,1538335233724,2004197057233941,-11.853559,-5.1816044,3.10321
android.sensor.gyroscope,1538335233741,2004197077116391,-12.416036,-3.789261,2.4352689
android.sensor.gyroscope,1538335233762,2004197097025872,-13.3449745,-1.5830313,1.0855376
android.sensor.gyroscope,1538335233782,2004197117077697,-14.267522,1.3380129,-1.8472248
android.sensor.gyroscope,1538335233811,2004197136465824,-13.922365,2.3511102,-5.098511
android.sensor.gyroscope,1538335233822,2004197157138587,-12.32442,1.2517239,-7.034156
android.sensor.gyroscope,1538335233842,2004197177093745,-11.292148,0.4218576,-8.596947
android.sensor.gyroscope,1538335233865,2004197197107705,-10.470803,-0.312132,-8.945298
android.sensor.gyroscope,1538335233880,2004197216026197,-8.392409,1.0983212,-8.691758
android.sensor.gyroscope,1538335233904,2004197236897605,-3.816959,1.9004897,-8.8323765
android.sensor.gyroscope,1538335233920,2004197257094743,1.862139,-1.0876682,-8.078147
android.sensor.gyroscope,1538335233941,2004197276002140,3.6933844,-2.1923811,-6.1893754
android.sensor.gyroscope,1538335233961,2004197297103601,3.0488799,-0.82453984,-3.881942
android.sensor.gyroscope,1538335233981,2004197317104488,2.4672277,-0.2066676,-1.9026203
android.sensor.gyroscope,1538335234000,2004197336930948,1.7843723,0.19814523,-1.1398677
android.sensor.gyroscope,1538335234020,2004197356677305,1.2432015,0.60934985,-1.1143006
android.sensor.gyroscope,1538335234042,2004197377106317,0.94704896,1.3305559,-0.62639457
android.sensor.gyroscope,1538335234064,2004197397092048,0.6903124,1.9580158,-0.09907261
android.sensor.gyroscope,1538335234084,2004197417069602,0.40481284,2.083721,0.22158176
android.sensor.gyroscope,1538335234104,2004197436964136,0.31319728,1.8461596,0.3824416
android.sensor.gyroscope,1538335234123,2004197456881221,0.33343795,1.5830313,0.49749365
android.sensor.gyroscope,1538335234140,2004197474893723,0.35580918,1.4978075,0.52945256
android.sensor.gyroscope,1538335234164,2004197496621954,0.31532788,1.4615874,0.49749365
android.sensor.gyroscope,1538335234179,2004197514684612,0.16725162,1.6895609,0.46127358
android.sensor.gyroscope,1538335234202,2004197536396698,-0.0692443,2.0997002,0.40268224
android.sensor.gyroscope,1538335234223,2004197556259408,-0.25034478,2.0560231,0.26206306
android.sensor.gyroscope,1538335234242,2004197574366493,-0.25034478,1.6671897,0.19707993
android.sensor.gyroscope,1538335234263,2004197596075610,0.04154658,1.2080467,0.07776668
android.sensor.gyroscope,1538335234278,2004197614072903,0.5230608,0.9672896,-0.0692443
android.sensor.gyroscope,1538335234300,2004197636169208,0.7542302,0.88739234,-0.067113705
android.sensor.gyroscope,1538335234319,2004197655666137,0.6572882,0.886327,-0.13103153
android.sensor.gyroscope,1538335234340,2004197675248795,0.26952013,1.1377372,-0.24821419
android.sensor.gyroscope,1538335234357,2004197693683015,-0.14168449,1.3838208,-0.30147904
android.sensor.gyroscope,1538335234382,2004197715383174,-0.25780186,1.4551957,-0.33237264
android.sensor.gyroscope,1538335234402,2004197735303124,-0.10013791,1.2186997,-0.39735577
android.sensor.gyroscope,1538335234422,2004197755180626,0.122509144,0.92680836,-0.3771151
android.sensor.gyroscope,1538335234438,2004197774354534,0.24927948,0.79471153,-0.3163932
android.sensor.gyroscope,1538335234459,2004197793243911,0.29295665,0.7883197,-0.32811147
android.sensor.gyroscope,1538335234480,2004197814850840,0.28763017,0.73931605,-0.3472868
android.sensor.gyroscope,1538335234497,2004197832887821,0.31319728,0.60828453,-0.3856375
android.sensor.gyroscope,1538335234519,2004197854601208,0.3057402,0.48044893,-0.37604982
android.sensor.gyroscope,1538335234539,2004197874488710,0.22051647,0.35367858,-0.33876443
android.sensor.gyroscope,1538335234559,2004197894382619,0.070309594,0.3494174,-0.29082605
android.sensor.gyroscope,1538335234580,2004197914266735,-0.11079088,0.43677175,-0.19814523
android.sensor.gyroscope,1538335234599,2004197934152258,-0.24501829,0.51240784,-0.17683929
android.sensor.gyroscope,1538335234619,2004197954077416,-0.26952013,0.506016,-0.18216577
android.sensor.gyroscope,1538335234639,2004197973849189,-0.23543063,0.41226992,-0.19388404
android.sensor.gyroscope,1538335234659,2004197993789660,-0.25886714,0.36859274,-0.25886714
android.sensor.gyroscope,1538335234678,2004198013714089,-0.32491556,0.38670278,-0.2823037
android.sensor.gyroscope,1538335234700,2004198033597997,-0.30893612,0.36859274,-0.20347172
android.sensor.gyroscope,1538335234718,2004198053483832,-0.19175345,0.33130735,-0.12783563
android.sensor.gyroscope,1538335234739,2004198073373209,-0.08096257,0.3472868,-0.05646074
android.sensor.gyroscope,1538335234759,2004198093274305,0.009587673,0.3185238,0.033024207
android.sensor.gyroscope,1538335234779,2004198112913578,0.08735435,0.23330003,0.035154797
android.sensor.gyroscope,1538335234798,2004198133037226,0.14488038,0.18110047,-0.036220096
android.sensor.gyroscope,1538335234819,2004198153299363,0.13209683,0.23543063,-0.07883197
android.sensor.gyroscope,1538335234839,2004198172843949,0.07350549,0.24501829,-0.07457078
android.sensor.gyroscope,1538335234858,2004198192744419,0.050068956,0.23116943,-0.06604841
android.sensor.gyroscope,1538335234878,2004198212593744,0.07457078,0.22051647,-0.08096257
android.sensor.gyroscope,1538335234893,2004198230551246,-0.0010652969,0.22797355,-0.067113705
android.sensor.gyroscope,1538335234913,2004198250413331,-0.1395539,0.21732058,-0.033024207
android.sensor.gyroscope,1538335234933,2004198270277864,-0.21945117,0.2087982,-0.053264845
android.sensor.gyroscope,1538335234953,2004198290250575,-0.21305938,0.15020686,-0.12570503
android.sensor.gyroscope,1538335234973,2004198310116410,-0.15872924,0.06178722,-0.119313255
android.sensor.gyroscope,1538335234994,2004198330067766,-0.15446806,0.07457078,-0.1033338
android.sensor.gyroscope,1538335235015,2004198349974852,-0.19601464,0.10972559,-0.057526033
android.sensor.gyroscope,1538335235034,2004198369833239,-0.23436533,0.07244019,-0.064983115
android.sensor.gyroscope,1538335235062,2004198389521001,-0.25034478,0.07457078,-0.1054644
android.sensor.gyroscope,1538335235072,2004198409505222,-0.31958908,0.19388404,-0.13635801
android.sensor.gyroscope,1538335235093,2004198430011630,-0.36646214,0.25673655,-0.11292148
android.sensor.gyroscope,1538335235114,2004198449185538,-0.33663383,0.25354066,-0.08522376
android.sensor.gyroscope,1538335235131,2004198468984082,-0.3206544,0.22584295,-0.09800732
android.sensor.gyroscope,1538335235152,2004198489205491,-0.41013932,0.26952013,-0.11505207
