Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538335383377,2004346687090411,-2.0159178,8.762778,-0.5506664
android.sensor.accelerometer,1538335383377,2004346706896923,-2.0590134,8.317456,-0.7038953
android.sensor.accelerometer,1538335383389,2004346726600675,-2.4947581,8.111555,-1.7190368
android.sensor.accelerometer,1538335383410,2004346746761927,-2.9017725,7.8386164,-2.303222
android.sensor.accelerometer,1538335383431,2004346766660210,-3.3854012,7.321469,-2.3942018
android.sensor.accelerometer,1538335383449,2004346786321723,-3.6152446,6.9623384,-2.6623523
android.sensor.accelerometer,1538335383469,2004346806384850,-3.8019924,6.7133417,-2.6001031
android.sensor.accelerometer,1538335383491,2004346826040737,-3.8786068,6.3063273,-2.3989902
android.sensor.accelerometer,1538335383509,2004346846158343,-3.5338416,5.8562174,-2.3415294
android.sensor.accelerometer,1538335383529,2004346865996418,-3.1028855,5.329493,-2.4899697
android.sensor.accelerometer,1538335383549,2004346885931941,-3.0885203,5.080496,-2.7150247
android.sensor.accelerometer,1538335383568,2004346905819912,-3.016694,4.9081135,-3.1986535
android.sensor.accelerometer,1538335383591,2004346925903091,-2.006341,5.722142,-3.4620156
android.sensor.accelerometer,1538335383609,2004346945635072,-0.59376204,6.588843,-4.4580035
android.sensor.accelerometer,1538335383630,2004346965666845,2.336741,7.867347,-6.3446345
android.sensor.accelerometer,1538335383649,2004346985558722,5.645528,9.131485,-7.2209125
android.sensor.accelerometer,1538335383669,2004347005330286,9.198523,10.749966,-8.571242
android.sensor.accelerometer,1538335383689,2004347025237371,10.682928,12.109872,-11.286267
android.sensor.accelerometer,1538335383709,2004347045076436,9.725247,12.761095,-12.0332575
android.sensor.accelerometer,1538335383728,2004347064980448,7.905654,12.641385,-11.300632
android.sensor.accelerometer,1538335383748,2004347084981857,6.277597,12.631808,-11.812991
android.sensor.accelerometer,1538335383781,2004347104494098,5.463568,12.612655,-11.147403
android.sensor.accelerometer,1538335383787,2004347124561027,5.568913,12.26789,-7.3549876
android.sensor.accelerometer,1538335383807,2004347144247487,5.353435,11.9853735,-2.657564
android.sensor.accelerometer,1538335383827,2004347164348062,5.401319,12.0093155,-1.163582
android.sensor.accelerometer,1538335383847,2004347184265512,4.343082,12.263102,-1.5514427
android.sensor.accelerometer,1538335383867,2004347204166139,3.1268275,12.220005,-3.1364043
android.sensor.accelerometer,1538335383887,2004347224004943,2.1691468,12.540829,-4.807557
android.sensor.accelerometer,1538335383908,2004347243752289,0.8762778,12.53604,-5.363012
android.sensor.accelerometer,1538335383926,2004347263748124,0.019153614,12.636597,-5.2002063
android.sensor.accelerometer,1538335383946,2004347283713283,-1.1875241,12.4785795,-4.5777135
android.sensor.accelerometer,1538335383967,2004347303608858,-1.4269443,12.378023,-4.644751
android.sensor.accelerometer,1538335383991,2004347325280318,-1.5514427,12.08593,-5.1762643
android.sensor.accelerometer,1538335384016,2004347343345893,-2.681506,11.563994,-4.175488
android.sensor.accelerometer,1538335384032,2004347365148812,-3.3854012,10.539276,-2.6431987
android.sensor.accelerometer,1538335384053,2004347385053241,-4.4915223,9.279925,-1.1827357
android.sensor.accelerometer,1538335384069,2004347403138920,-4.3047748,7.9822683,-1.5993267
android.sensor.accelerometer,1538335384091,2004347424836995,-5.118803,6.7564373,-1.484405
android.sensor.accelerometer,1538335384107,2004347442921371,-6.445191,6.019023,-1.0630256
android.sensor.accelerometer,1538335384129,2004347464608821,-7.513005,5.6407394,-1.091756
android.sensor.accelerometer,1538335384152,2004347484510594,-6.9958572,5.2289367,-1.6376339
android.sensor.accelerometer,1538335384172,2004347504402940,-5.7987566,4.2999864,-1.5466543
android.sensor.accelerometer,1538335384190,2004347524274661,-4.9224787,3.5194764,0.047884032
android.sensor.accelerometer,1538335384207,2004347542024142,-4.687847,3.2992098,2.0015526
android.sensor.accelerometer,1538335384226,2004347561931487,-4.663905,3.6391866,4.2760444
android.sensor.accelerometer,1538335384245,2004347582019719,-4.855441,3.8642416,5.7365074
android.sensor.accelerometer,1538335384265,2004347601943418,-5.243302,4.1706996,5.765238
android.sensor.accelerometer,1538335384285,2004347621855087,-5.554548,4.5777135,4.984728
android.sensor.accelerometer,1538335384305,2004347641743006,-5.1571107,4.606444,4.831499
android.sensor.accelerometer,1538335384325,2004347661633789,-4.6830587,4.6160207,5.497087
android.sensor.accelerometer,1538335384346,2004347681466135,-4.261679,4.644751,5.6646814
android.sensor.accelerometer,1538335384365,2004347701362855,-4.185065,4.525041,5.4061074
android.sensor.accelerometer,1538335384385,2004347721303170,-4.027047,3.6966474,5.5018754
android.sensor.accelerometer,1538335384404,2004347741135932,-3.8738184,2.3319526,5.6215854
android.sensor.accelerometer,1538335384425,2004347761038799,-3.3566709,0.9624691,5.9280434
