Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335397717,2004361026580276,2.525819,-6.967042,0.13103153
android.sensor.gyroscope,1538335397717,2004361046474757,2.1753364,-6.9041896,0.14488038
android.sensor.gyroscope,1538335397735,2004361066185644,1.7098016,-6.5750127,0.11079088
android.sensor.gyroscope,1538335397751,2004361086170178,1.2261568,-5.9795117,0.16085984
android.sensor.gyroscope,1538335397768,2004361106061169,0.92041653,-5.7110567,0.12996623
android.sensor.gyroscope,1538335397789,2004361125971848,0.818148,-5.7621913,-0.011718267
android.sensor.gyroscope,1538335397808,2004361145919454,0.95024484,-5.8964186,-0.06604841
android.sensor.gyroscope,1538335397829,2004361165758883,1.1835449,-5.7621913,-0.03835069
android.sensor.gyroscope,1538335397850,2004361185674250,0.9491796,-5.097446,-0.1022685
android.sensor.gyroscope,1538335397869,2004361205597533,0.26738954,-4.424178,-0.19601464
android.sensor.gyroscope,1538335397889,2004361225523056,-0.28549957,-4.1802254,-0.32811147
android.sensor.gyroscope,1538335397909,2004361245448058,-0.41226992,-4.275037,-0.4847101
android.sensor.gyroscope,1538335397929,2004361265310091,-0.15446806,-4.4572024,-0.63917816
android.sensor.gyroscope,1538335397949,2004361285360354,0.057526033,-4.553079,-0.7979074
android.sensor.gyroscope,1538335397968,2004361304928220,0.02130594,-4.5861034,-0.907633
android.sensor.gyroscope,1538335397988,2004361324950410,-0.08096257,-4.4785085,-0.8479764
android.sensor.gyroscope,1538335398009,2004361344829214,-0.09694202,-4.198335,-0.92574304
android.sensor.gyroscope,1538335398029,2004361364716299,-0.094811425,-3.8105671,-1.0333381
android.sensor.gyroscope,1538335398048,2004361384677551,-0.15766394,-3.375926,-1.0589051
android.sensor.gyroscope,1538335398068,2004361404514897,-0.14488038,-3.1628666,-1.1686307
android.sensor.gyroscope,1538335398088,2004361424393961,-0.11505207,-3.1660626,-1.2570504
android.sensor.gyroscope,1538335398109,2004361444462453,-0.14381509,-2.9732437,-1.191002
android.sensor.gyroscope,1538335398130,2004361464332142,-0.26952013,-2.5769532,-1.0716888
android.sensor.gyroscope,1538335398149,2004361484120894,-0.5305179,-2.1252675,-0.9790079
android.sensor.gyroscope,1538335398170,2004361504198917,-0.7851238,-1.728977,-0.7755362
android.sensor.gyroscope,1538335398189,2004361524059961,-0.9768773,-1.5670518,-0.6977695
android.sensor.gyroscope,1538335398210,2004361543949338,-0.975812,-1.7694582,-0.6327864
android.sensor.gyroscope,1538335398232,2004361563426996,-0.85010695,-1.754544,-0.6317211
android.sensor.gyroscope,1538335398250,2004361583726269,-0.7883197,-1.2027203,-0.7670138
android.sensor.gyroscope,1538335398275,2004361605657990,-0.78618914,-0.68924713,-0.9523755
android.sensor.gyroscope,1538335398294,2004361625192158,-0.6413088,-0.92041653,-1.09406
android.sensor.gyroscope,1538335398311,2004361643213879,-0.47938362,-1.6852998,-1.0003139
android.sensor.gyroscope,1538335398334,2004361665003829,-0.839454,-1.6085984,-0.965159
android.sensor.gyroscope,1538335398353,2004361684859873,-1.3497312,-1.2900746,-0.8064298
android.sensor.gyroscope,1538335398370,2004361703068468,-1.6927568,-1.2783563,-0.56247675
android.sensor.gyroscope,1538335398390,2004361724635970,-1.9846482,-1.4179102,-0.47831833
android.sensor.gyroscope,1538335398412,2004361744523681,-2.1966424,-1.6341655,-0.5187996
android.sensor.gyroscope,1538335398430,2004361762723370,-2.327674,-1.5777048,-0.51666903
android.sensor.gyroscope,1538335398452,2004361784369362,-2.4299424,-1.3816901,-0.5571503
android.sensor.gyroscope,1538335398472,2004361803834780,-2.4736195,-1.392343,-0.6253293
android.sensor.gyroscope,1538335398491,2004361824006137,-2.6099775,-1.492481,-0.70203066
