Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538335265159,2004228480753843,-2.5809495,8.724471,-2.9735985
android.sensor.accelerometer,1538335265172,2004228500711606,-2.4947581,8.590396,-2.9975405
android.sensor.accelerometer,1538335265186,2004228520360827,-3.145981,8.441956,-2.633622
android.sensor.accelerometer,1538335265204,2004228540458224,-3.3566709,8.322245,-2.7629087
android.sensor.accelerometer,1538335265223,2004228560137549,-2.834735,8.331821,-3.2609026
android.sensor.accelerometer,1538335265243,2004228580283905,-2.815581,8.279149,-3.0119057
android.sensor.accelerometer,1538335265263,2004228599761720,-3.0885203,8.202535,-2.3223755
android.sensor.accelerometer,1538335265284,2004228619776514,-3.2130187,8.221688,-1.7908629
android.sensor.accelerometer,1538335265302,2004228639651411,-2.96881,8.212111,-1.3742718
android.sensor.accelerometer,1538335265322,2004228659708757,-2.681506,8.2169,-0.51235914
android.sensor.accelerometer,1538335265342,2004228679434436,-2.6288335,8.379706,0.22026655
android.sensor.accelerometer,1538335265365,2004228699518344,-2.7629087,8.432379,0.4165911
android.sensor.accelerometer,1538335265385,2004228719338190,-2.777274,8.384495,0.30166942
android.sensor.accelerometer,1538335265404,2004228739121109,-3.0262709,8.327033,0.5793968
android.sensor.accelerometer,1538335265425,2004228759240486,-3.6104562,8.279149,1.5753847
android.sensor.accelerometer,1538335265445,2004228779185957,-3.8738184,8.130709,1.8387469
android.sensor.accelerometer,1538335265462,2004228798825125,-3.6535518,8.001422,1.7860745
android.sensor.accelerometer,1538335265483,2004228819004763,-3.1603463,7.627927,2.255338
android.sensor.accelerometer,1538335265502,2004228838723723,-2.4229321,7.2304893,2.6001031
android.sensor.accelerometer,1538335265523,2004228858502839,-1.8818425,6.6989765,2.705448
android.sensor.accelerometer,1538335265541,2004228878308258,-1.8387469,6.2488666,3.074155
android.sensor.accelerometer,1538335265561,2004228898451489,-1.8243817,5.66947,3.3566709
android.sensor.accelerometer,1538335265582,2004228918214512,-1.9919758,5.2002063,4.0414124
android.sensor.accelerometer,1538335265601,2004228938277743,-2.030283,4.6926355,4.582502
android.sensor.accelerometer,1538335265622,2004228957996183,-1.7429788,3.9552212,4.6591167
android.sensor.accelerometer,1538335265642,2004228978062903,-1.2497733,2.896984,4.8841715
android.sensor.accelerometer,1538335265662,2004228997757280,-0.7517793,1.9057846,5.0757074
android.sensor.accelerometer,1538335265682,2004229017816970,-0.08140286,0.79008657,5.1571107
android.sensor.accelerometer,1538335265701,2004229037524368,0.58897364,-0.56982,5.5737014
android.sensor.accelerometer,1538335265723,2004229057586401,1.8435353,-1.910573,5.8322754
android.sensor.accelerometer,1538335265743,2004229077145986,3.4715924,-3.016694,5.0278234
android.sensor.accelerometer,1538335265762,2004229097447499,6.3350577,-3.572149,4.9799395
android.sensor.accelerometer,1538335265782,2004229117138907,7.07726,-6.2249246,5.770026
android.sensor.accelerometer,1538335265804,2004229137202138,9.375694,-9.361329,4.7261543
android.sensor.accelerometer,1538335265822,2004229157091619,14.618996,-12.74673,4.5058875
android.sensor.accelerometer,1538335265844,2004229177079955,17.659632,-15.844827,6.9623384
android.sensor.accelerometer,1538335265862,2004229197040529,20.278889,-19.268536,6.871359
android.sensor.accelerometer,1538335265881,2004229217075792,22.290018,-22.620419,7.053318
android.sensor.accelerometer,1538335265901,2004229237096835,24.037785,-26.503813,4.663905
android.sensor.accelerometer,1538335265921,2004229257088765,27.356148,-29.051243,-1.484405
