Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335286178,2004249492679321,-0.39948636,-0.7084225,-0.1054644
android.sensor.gyroscope,1538335286178,2004249512624167,-0.46660006,-0.7691444,-0.039415985
android.sensor.gyroscope,1538335286195,2004249532280992,-0.5518238,-0.8085604,0.014914157
android.sensor.gyroscope,1538335286214,2004249552128702,-0.66368,-0.88313115,0.07244019
android.sensor.gyroscope,1538335286235,2004249572262611,-0.78192794,-0.8905882,0.15979454
android.sensor.gyroscope,1538335286255,2004249592176519,-0.82560515,-0.95450604,0.25567126
android.sensor.gyroscope,1538335286275,2004249612070479,-0.9289389,-0.98966086,0.29508725
android.sensor.gyroscope,1538335286296,2004249631711575,-0.94278777,-1.1089741,0.3100014
android.sensor.gyroscope,1538335286314,2004249651768973,-0.93426543,-1.230418,0.3504827
android.sensor.gyroscope,1538335286335,2004249671634391,-1.0897988,-1.1643696,0.46766534
android.sensor.gyroscope,1538335286355,2004249691522206,-1.2677033,-1.0866029,0.66900647
android.sensor.gyroscope,1538335286374,2004249711516010,-1.3731678,-0.98859555,0.82027864
android.sensor.gyroscope,1538335286395,2004249731437105,-1.3156418,-1.0290768,0.88419646
android.sensor.gyroscope,1538335286416,2004249751472003,-1.2847481,-1.1611737,0.98113847
android.sensor.gyroscope,1538335286436,2004249771340859,-1.4147143,-1.1377372,1.162239
android.sensor.gyroscope,1538335286456,2004249791238049,-1.5041993,-1.0919293,1.4157796
android.sensor.gyroscope,1538335286474,2004249810967061,-1.5020686,-0.92574304,1.6693203
android.sensor.gyroscope,1538335286494,2004249830813522,-1.4179102,-0.7286631,1.9058162
android.sensor.gyroscope,1538335286515,2004249850893888,-1.1675655,-0.7307937,2.106092
android.sensor.gyroscope,1538335286533,2004249870587276,-0.81921333,-0.7286631,2.2829313
android.sensor.gyroscope,1538335286554,2004249890251653,-0.6317211,-0.91722065,2.4235506
android.sensor.gyroscope,1538335286574,2004249910549259,-0.703096,-0.8905882,2.5663004
android.sensor.gyroscope,1538335286595,2004249930289365,-0.50388545,-0.8437152,2.8752365
android.sensor.gyroscope,1538335286616,2004249950395408,-0.02450183,-0.7936462,3.3556852
android.sensor.gyroscope,1538335286636,2004249970288484,0.35900506,-0.42718408,3.8393302
android.sensor.gyroscope,1538335286656,2004249989829683,0.74996907,-0.35580918,4.3027344
android.sensor.gyroscope,1538335286676,2004250010033331,0.83732337,-0.31958908,4.7352448
android.sensor.gyroscope,1538335286696,2004250030598958,1.1100394,-0.42718408,5.1134253
android.sensor.gyroscope,1538335286717,2004250051115523,2.0709372,-0.742512,5.270024
android.sensor.gyroscope,1538335286737,2004250071404327,3.124516,-0.84584576,5.3904023
android.sensor.gyroscope,1538335286758,2004250091289068,4.1173725,-0.59656626,5.7568645
android.sensor.gyroscope,1538335286776,2004250110095789,5.050573,-0.6072193,5.9475527
android.sensor.gyroscope,1538335286793,2004250129247197,5.8399577,-0.7084225,5.8601985
android.sensor.gyroscope,1538335286813,2004250149181366,6.454634,-0.67752886,5.8239784
android.sensor.gyroscope,1538335286835,2004250168974649,6.304427,-0.02450183,5.780301
android.sensor.gyroscope,1538335286857,2004250191231370,5.641813,0.6913777,5.4010553
android.sensor.gyroscope,1538335286875,2004250210627934,6.3012314,0.9353307,4.186617
android.sensor.gyroscope,1538335286897,2004250230534343,9.0987015,-0.10759499,2.3180861
android.sensor.gyroscope,1538335286917,2004250250410230,11.930261,-1.3017929,0.380311
android.sensor.gyroscope,1538335286933,2004250268142992,13.343909,-1.6277738,-1.2346791
android.sensor.gyroscope,1538335286951,2004250288194088,13.715698,-1.0972558,-2.7708373
android.sensor.gyroscope,1538335286971,2004250308183205,13.734874,0.10652969,-3.845722
android.sensor.gyroscope,1538335286991,2004250328083571,13.665629,1.374233,-4.4870305
android.sensor.gyroscope,1538335287011,2004250347953000,13.903191,2.648328,-4.4156556
android.sensor.gyroscope,1538335287031,2004250367836596,14.423056,4.3645215,-3.4568887
android.sensor.gyroscope,1538335287051,2004250387656442,14.746905,4.7373753,-3.1298423
android.sensor.gyroscope,1538335287070,2004250407636912,15.338145,2.2115564,-4.1088505
android.sensor.gyroscope,1538335287090,2004250427520352,15.905949,0.5571503,-5.4298186
android.sensor.gyroscope,1538335287110,2004250447351708,13.131915,3.5516999,-6.20642
android.sensor.gyroscope,1538335287129,2004250467233272,10.210871,5.7281017,-6.3438435
android.sensor.gyroscope,1538335287150,2004250487183379,10.959775,4.028953,-6.5345316
android.sensor.gyroscope,1538335287171,2004250507140464,11.270842,2.88802,-6.8722305
android.sensor.gyroscope,1538335287196,2004250528838018,10.317401,3.2512863,-6.6314735
android.sensor.gyroscope,1538335287211,2004250546897603,8.677909,4.1163073,-7.0735717
android.sensor.gyroscope,1538335287236,2004250568610574,7.4741235,3.8212202,-7.100204
android.sensor.gyroscope,1538335287255,2004250588565368,6.9329524,2.880563,-6.8509245
android.sensor.gyroscope,1538335287275,2004250608403964,5.753669,2.751662,-6.6357346
android.sensor.gyroscope,1538335287295,2004250628277768,4.3709135,2.5172966,-6.116935
android.sensor.gyroscope,1538335287315,2004250648165478,3.8403955,2.073068,-5.3211584
android.sensor.gyroscope,1538335287335,2004250668085688,3.0829694,1.9921052,-4.4518757
android.sensor.gyroscope,1538335287355,2004250687915169,1.7247157,2.0027583,-3.6113565
android.sensor.gyroscope,1538335287373,2004250707856265,1.1143006,1.6022066,-2.7676415
android.sensor.gyroscope,1538335287389,2004250725899600,0.8714129,0.9917914,-1.9505587
android.sensor.gyroscope,1538335287413,2004250747605384,0.36007038,0.6977695,-1.1292148
android.sensor.gyroscope,1538335287429,2004250765655281,-0.175774,0.556085,-0.25673655
android.sensor.gyroscope,1538335287452,2004250785626690,-0.53264844,0.3792457,0.3813763
android.sensor.gyroscope,1538335287476,2004250807278775,-0.6903124,0.27058542,0.7244019
android.sensor.gyroscope,1538335287496,2004250827186642,-0.6370476,0.12996623,0.85010695
android.sensor.gyroscope,1538335287512,2004250845222633,-0.36646214,-0.0074570784,0.85330284
android.sensor.gyroscope,1538335287531,2004250865126281,-0.23756121,0.02130594,0.7680791
android.sensor.gyroscope,1538335287553,2004250886836439,-0.25354066,0.19388404,0.6583535
android.sensor.gyroscope,1538335287570,2004250905977587,-0.506016,0.37178862,0.6285252
android.sensor.gyroscope,1538335287593,2004250926610818,-0.760622,0.51240784,0.5550197
android.sensor.gyroscope,1538335287613,2004250944652278,-0.72014076,0.3472868,0.5475626
android.sensor.gyroscope,1538335287628,2004250964304312,-0.67220235,-0.092680834,0.53690964
android.sensor.gyroscope,1538335287652,2004250986290564,-0.653027,-0.43996763,0.51240784
android.sensor.gyroscope,1538335287675,2004251006931035,-0.60082746,-0.46446946,0.53904027
android.sensor.gyroscope,1538335287692,2004251026043641,-0.77447087,-0.14914156,0.55075854
android.sensor.gyroscope,1538335287710,2004251045937809,-0.7979074,-0.009587673,0.5219955
android.sensor.gyroscope,1538335287731,2004251065825051,-0.8224092,0.0042611877,0.43890235
android.sensor.gyroscope,1538335287751,2004251085711511,-0.74890375,-0.13103153,0.41440052
android.sensor.gyroscope,1538335287768,2004251105965992,-0.5827174,-0.36752746,0.3398297
android.sensor.gyroscope,1538335287786,2004251123597400,-0.54543203,-0.4932325,0.23223473
android.sensor.gyroscope,1538335287808,2004251145245423,-0.5880439,-0.2748466,0.1725781
android.sensor.gyroscope,1538335287829,2004251165158602,-0.4527512,-0.23010413,0.16618632
android.sensor.gyroscope,1538335287847,2004251183487667,-0.36646214,-0.26312834,0.14701098
android.sensor.gyroscope,1538335287873,2004251204995013,-0.33556855,-0.18962285,0.15340276
android.sensor.gyroscope,1538335287892,2004251224936056,-0.27058542,-0.1384886,0.19921052
android.sensor.gyroscope,1538335287907,2004251243011058,-0.2098635,-0.14168449,0.21732058
android.sensor.gyroscope,1538335287931,2004251264717414,-0.12570503,-0.29402196,0.24821419
android.sensor.gyroscope,1538335287949,2004251283172520,-0.05539544,-0.36539686,0.23862651
android.sensor.gyroscope,1538335287971,2004251304482158,-0.10013791,-0.33237264,0.22051647
android.sensor.gyroscope,1538335287993,2004251324424400,-0.12144385,-0.32917675,0.16938221
android.sensor.gyroscope,1538335288012,2004251344272683,-0.19814523,-0.2844343,0.10972559
