Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538335518397,2004481710121205,0.60812724,9.749189,0.8523358
android.sensor.accelerometer,1538335518398,2004481729769176,0.48362875,9.739613,1.0151415
android.sensor.accelerometer,1538335518413,2004481749766157,0.5315128,9.68694,1.1492168
android.sensor.accelerometer,1538335518432,2004481769585430,0.56982,9.715671,1.2401965
android.sensor.accelerometer,1538335518451,2004481789529286,0.58418524,9.749189,1.2018893
android.sensor.accelerometer,1538335518472,2004481809279340,0.58897364,9.701305,1.2354081
android.sensor.accelerometer,1538335518492,2004481829356738,0.63206923,9.672575,1.2306197
android.sensor.accelerometer,1538335518513,2004481849121011,0.59855044,9.715671,1.2354081
android.sensor.accelerometer,1538335518532,2004481869154971,0.59855044,9.739613,1.2018893
android.sensor.accelerometer,1538335518552,2004481888908879,0.48362875,9.763555,1.2641385
android.sensor.accelerometer,1538335518571,2004481908857475,0.5746084,9.840169,1.2976574
android.sensor.accelerometer,1538335518593,2004481928470185,0.641646,9.825804,1.3790601
android.sensor.accelerometer,1538335518611,2004481948504458,0.7086837,9.830592,1.2545617
android.sensor.accelerometer,1538335518632,2004481968403939,0.641646,9.89763,1.0821792
android.sensor.accelerometer,1538335518652,2004481988438785,0.5793968,9.959879,1.1300632
android.sensor.accelerometer,1538335518671,2004482008184985,0.49799395,9.931149,1.2066777
android.sensor.accelerometer,1538335518692,2004482028232539,0.2681506,10.031705,1.4413095
android.sensor.accelerometer,1538335518712,2004482047933687,0.12928689,10.060435,1.5945383
android.sensor.accelerometer,1538335518731,2004482068003168,0.30645782,10.01734,1.5945383
android.sensor.accelerometer,1538335518751,2004482087720566,0.1340753,9.988609,1.541866
android.sensor.accelerometer,1538335518771,2004482107782287,0.12928689,9.940725,1.6041151
android.sensor.accelerometer,1538335518791,2004482127582497,-0.023942016,10.0029745,1.532289
android.sensor.accelerometer,1538335518812,2004482147606145,0.4261679,9.787497,0.25378537
android.sensor.accelerometer,1538335518833,2004482167378751,0.79487497,9.892841,-0.8283938
android.sensor.accelerometer,1538335518853,2004482187645888,0.6799533,9.950302,-0.9959879
android.sensor.accelerometer,1538335518874,2004482207244953,0.6751649,9.983821,-0.6847417
android.sensor.accelerometer,1538335518894,2004482227241465,0.80924016,9.931149,-0.8475474
android.sensor.accelerometer,1538335518910,2004482246900321,1.13964,9.792285,-1.7381904
android.sensor.accelerometer,1538335518930,2004482267008396,1.5514427,9.888053,-2.480393
android.sensor.accelerometer,1538335518950,2004482286725898,1.7525556,9.77792,-2.2361844
android.sensor.accelerometer,1538335518971,2004482306799806,1.9632454,9.811439,-1.6184803
android.sensor.accelerometer,1538335518994,2004482326491631,2.2026656,9.801862,-1.6280571
android.sensor.accelerometer,1538335519010,2004482346605487,1.8866309,9.768343,-1.6041151
android.sensor.accelerometer,1538335519030,2004482366274969,1.6184803,9.816227,-1.6089035
android.sensor.accelerometer,1538335519050,2004482386347106,1.7669208,9.998186,-1.4939818
android.sensor.accelerometer,1538335519073,2004482406000910,1.9632454,9.959879,-1.6280571
android.sensor.accelerometer,1538335519091,2004482426081068,1.8243817,9.825804,-1.5993267
android.sensor.accelerometer,1538335519110,2004482445808935,1.1252748,9.792285,-2.0829554
android.sensor.accelerometer,1538335519134,2004482467771906,0.91937345,9.648633,-2.6767175
android.sensor.accelerometer,1538335519150,2004482485587845,0.92416185,9.557653,-2.5187001
android.sensor.accelerometer,1538335519174,2004482507533316,0.6703765,9.370906,-2.384625
android.sensor.accelerometer,1538335519194,2004482527267849,0.24420857,9.361329,-2.1691468
android.sensor.accelerometer,1538335519213,2004482547326184,-0.090979666,9.433155,-2.896984
android.sensor.accelerometer,1538335519233,2004482567048895,-0.21547815,9.251195,-4.3143516
android.sensor.accelerometer,1538335519251,2004482585294678,-0.33039984,9.011775,-4.6782703
android.sensor.accelerometer,1538335519272,2004482606829992,-0.46926352,8.78672,-4.060566
android.sensor.accelerometer,1538335519293,2004482626879890,-0.521936,8.671799,-3.2513258
android.sensor.accelerometer,1538335519312,2004482646597496,-0.63206923,8.279149,-3.1651347
android.sensor.accelerometer,1538335519329,2004482664824582,-1.043872,8.034941,-3.6008794
android.sensor.accelerometer,1538335519352,2004482686396042,-1.460463,7.896077,-3.8355112
android.sensor.accelerometer,1538335519372,2004482706433336,-1.8243817,7.680599,-3.7445314
android.sensor.accelerometer,1538335519393,2004482726151931,-1.7621324,7.52737,-3.3566709
android.sensor.accelerometer,1538335519411,2004482746222246,-1.7525556,7.503428,-3.1890767
android.sensor.accelerometer,1538335519432,2004482765931779,-1.9919758,7.680599,-3.8115692
android.sensor.accelerometer,1538335519449,2004482783997510,-2.1643584,7.479486,-4.1706996
android.sensor.accelerometer,1538335519467,2004482803559491,-2.4229321,7.513005,-3.5051112
android.sensor.accelerometer,1538335519487,2004482823841108,-2.1930888,7.503428,-2.6240451
android.sensor.accelerometer,1538335519507,2004482843530016,-1.8052281,7.1251445,-2.0925324
android.sensor.accelerometer,1538335519527,2004482863650383,-1.6232687,6.8761473,-1.5658079
android.sensor.accelerometer,1538335519547,2004482883299395,-1.5849615,6.7085533,-1.5945383
android.sensor.accelerometer,1538335519567,2004482903366845,-1.8339585,6.5696893,-2.0254946
android.sensor.accelerometer,1538335519586,2004482923123670,-2.3223755,6.6750345,-2.0925324
android.sensor.accelerometer,1538335519607,2004482943188672,-2.552219,6.7372837,-1.9680338
android.sensor.accelerometer,1538335519627,2004482962920288,-2.078167,6.9288197,-1.2785037
android.sensor.accelerometer,1538335519649,2004482982955342,-1.460463,7.07726,-0.8523358
android.sensor.accelerometer,1538335519672,2004483004028626,-1.0965444,7.4124484,-1.067814
android.sensor.accelerometer,1538335519691,2004483024486701,-1.0103531,7.5704656,-1.4939818
android.sensor.accelerometer,1538335519710,2004483042477484,-0.6607997,7.8769236,-1.0726024
android.sensor.accelerometer,1538335519729,2004483062594309,0.009576807,8.135497,-0.22984336
android.sensor.accelerometer,1538335519753,2004483084168686,0.81881696,8.365341,0.90021986
android.sensor.accelerometer,1538335519769,2004483104211344,1.2593501,8.6334915,1.6663644
android.sensor.accelerometer,1538335519791,2004483123934106,1.9153614,8.7532015,2.1739352
android.sensor.accelerometer,1538335519808,2004483142326869,2.6144683,8.619126,2.3798366
android.sensor.accelerometer,1538335519830,2004483163904110,2.5713725,8.662222,2.1068976
android.sensor.accelerometer,1538335519853,2004483183937446,2.27928,8.475474,1.6711528
android.sensor.accelerometer,1538335519872,2004483203484479,2.1643584,8.288726,2.0733786
android.sensor.accelerometer,1538335519889,2004483222350418,2.255338,8.1881695,2.834735
android.sensor.accelerometer,1538335519909,2004483243015160,2.944868,8.173804,3.2225955
android.sensor.accelerometer,1538335519930,2004483263366933,3.1890767,8.058883,2.6192567
android.sensor.accelerometer,1538335519946,2004483281333341,3.2944214,7.762002,1.7190368
android.sensor.accelerometer,1538335519969,2004483302934697,3.7349546,7.445967,1.0726024
android.sensor.accelerometer,1538335519990,2004483320977199,4.4723687,7.513005,0.9864111
android.sensor.accelerometer,1538335520008,2004483341036784,5.023035,7.5082164,1.2018893
android.sensor.accelerometer,1538335520030,2004483363175328,5.7748146,7.297527,0.63206923
android.sensor.accelerometer,1538335520045,2004483380785799,6.2632318,7.216124,0.30166942
android.sensor.accelerometer,1538335520066,2004483400482467,6.9288197,7.3406224,-0.18195933
android.sensor.accelerometer,1538335520088,2004483422332105,8.039729,7.445967,-0.6751649
android.sensor.accelerometer,1538335520104,2004483440272628,9.32781,7.2113357,-0.33518824
android.sensor.accelerometer,1538335520125,2004483460241067,10.271125,7.393295,0.78050977
android.sensor.accelerometer,1538335520146,2004483481906903,10.58716,7.374141,1.5849615
android.sensor.accelerometer,1538335520164,2004483500090550,10.783484,7.0245876,1.5275006
android.sensor.accelerometer,1538335520185,2004483519784511,10.726024,6.8282633,0.7613561
android.sensor.accelerometer,1538335520205,2004483539845919,10.879252,6.742072,0.18674773
android.sensor.accelerometer,1538335520225,2004483559547275,10.788273,6.0764837,-0.50757074
