Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335492938,2004456252884762,0.03089361,-0.17790459,-0.09374613
android.sensor.gyroscope,1538335492938,2004456272705702,0.040481284,-0.17044751,-0.09055024
android.sensor.gyroscope,1538335492955,2004456292788672,0.01384886,-0.16085984,-0.07776668
android.sensor.gyroscope,1538335492975,2004456312358414,0.018110048,-0.18749227,-0.063917816
android.sensor.gyroscope,1538335492997,2004456332358624,0.044742472,-0.2098635,-0.025567126
android.sensor.gyroscope,1538335493015,2004456352100553,0.06178722,-0.23969181,-0.046873067
android.sensor.gyroscope,1538335493035,2004456372078628,0.044742472,-0.2077329,-0.07350549
android.sensor.gyroscope,1538335493055,2004456391805661,0.034089502,-0.19281875,-0.06178722
android.sensor.gyroscope,1538335493074,2004456411997486,0.07457078,-0.204537,-0.025567126
android.sensor.gyroscope,1538335493094,2004456431724572,0.13316211,-0.19281875,-0.02450183
android.sensor.gyroscope,1538335493114,2004456451720251,0.14061919,-0.22051647,-0.088419646
android.sensor.gyroscope,1538335493134,2004456471439159,0.122509144,-0.29402196,-0.117182665
android.sensor.gyroscope,1538335493155,2004456491541817,0.13635801,-0.26845482,-0.06178722
android.sensor.gyroscope,1538335493175,2004456511375100,0.16618632,-0.30254433,-0.040481284
android.sensor.gyroscope,1538335493195,2004456531448436,0.24714889,-0.3920293,-0.029828314
android.sensor.gyroscope,1538335493215,2004456551146927,0.40055165,-0.5603462,-0.018110048
android.sensor.gyroscope,1538335493236,2004456571223648,0.574195,-0.74464256,-0.06285252
android.sensor.gyroscope,1538335493255,2004456590927921,0.6498311,-0.96409374,-0.15233746
android.sensor.gyroscope,1538335493275,2004456611014173,0.6647453,-1.1068435,-0.21305938
android.sensor.gyroscope,1538335493294,2004456630728654,0.5912398,-1.2123079,-0.26525894
android.sensor.gyroscope,1538335493314,2004456650567875,0.50708133,-1.3476006,-0.29828313
android.sensor.gyroscope,1538335493336,2004456670465950,0.4548818,-1.5478765,-0.32171968
android.sensor.gyroscope,1538335493356,2004456690591108,0.49962425,-1.7385646,-0.38883337
android.sensor.gyroscope,1538335493382,2004456710095797,0.51666903,-1.8802491,-0.46873066
android.sensor.gyroscope,1538335493393,2004456730098560,0.53371376,-1.9473628,-0.43996763
android.sensor.gyroscope,1538335493413,2004456749855749,0.5230608,-1.9612117,-0.3856375
android.sensor.gyroscope,1538335493433,2004456769898459,0.5784562,-2.0155418,-0.32811147
android.sensor.gyroscope,1538335493453,2004456789598878,0.68924713,-2.1188755,-0.2823037
android.sensor.gyroscope,1538335493473,2004456809769609,0.7329243,-2.1433775,-0.21838588
android.sensor.gyroscope,1538335493495,2004456829210965,0.6359823,-2.0783944,-0.10652969
android.sensor.gyroscope,1538335493512,2004456849508259,0.487906,-1.9942359,0.0
android.sensor.gyroscope,1538335493532,2004456869284199,0.4112046,-1.9771911,0.0692443
android.sensor.gyroscope,1538335493552,2004456889295451,0.32278496,-1.8919674,0.15446806
android.sensor.gyroscope,1538335493572,2004456909039515,0.10759499,-1.686365,0.25460598
android.sensor.gyroscope,1538335493595,2004456929104829,-0.120378554,-1.485024,0.35687447
android.sensor.gyroscope,1538335493617,2004456950655092,-0.23543063,-1.3305559,0.4953631
android.sensor.gyroscope,1538335493637,2004456970715250,-0.12996623,-1.2964664,0.60189277
android.sensor.gyroscope,1538335493657,2004456990434940,0.0031958907,-1.2336138,0.61787224
android.sensor.gyroscope,1538335493676,2004457010511973,0.0063917814,-1.1643696,0.5986969
android.sensor.gyroscope,1538335493696,2004457030237235,-0.043677174,-1.1462595,0.6604841
android.sensor.gyroscope,1538335493712,2004457048472602,-0.08522376,-1.0663623,0.76168734
android.sensor.gyroscope,1538335493736,2004457069970052,-0.1022685,-0.9949873,0.7989727
android.sensor.gyroscope,1538335493757,2004457090069689,-0.088419646,-1.0354686,0.8138869
android.sensor.gyroscope,1538335493776,2004457110186254,-0.07137489,-1.0834069,0.82453984
android.sensor.gyroscope,1538335493796,2004457129842402,-0.017044751,-1.1206924,0.81069094
android.sensor.gyroscope,1538335493815,2004457150227560,0.0042611877,-1.1771531,0.7723403
android.sensor.gyroscope,1538335493833,2004457169756364,-0.039415985,-1.0684928,0.8319969
android.sensor.gyroscope,1538335493858,2004457187401261,-0.12570503,-0.96835494,0.9385266
android.sensor.gyroscope,1538335493871,2004457207231680,-0.12783563,-0.8948494,1.0812764
android.sensor.gyroscope,1538335493893,2004457227098505,0.031958908,-0.91722065,1.2740952
android.sensor.gyroscope,1538335493910,2004457247204236,0.08415846,-0.95876724,1.366776
android.sensor.gyroscope,1538335493930,2004457267020488,-0.18855755,-0.8096257,1.4456079
android.sensor.gyroscope,1538335493951,2004457287025178,-0.40374753,-0.64343935,1.571313
android.sensor.gyroscope,1538335493970,2004457306735440,-0.4527512,-0.5475626,1.697018
android.sensor.gyroscope,1538335493990,2004457326837109,-0.43144527,-0.51666903,1.7225852
android.sensor.gyroscope,1538335494010,2004457346551642,-0.39735577,-0.5262567,1.7087363
android.sensor.gyroscope,1538335494030,2004457366590706,-0.39096397,-0.37498453,1.8237884
android.sensor.gyroscope,1538335494053,2004457386104042,-0.52945256,-0.028763017,2.0762637
android.sensor.gyroscope,1538335494076,2004457408114148,-0.92574304,0.2769772,2.2286012
android.sensor.gyroscope,1538335494091,2004457426044098,-1.1941979,0.26206306,2.1508346
android.sensor.gyroscope,1538335494113,2004457446129256,-1.0471869,-0.05219955,2.062415
android.sensor.gyroscope,1538335494136,2004457467750300,-0.487906,-0.17896989,2.0570884
android.sensor.gyroscope,1538335494156,2004457487840094,-0.0085223755,-0.2119941,1.9313834
android.sensor.gyroscope,1538335494176,2004457507536762,0.16831692,-0.3781804,1.7012792
android.sensor.gyroscope,1538335494195,2004457527585306,0.089484945,-0.5198649,1.5308317
android.sensor.gyroscope,1538335494215,2004457547520256,-0.039415985,-0.41013932,1.5777048
android.sensor.gyroscope,1538335494236,2004457567367706,0.01065297,-0.1054644,1.7737194
android.sensor.gyroscope,1538335494255,2004457587078541,0.33024204,0.029828314,1.8056782
android.sensor.gyroscope,1538335494276,2004457607145418,0.50921196,-0.13422741,1.5851618
android.sensor.gyroscope,1538335494295,2004457626885628,0.57952154,-0.2844343,1.4019308
android.sensor.gyroscope,1538335494316,2004457646939016,0.5614115,-0.15127216,1.4445426
android.sensor.gyroscope,1538335494332,2004457666634486,0.50921196,0.15979454,1.6064677
android.sensor.gyroscope,1538335494352,2004457686709436,0.60828453,0.39629045,1.6991487
android.sensor.gyroscope,1538335494370,2004457706409907,0.88952297,0.3526133,1.5777048
android.sensor.gyroscope,1538335494388,2004457724739180,1.1334759,0.2418224,1.3199029
android.sensor.gyroscope,1538335494411,2004457745795744,1.1750225,0.23436533,1.1547819
android.sensor.gyroscope,1538335494431,2004457766250746,1.2176344,0.40268224,1.1686307
android.sensor.gyroscope,1538335494451,2004457785963769,1.3518618,0.5241261,1.1206924
android.sensor.gyroscope,1538335494471,2004457806045802,1.3966043,0.49429777,0.95983255
android.sensor.gyroscope,1538335494491,2004457825674138,1.3433394,0.5283873,0.8724782
android.sensor.gyroscope,1538335494511,2004457845748723,1.316707,0.6370476,0.8767394
android.sensor.gyroscope,1538335494531,2004457865464298,1.5116564,0.73931605,0.91295946
android.sensor.gyroscope,1538335494552,2004457885588623,1.912208,0.6945736,0.85543346
android.sensor.gyroscope,1538335494569,2004457905317166,2.1135492,0.62639457,0.71374893
android.sensor.gyroscope,1538335494591,2004457925366595,2.005954,0.63491696,0.57206446
android.sensor.gyroscope,1538335494607,2004457943391597,1.8632044,0.7723403,0.5603462
android.sensor.gyroscope,1538335494627,2004457963438839,1.8791838,0.9960526,0.5859133
android.sensor.gyroscope,1538335494652,2004457984853789,1.980387,1.0706234,0.47831833
android.sensor.gyroscope,1538335494668,2004458004972958,1.9281875,1.054644,0.2865649
android.sensor.gyroscope,1538335494692,2004458024637334,1.7374994,1.0993865,0.15979454
android.sensor.gyroscope,1538335494713,2004458044706816,1.646949,1.1867408,0.16831692
android.sensor.gyroscope,1538335494731,2004458064434474,1.7438911,1.2453321,0.13422741
android.sensor.gyroscope,1538335494747,2004458082798799,1.9367099,1.3209682,0.03728539
android.sensor.gyroscope,1538335494768,2004458104188384,2.0581536,1.32736,-0.10013791
android.sensor.gyroscope,1538335494790,2004458124247969,2.0325866,1.2762257,-0.22158176
android.sensor.gyroscope,1538335494809,2004458143965159,1.9942359,1.2922052,-0.24927948
android.sensor.gyroscope,1538335494829,2004458164040890,1.9921052,1.3017929,-0.28763017
android.sensor.gyroscope,1538335494847,2004458182067558,2.019803,1.2549198,-0.42079228
android.sensor.gyroscope,1538335494869,2004458203949904,1.9441669,1.3071194,-0.5656727
android.sensor.gyroscope,1538335494885,2004458221672562,1.772654,1.2751604,-0.57632565
android.sensor.gyroscope,1538335494912,2004458243595169,1.6821039,1.180349,-0.653027
android.sensor.gyroscope,1538335494930,2004458263096889,1.7822418,1.0099015,-0.7925809
android.sensor.gyroscope,1538335494952,2004458283382725,1.9313834,0.9449184,-0.8767394
android.sensor.gyroscope,1538335494970,2004458303009289,1.912208,0.95131016,-0.9747467
android.sensor.gyroscope,1538335494988,2004458321274187,1.9473628,0.8266704,-1.1132354
android.sensor.gyroscope,1538335495010,2004458342848877,2.106092,0.67539823,-1.2186997
android.sensor.gyroscope,1538335495025,2004458361424868,2.1838586,0.63917816,-1.3497312
android.sensor.gyroscope,1538335495045,2004458380941120,2.037913,0.6114804,-1.5851618
