Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335526998,2004490301810914,-0.04900366,-0.014914157,0.06604841
android.sensor.gyroscope,1538335526998,2004490321724510,0.0031958907,-0.10759499,0.04154658
android.sensor.gyroscope,1538335527010,2004490341521648,-0.005326485,-0.1384886,0.02450183
android.sensor.gyroscope,1538335527025,2004490361426754,-0.06604841,-0.091615535,0.029828314
android.sensor.gyroscope,1538335527045,2004490381544464,-0.089484945,-0.019175345,0.05113425
android.sensor.gyroscope,1538335527064,2004490401261914,-0.04900366,-0.02450183,0.06285252
android.sensor.gyroscope,1538335527084,2004490421298218,0.01065297,-0.11292148,0.034089502
android.sensor.gyroscope,1538335527108,2004490440968168,0.034089502,-0.16938221,0.01065297
android.sensor.gyroscope,1538335527124,2004490460849264,0.046873067,-0.21518998,0.005326485
android.sensor.gyroscope,1538335527143,2004490480686401,0.08735435,-0.2748466,0.01065297
android.sensor.gyroscope,1538335527164,2004490500750830,0.10652969,-0.29934844,0.01065297
android.sensor.gyroscope,1538335527184,2004490520544217,0.09800732,-0.25993246,0.02130594
android.sensor.gyroscope,1538335527203,2004490540605001,0.08202787,-0.22264706,0.031958908
android.sensor.gyroscope,1538335527224,2004490560328753,0.060721926,-0.18749227,0.054330144
android.sensor.gyroscope,1538335527242,2004490580331567,-0.009587673,-0.092680834,0.064983115
android.sensor.gyroscope,1538335527264,2004490600087507,-0.0692443,0.06604841,0.06604841
android.sensor.gyroscope,1538335527282,2004490620173863,-0.057526033,0.13529271,0.07670138
android.sensor.gyroscope,1538335527303,2004490639908709,-0.1033338,0.20347172,0.094811425
android.sensor.gyroscope,1538335527323,2004490659967565,-0.22264706,0.3526133,0.10120321
android.sensor.gyroscope,1538335527345,2004490679725275,-0.3142626,0.36007038,0.07776668
android.sensor.gyroscope,1538335527372,2004490699509912,-0.26312834,0.1747087,0.036220096
android.sensor.gyroscope,1538335527384,2004490719624446,-0.067113705,-0.07350549,0.0021305939
android.sensor.gyroscope,1538335527404,2004490739723562,0.12357444,-0.22051647,0.0042611877
android.sensor.gyroscope,1538335527425,2004490759312158,0.19281875,-0.27165073,0.022371236
android.sensor.gyroscope,1538335527444,2004490779497264,0.20027582,-0.32171968,0.011718267
android.sensor.gyroscope,1538335527463,2004490799056485,0.18429637,-0.33450323,0.0074570784
android.sensor.gyroscope,1538335527484,2004490819237581,0.21305938,-0.419727,-0.0021305939
android.sensor.gyroscope,1538335527503,2004490838800395,0.32171968,-0.6253293,-0.02130594
android.sensor.gyroscope,1538335527523,2004490858808262,0.5496932,-0.9108289,-0.035154797
android.sensor.gyroscope,1538335527543,2004490878572170,0.8096257,-1.3262947,-0.068179004
android.sensor.gyroscope,1538335527564,2004490898638213,1.0354686,-1.9058162,-0.15127216
android.sensor.gyroscope,1538335527583,2004490918393372,1.3028581,-2.6504588,-0.25034478
android.sensor.gyroscope,1538335527606,2004490938436863,1.6714509,-3.40895,-0.40055165
android.sensor.gyroscope,1538335527626,2004490958141396,2.0038235,-4.0087123,-0.5869786
android.sensor.gyroscope,1538335527643,2004490978002492,2.02726,-4.286755,-0.68179005
android.sensor.gyroscope,1538335527661,2004490998014525,1.747087,-4.146136,-0.68605125
android.sensor.gyroscope,1538335527680,2004491017713173,1.4147143,-3.9415987,-0.65089643
android.sensor.gyroscope,1538335527701,2004491037444686,1.3177723,-3.9330764,-0.6231987
android.sensor.gyroscope,1538335527720,2004491057706771,1.3305559,-3.9543822,-0.63917816
android.sensor.gyroscope,1538335527740,2004491077376669,1.3635801,-3.9724922,-0.65622294
