Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538335549101,2004512397883481,0.047884032,9.323022,2.9400797
android.sensor.accelerometer,1538335549101,2004512417600098,0.23463176,9.423578,3.1411927
android.sensor.accelerometer,1538335549114,2004512437676714,0.39264908,9.461885,3.6104562
android.sensor.accelerometer,1538335549121,2004512457371872,0.45010993,9.457097,3.6104562
android.sensor.accelerometer,1538335549140,2004512477561666,0.6895301,9.442732,3.2034419
android.sensor.accelerometer,1538335549159,2004512497323699,0.7469909,9.3661175,2.8634653
android.sensor.accelerometer,1538335549180,2004512517226514,0.6607997,9.461885,2.930503
android.sensor.accelerometer,1538335549200,2004512536932557,0.39264908,9.576807,3.3135753
android.sensor.accelerometer,1538335549220,2004512556995632,0.009576807,9.758766,3.5913026
android.sensor.accelerometer,1538335549240,2004512576704280,-0.023942016,9.835381,3.5242648
android.sensor.accelerometer,1538335549260,2004512596774803,0.18195933,9.821015,3.7301662
android.sensor.accelerometer,1538335549279,2004512616476524,0.34476504,9.825804,3.8498764
android.sensor.accelerometer,1538335549299,2004512636553088,0.521936,9.734824,4.0892963
android.sensor.accelerometer,1538335549320,2004512656461371,0.78529817,9.56723,3.9743748
android.sensor.accelerometer,1538335549340,2004512676519134,0.9528923,9.303867,3.8019924
android.sensor.accelerometer,1538335549359,2004512696041115,0.7038953,9.193734,3.6391866
android.sensor.accelerometer,1538335549379,2004512716196013,0.3878607,9.040505,3.5577838
android.sensor.accelerometer,1538335549399,2004512736010077,0.1340753,8.801085,3.5817258
android.sensor.accelerometer,1538335549419,2004512756070548,0.01436521,8.532935,3.6870706
android.sensor.accelerometer,1538335549439,2004512775602946,0.11971009,8.418014,3.9217024
android.sensor.accelerometer,1538335549460,2004512795913260,0.29688102,8.403648,4.1419687
android.sensor.accelerometer,1538335549479,2004512815504981,0.36870706,8.485051,4.2760444
android.sensor.accelerometer,1538335549499,2004512835861650,0.5793968,8.499416,4.2999864
android.sensor.accelerometer,1538335549520,2004512855573110,0.7469909,8.537724,3.6870706
android.sensor.accelerometer,1538335549541,2004512875471966,1.0295067,8.585608,3.41892
android.sensor.accelerometer,1538335549560,2004512895425770,0.7134721,8.743625,3.5434184
android.sensor.accelerometer,1538335549580,2004512915497699,0.60812724,8.834604,3.514688
android.sensor.accelerometer,1538335549599,2004512934729368,0.7517793,8.604761,3.3518825
android.sensor.accelerometer,1538335549618,2004512954984422,0.6751649,8.322245,3.2273839
android.sensor.accelerometer,1538335549637,2004512974766559,0.5506664,8.049306,3.1555579
android.sensor.accelerometer,1538335549658,2004512994817343,0.320823,7.800309,3.0023289
android.sensor.accelerometer,1538335549677,2004513014526772,0.48841715,7.7572136,2.5905263
android.sensor.accelerometer,1538335549698,2004513034594117,1.115698,7.603985,2.3463178
android.sensor.accelerometer,1538335549719,2004513054420057,1.4796166,7.680599,2.360683
android.sensor.accelerometer,1538335549738,2004513074377142,2.030283,7.651869,1.9776106
android.sensor.accelerometer,1538335549758,2004513094083082,2.1787236,7.5465236,1.3599066
android.sensor.accelerometer,1538335549778,2004513113967354,2.0733786,7.517793,0.82360536
android.sensor.accelerometer,1538335549797,2004513133858346,2.1164744,7.5800424,0.45489833
android.sensor.accelerometer,1538335549821,2004513155817879,2.3463178,7.603985,0.19632454
android.sensor.accelerometer,1538335549841,2004513175509496,2.8395233,7.4363904,-0.07182605
android.sensor.accelerometer,1538335549859,2004513195558456,2.9640217,7.5225816,-0.05746084
android.sensor.accelerometer,1538335549879,2004513215283250,3.0789435,7.905654,-0.062249243
android.sensor.accelerometer,1538335549897,2004513233533252,3.3662477,7.9487495,-0.56982
android.sensor.accelerometer,1538335549920,2004513255075181,3.7541082,7.9391727,-0.8762778
android.sensor.accelerometer,1538335549936,2004513273302735,4.0222588,8.001422,-0.93373865
android.sensor.accelerometer,1538335549960,2004513294848154,4.3239284,8.178593,-0.8475474
android.sensor.accelerometer,1538335549981,2004513314898468,4.8937483,8.154651,-0.79487497
android.sensor.accelerometer,1538335550000,2004513334608158,5.6359506,8.020576,-1.2785037
android.sensor.accelerometer,1538335550017,2004513352803680,6.0860605,7.7907324,-1.5035586
android.sensor.accelerometer,1538335550038,2004513374386807,5.9041014,7.819463,-0.81881696
android.sensor.accelerometer,1538335550058,2004513394455351,6.2632318,7.872135,-0.7613561
android.sensor.accelerometer,1538335550076,2004513412056395,6.9288197,7.7189064,-1.3742718
android.sensor.accelerometer,1538335550098,2004513434260199,6.9383965,7.61835,-1.3599066
android.sensor.accelerometer,1538335550118,2004513453989055,6.9240313,7.264008,-0.9528923
android.sensor.accelerometer,1538335550138,2004513474033015,7.240066,7.2065473,-0.7517793
android.sensor.accelerometer,1538335550158,2004513493568174,7.7811556,7.249643,-1.1587936
android.sensor.accelerometer,1538335550177,2004513513394634,8.437167,6.933608,-1.6376339
android.sensor.accelerometer,1538335550198,2004513533513803,8.590396,6.339846,-1.7429788
android.sensor.accelerometer,1538335550219,2004513555070836,8.317456,6.157887,-1.5849615
android.sensor.accelerometer,1538335550239,2004513574165057,7.9248075,6.50744,-1.3790601
android.sensor.accelerometer,1538335550259,2004513593332506,7.991845,6.655881,-1.4748282
android.sensor.accelerometer,1538335550279,2004513613065790,8.413225,6.4739213,-1.3263878
android.sensor.accelerometer,1538335550299,2004513633133135,8.815451,6.2632318,-0.6368576
android.sensor.accelerometer,1538335550315,2004513651015168,9.016563,6.0764837,-0.35913026
android.sensor.accelerometer,1538335550339,2004513672894546,9.126697,5.8705826,-0.18195933
android.sensor.accelerometer,1538335550359,2004513692606423,8.604761,5.9041014,0.20111294
android.sensor.accelerometer,1538335550378,2004513712670695,8.327033,5.9807158,0.44532153
android.sensor.accelerometer,1538335550399,2004513732412624,8.901642,5.985504,0.24420857
android.sensor.accelerometer,1538335550417,2004513752447001,9.576807,5.9519854,-0.18674773
android.sensor.accelerometer,1538335550437,2004513772163462,10.04607,5.9567738,-0.34476504
android.sensor.accelerometer,1538335550456,2004513792227110,10.180145,5.9759274,-0.090979666
android.sensor.accelerometer,1538335550477,2004513811941018,10.328587,5.9902925,0.16280572
android.sensor.accelerometer,1538335550496,2004513832012426,10.654198,5.865794,0.25378537
android.sensor.accelerometer,1538335550517,2004513851721282,10.840945,5.78918,0.31124622
android.sensor.accelerometer,1538335550537,2004513872206961,10.749966,5.6886234,0.5746084
android.sensor.accelerometer,1538335550557,2004513891495609,10.606314,5.544971,0.49799395
android.sensor.accelerometer,1538335550578,2004513911290246,10.481815,5.4539914,0.5267244
android.sensor.accelerometer,1538335550597,2004513931281967,10.199299,5.4204726,0.5554548
android.sensor.accelerometer,1538335550617,2004513951334105,10.204087,5.3247046,0.4357447
android.sensor.accelerometer,1538335550638,2004513971053065,10.223241,5.3103395,0.25857377
android.sensor.accelerometer,1538335550657,2004513991105984,10.208876,5.415684,0.18674773
android.sensor.accelerometer,1538335550678,2004514010839996,10.175357,5.4061074,0.22026655
android.sensor.accelerometer,1538335550697,2004514030883540,10.108319,5.4300494,0.48841715
android.sensor.accelerometer,1538335550715,2004514050608958,10.055647,5.434838,0.6943185
android.sensor.accelerometer,1538335550737,2004514071428804,10.031705,5.482722,0.60812724
android.sensor.accelerometer,1538335550756,2004514088490108,9.873688,5.482722,0.61291564
android.sensor.accelerometer,1538335550775,2004514108314329,9.811439,5.5258174,0.5793968
android.sensor.accelerometer,1538335550793,2004514128230528,9.782708,5.568913,0.6512229
android.sensor.accelerometer,1538335550813,2004514148075530,9.782708,5.6551046,0.7757214
android.sensor.accelerometer,1538335550835,2004514168070064,9.68694,5.8945246,0.8810662
android.sensor.accelerometer,1538335550857,2004514189984597,9.548077,5.899313,0.6847417
android.sensor.accelerometer,1538335550876,2004514209736734,9.476251,5.827487,0.5363012
android.sensor.accelerometer,1538335550894,2004514227881893,9.212888,5.995081,0.6895301
android.sensor.accelerometer,1538335550916,2004514249586999,9.169792,6.157887,0.8714894
android.sensor.accelerometer,1538335550936,2004514270010855,9.069236,6.1866174,0.92895025
android.sensor.accelerometer,1538335550954,2004514289297315,8.963891,6.081272,1.1204864
android.sensor.accelerometer,1538335550977,2004514309368776,8.820239,6.220136,1.4030021
android.sensor.accelerometer,1538335550995,2004514329058673,8.599973,6.2728086,1.508347
android.sensor.accelerometer,1538335551012,2004514347416332,8.523358,6.2823853,1.7525556
android.sensor.accelerometer,1538335551033,2004514367137115,8.413225,6.3063273,2.006341
android.sensor.accelerometer,1538335551052,2004514387063888,8.226477,6.4308257,1.910573
android.sensor.accelerometer,1538335551072,2004514406783629,7.943961,6.3542113,1.8626889
android.sensor.accelerometer,1538335551088,2004514426505819,7.651869,6.291962,2.006341
android.sensor.accelerometer,1538335551114,2004514448227592,7.2065473,6.3302693,2.1260512
android.sensor.accelerometer,1538335551132,2004514468354989,6.8330517,6.483498,2.384625
android.sensor.accelerometer,1538335551153,2004514487983950,6.5505357,6.5601125,2.5761611
android.sensor.accelerometer,1538335551176,2004514508216087,6.435614,6.612785,2.6288335
android.sensor.accelerometer,1538335551199,2004514525790985,6.363788,6.579266,2.7102363
android.sensor.accelerometer,1538335551212,2004514546053747,6.2009826,6.766014,2.7006595
android.sensor.accelerometer,1538335551233,2004514565825103,5.9280434,6.775591,2.8395233
android.sensor.accelerometer,1538335551257,2004514585672709,5.439626,6.885724,3.1364043
android.sensor.accelerometer,1538335551272,2004514605505420,5.094861,7.038953,3.2130187
android.sensor.accelerometer,1538335551292,2004514625689588,4.903325,7.1634517,3.3518825
android.sensor.accelerometer,1538335551313,2004514647113809,4.9416323,7.192182,3.289633
android.sensor.accelerometer,1538335551330,2004514665485947,4.8745947,7.2592196,3.0693667
android.sensor.accelerometer,1538335551352,2004514686414647,4.55856,7.3310456,3.122039
android.sensor.accelerometer,1538335551373,2004514706962305,4.3382936,7.417237,3.122039
android.sensor.accelerometer,1538335551395,2004514726651942,4.1946416,7.398083,3.1028855
android.sensor.accelerometer,1538335551415,2004514746707048,3.7972038,7.369353,3.1507695
android.sensor.accelerometer,1538335551432,2004514766424394,3.4237084,7.374141,3.1028855
android.sensor.accelerometer,1538335551449,2004514786484604,3.169923,7.3885064,3.0358477
android.sensor.accelerometer,1538335551472,2004514804945700,3.1172507,7.335834,2.9783869
android.sensor.accelerometer,1538335551491,2004514826425702,3.0358477,7.489063,3.0789435
android.sensor.accelerometer,1538335551512,2004514846161590,3.074155,7.6614456,2.954445
android.sensor.accelerometer,1538335551531,2004514866216539,2.801216,7.632715,2.5617957
android.sensor.accelerometer,1538335551550,2004514883786177,2.528277,7.7189064,2.2936451
android.sensor.accelerometer,1538335551568,2004514904109981,2.27928,7.795521,1.9488802
android.sensor.accelerometer,1538335551588,2004514923808212,2.2122424,7.929596,1.685518
android.sensor.accelerometer,1538335551607,2004514943846131,2.1499932,8.054094,1.5035586
android.sensor.accelerometer,1538335551626,2004514963627435,2.0159178,8.00621,1.3024458
android.sensor.accelerometer,1538335551650,2004514983671082,1.7381904,8.178593,1.2545617
android.sensor.accelerometer,1538335551667,2004515003107543,1.7142484,8.221688,1.163582
android.sensor.accelerometer,1538335551689,2004515023483326,1.8339585,8.341399,1.0773908
android.sensor.accelerometer,1538335551706,2004515043152911,1.958457,8.418014,0.9576807
android.sensor.accelerometer,1538335551726,2004515063234007,2.1739352,8.561666,0.59855044
android.sensor.accelerometer,1538335551750,2004515082891040,2.1883004,8.623915,0.31603462
android.sensor.accelerometer,1538335551771,2004515102945365,2.0111294,8.441956,0.04309563
android.sensor.accelerometer,1538335551786,2004515122639117,2.030283,8.532935,0.19153613
