Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335549101,2004512397914001,-0.18536167,-0.3472868,0.18323107
android.sensor.gyroscope,1538335549101,2004512417630618,-0.28123838,-0.21412468,0.2109288
android.sensor.gyroscope,1538335549114,2004512437707234,-0.29402196,-0.1054644,0.21625528
android.sensor.gyroscope,1538335549121,2004512457402392,-0.16192514,-0.13635801,0.19921052
android.sensor.gyroscope,1538335549140,2004512477592186,-0.023436533,-0.16831692,0.17683929
android.sensor.gyroscope,1538335549159,2004512497354219,0.015979454,-0.15446806,0.14381509
android.sensor.gyroscope,1538335549180,2004512517257034,-0.03728539,-0.16192514,0.12357444
android.sensor.gyroscope,1538335549200,2004512536963077,-0.09587672,-0.12357444,0.1043991
android.sensor.gyroscope,1538335549220,2004512557026152,-0.09587672,-0.117182665,0.07137489
android.sensor.gyroscope,1538335549240,2004512576734800,-0.09055024,-0.11292148,0.05219955
android.sensor.gyroscope,1538335549260,2004512596835844,-0.119313255,-0.1054644,0.07776668
android.sensor.gyroscope,1538335549279,2004512616507044,-0.13209683,-0.08096257,0.119313255
android.sensor.gyroscope,1538335549300,2004512636583608,-0.122509144,-0.017044751,0.122509144
android.sensor.gyroscope,1538335549320,2004512656522412,-0.07244019,0.03728539,0.11185618
android.sensor.gyroscope,1538335549340,2004512676580175,-0.0063917814,0.028763017,0.07350549
android.sensor.gyroscope,1538335549359,2004512696071635,0.03728539,-0.036220096,0.005326485
android.sensor.gyroscope,1538335549379,2004512716257054,0.045807768,-0.033024207,-0.033024207
android.sensor.gyroscope,1538335549399,2004512736040597,0.02450183,0.0031958907,-0.025567126
android.sensor.gyroscope,1538335549419,2004512756101068,-0.0021305939,0.06604841,0.033024207
android.sensor.gyroscope,1538335549439,2004512775633466,-0.014914157,0.15127216,0.13103153
android.sensor.gyroscope,1538335549460,2004512795974301,0.0010652969,0.243953,0.2077329
android.sensor.gyroscope,1538335549479,2004512815535501,0.050068956,0.3792457,0.24075711
android.sensor.gyroscope,1538335549500,2004512835892170,0.18216577,0.43783703,0.26312834
android.sensor.gyroscope,1538335549520,2004512855603630,0.34089503,0.3792457,0.2823037
android.sensor.gyroscope,1538335549541,2004512875502486,0.380311,0.37498453,0.29721785
android.sensor.gyroscope,1538335549560,2004512895456290,0.35367858,0.40374753,0.2769772
android.sensor.gyroscope,1538335549580,2004512915558740,0.37072334,0.4516859,0.2844343
android.sensor.gyroscope,1538335549599,2004512934759888,0.43037996,0.5177343,0.33876443
android.sensor.gyroscope,1538335549618,2004512955014942,0.47086126,0.5187996,0.39096397
android.sensor.gyroscope,1538335549637,2004512974797079,0.4911019,0.487906,0.4559471
android.sensor.gyroscope,1538335549658,2004512994847863,0.53904027,0.5518238,0.5933704
android.sensor.gyroscope,1538335549677,2004513014557292,0.5646074,0.6988348,0.79471153
android.sensor.gyroscope,1538335549698,2004513034624637,0.55075854,0.89165354,0.9747467
android.sensor.gyroscope,1538335549719,2004513054481098,0.58058685,0.9001759,1.0322727
android.sensor.gyroscope,1538335549738,2004513074407662,0.72759783,0.74570787,1.0312074
android.sensor.gyroscope,1538335549758,2004513094113602,0.8703476,0.54649734,0.9992485
android.sensor.gyroscope,1538335549778,2004513113997874,0.91615534,0.4527512,1.0184239
android.sensor.gyroscope,1538335549797,2004513133888866,0.84904164,0.54649734,1.1153659
android.sensor.gyroscope,1538335549821,2004513155848399,0.7797974,0.742512,1.287944
android.sensor.gyroscope,1538335549842,2004513175540016,0.7169448,0.8011033,1.4115185
android.sensor.gyroscope,1538335549860,2004513195588976,0.65622294,0.63491696,1.424302
android.sensor.gyroscope,1538335549879,2004513215313770,0.65622294,0.4431635,1.4274979
android.sensor.gyroscope,1538335549897,2004513233563772,0.68179005,0.3920293,1.4456079
android.sensor.gyroscope,1538335549920,2004513255105701,0.6253293,0.4133352,1.4871545
android.sensor.gyroscope,1538335549937,2004513273333255,0.52093023,0.36220095,1.5372235
