Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538335706359,2004669667413992,0.33039984,10.553641,-0.20111294
android.sensor.accelerometer,1538335706359,2004669687103942,0.2873042,10.85531,-0.17238252
android.sensor.accelerometer,1538335706371,2004669706920714,0.18195933,11.252748,-0.047884032
android.sensor.accelerometer,1538335706390,2004669726834414,0.33518824,11.592725,0.12928689
android.sensor.accelerometer,1538335706409,2004669746838739,0.79487497,11.664551,0.39264908
android.sensor.accelerometer,1538335706430,2004669766555720,1.388637,11.477803,1.115698
android.sensor.accelerometer,1538335706450,2004669786693483,1.9488802,11.353305,2.1164744
android.sensor.accelerometer,1538335706472,2004669806336297,2.0733786,11.152191,2.9975405
android.sensor.accelerometer,1538335706489,2004669826393799,1.9297266,10.864887,3.490746
android.sensor.accelerometer,1538335706508,2004669846186770,1.5753847,10.477027,3.8498764
android.sensor.accelerometer,1538335706529,2004669866247657,1.4796166,10.141838,3.8067808
android.sensor.accelerometer,1538335706549,2004669885965055,1.436521,9.9790325,3.7062242
android.sensor.accelerometer,1538335706571,2004669906009641,1.2018893,9.749189,3.715801
android.sensor.accelerometer,1538335706590,2004669925928393,0.89543146,9.581595,3.6391866
android.sensor.accelerometer,1538335706610,2004669945879332,0.78529817,9.442732,3.2992098
android.sensor.accelerometer,1538335706631,2004669965521626,0.50278234,9.188946,3.1555579
android.sensor.accelerometer,1538335706650,2004669985773398,0.1388637,8.944737,3.0550013
android.sensor.accelerometer,1538335706670,2004670005479546,-0.20590134,8.6574335,2.930503
android.sensor.accelerometer,1538335706690,2004670025545538,-0.4405331,8.360553,2.8395233
android.sensor.accelerometer,1538335706709,2004670045268509,-0.7038953,8.106767,2.753332
android.sensor.accelerometer,1538335706729,2004670065137052,-0.842759,7.7667904,2.5953147
android.sensor.accelerometer,1538335706749,2004670084892054,-0.92416185,7.5225816,2.0733786
android.sensor.accelerometer,1538335706769,2004670105095442,-1.1683705,7.216124,1.3311762
android.sensor.accelerometer,1538335706790,2004670124615496,-1.2258313,6.7851677,0.8858546
android.sensor.accelerometer,1538335706809,2004670144865914,-1.3359646,6.3589997,0.17717093
android.sensor.accelerometer,1538335706829,2004670164620187,-1.5801731,5.932832,-0.48362875
android.sensor.accelerometer,1538335706850,2004670184281231,-2.1260512,5.7365074,-0.5410896
android.sensor.accelerometer,1538335706868,2004670204403733,-2.6288335,5.353435,-1.0055647
android.sensor.accelerometer,1538335706895,2004670226234620,-2.9257145,4.984728,-1.9393034
android.sensor.accelerometer,1538335706914,2004670245894414,-2.825158,4.7884035,-2.8060043
android.sensor.accelerometer,1538335706935,2004670265954312,-2.6910827,4.7070007,-3.6727054
android.sensor.accelerometer,1538335706951,2004670283992439,-2.6910827,4.247314,-4.7165775
android.sensor.accelerometer,1538335706975,2004670305665826,-2.360683,4.036624,-5.631162
android.sensor.accelerometer,1538335706990,2004670325336453,-2.384625,4.1611223,-6.435614
android.sensor.accelerometer,1538335707013,2004670345395101,-2.2744915,4.343082,-7.264008
android.sensor.accelerometer,1538335707033,2004670365220415,-1.8195933,4.4101195,-8.250419
android.sensor.accelerometer,1538335707051,2004670385282136,-1.2593501,4.510676,-9.222465
android.sensor.accelerometer,1538335707073,2004670405004274,-0.49799395,4.807557,-10.117896
android.sensor.accelerometer,1538335707092,2004670425052036,0.34476504,4.831499,-11.84651
android.sensor.accelerometer,1538335707110,2004670444768913,1.0773908,4.9416323,-13.28782
android.sensor.accelerometer,1538335707133,2004670464840634,1.508347,5.0517654,-13.55597
android.sensor.accelerometer,1538335707151,2004670484555584,1.8148049,5.12838,-12.751518
android.sensor.accelerometer,1538335707169,2004670504624075,2.111686,5.1140146,-12.272678
android.sensor.accelerometer,1538335707191,2004670523010796,2.5713725,5.3247046,-12.090718
android.sensor.accelerometer,1538335707212,2004670544410017,2.8491,5.506664,-11.36767
android.sensor.accelerometer,1538335707229,2004670564098925,2.920926,5.3342814,-10.577583
android.sensor.accelerometer,1538335707253,2004670584177521,3.1507695,5.511452,-10.275913
android.sensor.accelerometer,1538335707272,2004670603885387,3.4763808,5.626374,-9.801862
android.sensor.accelerometer,1538335707289,2004670623971327,3.8402996,5.6120086,-9.476251
android.sensor.accelerometer,1538335707311,2004670643656902,4.1659107,5.4204726,-9.270349
android.sensor.accelerometer,1538335707328,2004670663762008,4.3526587,5.3821654,-8.858546
android.sensor.accelerometer,1538335707351,2004670683360030,4.3622355,5.2720323,-8.001422
android.sensor.accelerometer,1538335707368,2004670703465762,4.548983,5.2049947,-7.1634517
android.sensor.accelerometer,1538335707391,2004670722930920,4.6160207,5.161899,-6.019023
