Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335706359,2004669667475033,-0.0031958907,-0.14807628,0.0042611877
android.sensor.gyroscope,1538335706359,2004669687134462,-0.064983115,-0.17683929,0.0063917814
android.sensor.gyroscope,1538335706372,2004669706951234,-0.16938221,-0.20134112,0.025567126
android.sensor.gyroscope,1538335706390,2004669726864934,-0.29295665,-0.18536167,0.050068956
android.sensor.gyroscope,1538335706409,2004669746899780,-0.46127358,-0.1033338,0.057526033
android.sensor.gyroscope,1538335706430,2004669766586240,-0.63811284,0.0021305939,0.020240642
android.sensor.gyroscope,1538335706450,2004669786724003,-0.7371855,-0.0063917814,-0.088419646
android.sensor.gyroscope,1538335706472,2004669806366817,-0.71907544,-0.1054644,-0.2737813
android.sensor.gyroscope,1538335706489,2004669826424319,-0.63811284,-0.05539544,-0.4452941
android.sensor.gyroscope,1538335706508,2004669846217290,-0.50921196,0.10120321,-0.56673795
android.sensor.gyroscope,1538335706529,2004669866278177,-0.35900506,0.24075711,-0.6253293
android.sensor.gyroscope,1538335706549,2004669885995575,-0.24821419,0.4112046,-0.6658106
android.sensor.gyroscope,1538335706571,2004669906040161,-0.18216577,0.653027,-0.70948774
android.sensor.gyroscope,1538335706590,2004669925958913,-0.07350549,0.8085604,-0.7563608
android.sensor.gyroscope,1538335706610,2004669945909852,0.07776668,0.8426499,-0.79045033
android.sensor.gyroscope,1538335706631,2004669965552146,0.16725162,0.89591473,-0.839454
android.sensor.gyroscope,1538335706650,2004669985803918,0.24821419,0.9577019,-0.87993526
android.sensor.gyroscope,1538335706670,2004670005510066,0.3504827,0.99711794,-0.88739234
android.sensor.gyroscope,1538335706690,2004670025576058,0.45914298,1.0567746,-0.8650211
android.sensor.gyroscope,1538335706709,2004670045329550,0.5550197,1.1079088,-0.8405193
android.sensor.gyroscope,1538335706729,2004670065167572,0.6913777,1.1920673,-0.81282157
android.sensor.gyroscope,1538335706749,2004670084922574,0.87567407,1.2634422,-0.77447087
android.sensor.gyroscope,1538335706769,2004670105125962,1.043991,1.3220335,-0.7382508
android.sensor.gyroscope,1538335706790,2004670124646016,1.1696961,1.3880819,-0.6903124
android.sensor.gyroscope,1538335706809,2004670144896434,1.306054,1.4125837,-0.6498311
android.sensor.gyroscope,1538335706829,2004670164681228,1.3614495,1.3721025,-0.6072193
android.sensor.gyroscope,1538335706850,2004670184311751,1.3934084,1.3678412,-0.5305179
android.sensor.gyroscope,1538335706868,2004670204434253,1.56066,1.4488038,-0.38883337
android.sensor.gyroscope,1538335706895,2004670226265140,1.754544,1.600076,-0.16192514
android.sensor.gyroscope,1538335706914,2004670245924934,1.8738573,1.660798,0.10972559
android.sensor.gyroscope,1538335706935,2004670265984832,2.0144765,1.6874304,0.33876443
android.sensor.gyroscope,1538335706951,2004670284022959,2.2104912,1.7215198,0.5582156
android.sensor.gyroscope,1538335706975,2004670305696346,2.245646,1.5659865,0.7627526
android.sensor.gyroscope,1538335706991,2004670325366973,2.22434,1.5148523,0.91828597
android.sensor.gyroscope,1538335707013,2004670345425621,2.1614876,1.4935462,1.0972558
android.sensor.gyroscope,1538335707033,2004670365250935,2.1316593,1.3731678,1.2943357
android.sensor.gyroscope,1538335707051,2004670385343177,2.059219,1.1771531,1.453065
android.sensor.gyroscope,1538335707073,2004670405034794,1.9569504,0.98007315,1.5766394
android.sensor.gyroscope,1538335707092,2004670425082556,1.9441669,0.8298663,1.6618632
android.sensor.gyroscope,1538335707110,2004670444799433,1.7268463,0.5592809,1.6778426
android.sensor.gyroscope,1538335707133,2004670464901675,1.1856755,0.32491556,1.6650591
android.sensor.gyroscope,1538335707151,2004670484586104,0.6189375,0.21838588,1.6884956
android.sensor.gyroscope,1538335707169,2004670504654595,0.32491556,0.09374613,1.747087
android.sensor.gyroscope,1538335707191,2004670523071837,0.12463974,-0.07137489,1.8163313
android.sensor.gyroscope,1538335707213,2004670544440537,-0.15127216,-0.23330003,1.8088742
android.sensor.gyroscope,1538335707229,2004670564159966,-0.34089503,-0.4133352,1.8003519
android.sensor.gyroscope,1538335707253,2004670584208041,-0.4133352,-0.6327864,1.833376
android.sensor.gyroscope,1538335707272,2004670603915907,-0.53904027,-0.87460876,1.8472248
android.sensor.gyroscope,1538335707289,2004670624001847,-0.63491696,-1.0834069,1.8504208
android.sensor.gyroscope,1538335707311,2004670643687422,-0.74038136,-1.2495933,1.8461596
android.sensor.gyroscope,1538335707328,2004670663792528,-0.9417225,-1.3028581,1.8461596
android.sensor.gyroscope,1538335707351,2004670683421071,-1.1899366,-1.2282873,1.8749226
android.sensor.gyroscope,1538335707368,2004670703496282,-1.3944737,-1.13028,1.912208
android.sensor.gyroscope,1538335707391,2004670722961440,-1.5702477,-1.062101,1.9175345
android.sensor.gyroscope,1538335707411,2004670743647067,-1.6426879,-1.0599705,1.9154038
android.sensor.gyroscope,1538335707427,2004670761149725,-1.592619,-1.1952631,1.8877062
android.sensor.gyroscope,1538335707451,2004670782851602,-1.5489417,-1.4093878,1.8344413
android.sensor.gyroscope,1538335707468,2004670800907541,-1.5159175,-1.610729,1.7918295
android.sensor.gyroscope,1538335707490,2004670821562439,-1.4914157,-1.7087363,1.7737194
android.sensor.gyroscope,1538335707512,2004670842577858,-1.4296285,-1.5968801,1.8248537
android.sensor.gyroscope,1538335707530,2004670861340568,-1.3390783,-1.374233,1.9335139
android.sensor.gyroscope,1538335707546,2004670880456456,-1.2836828,-1.1579778,2.069872
android.sensor.gyroscope,1538335707565,2004670900372187,-1.3049887,-0.8980453,2.1923811
android.sensor.gyroscope,1538335707586,2004670920200834,-1.2400056,-0.703096,2.2573643
android.sensor.gyroscope,1538335707603,2004670940306670,-0.95876724,-0.653027,2.2722783
android.sensor.gyroscope,1538335707622,2004670959950370,-0.68498594,-0.5443667,2.27867
android.sensor.gyroscope,1538335707645,2004670980023184,-0.40800872,-0.3824416,2.2626908
android.sensor.gyroscope,1538335707664,2004670999983290,-0.1384886,-0.20240642,2.2626908
android.sensor.gyroscope,1538335707684,2004671019937980,0.05539544,0.009587673,2.27867
android.sensor.gyroscope,1538335707702,2004671039577773,0.21838588,0.2056023,2.2776048
android.sensor.gyroscope,1538335707722,2004671059581838,0.39629045,0.3856375,2.22434
android.sensor.gyroscope,1538335707743,2004671079096267,0.5401055,0.5315832,2.1210063
android.sensor.gyroscope,1538335707763,2004671099356269,0.6327864,0.64343935,1.9484282
android.sensor.gyroscope,1538335707782,2004671118880229,0.70948774,0.81175625,1.7918295
android.sensor.gyroscope,1538335707803,2004671139206742,0.74783844,1.0844723,1.6895609
android.sensor.gyroscope,1538335707822,2004671158923254,0.85543346,1.2708993,1.5862272
android.sensor.gyroscope,1538335707843,2004671178707631,1.0557092,1.3657106,1.4125837
android.sensor.gyroscope,1538335707863,2004671198638831,1.1792837,1.5563989,1.2272221
android.sensor.gyroscope,1538335707882,2004671218608989,1.2186997,1.7630664,1.0652969
android.sensor.gyroscope,1538335707902,2004671238477533,1.2389404,1.7737194,0.87460876
android.sensor.gyroscope,1538335707922,2004671258528472,1.2517239,1.7236505,0.6977695
android.sensor.gyroscope,1538335707942,2004671278361026,1.3071194,1.7098016,0.556085
android.sensor.gyroscope,1538335707961,2004671298040351,1.4956769,1.7321728,0.4154658
android.sensor.gyroscope,1538335707981,2004671317765093,1.704475,1.6821039,0.20134112
android.sensor.gyroscope,1538335708002,2004671338024209,1.8248537,1.5809007,0.0063917814
android.sensor.gyroscope,1538335708020,2004671357734993,1.8173965,1.4722403,-0.1022685
android.sensor.gyroscope,1538335708040,2004671377796140,1.6501449,1.5478765,-0.17151281
android.sensor.gyroscope,1538335708061,2004671397303747,1.5382888,1.7236505,-0.23436533
android.sensor.gyroscope,1538335708080,2004671417716874,1.4786321,1.8482902,-0.3100014
android.sensor.gyroscope,1538335708100,2004671437324115,1.4253674,1.7811764,-0.39522517
android.sensor.gyroscope,1538335708121,2004671457319430,1.4445426,1.5542682,-0.4559471
android.sensor.gyroscope,1538335708139,2004671477053650,1.4946116,1.3816901,-0.56247675
android.sensor.gyroscope,1538335708162,2004671497105059,1.485024,1.3230988,-0.6839206
