Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538335647117,2004610418733350,0.08140286,9.634268,-1.8195933
android.sensor.accelerometer,1538335647117,2004610438722571,0.2681506,9.629479,-1.982399
android.sensor.accelerometer,1538335647129,2004610458439448,0.36870706,9.667787,-2.0925324
android.sensor.accelerometer,1538335647144,2004610478995804,0.40222588,9.744401,-2.1978772
android.sensor.accelerometer,1538335647161,2004610498431327,0.36870706,9.734824,-2.2409728
android.sensor.accelerometer,1538335647181,2004610518503360,0.023942016,9.65821,-2.1452048
android.sensor.accelerometer,1538335647201,2004610538218258,-0.12449849,9.600749,-1.8722657
android.sensor.accelerometer,1538335647221,2004610558280655,-0.04309563,9.557653,-1.6472107
android.sensor.accelerometer,1538335647242,2004610577940085,0.0,9.643845,-1.5131354
android.sensor.accelerometer,1538335647261,2004610597982951,0.4405331,9.782708,-1.541866
android.sensor.accelerometer,1538335647281,2004610617700088,0.9624691,9.797073,-2.0111294
android.sensor.accelerometer,1538335647301,2004610637811028,0.90979666,9.734824,-2.3415294
android.sensor.accelerometer,1538335647322,2004610657726499,0.61770403,9.911995,-2.4516625
android.sensor.accelerometer,1538335647342,2004610677392699,1.067814,10.036493,-3.1507695
android.sensor.accelerometer,1538335647361,2004610697117753,1.7477672,9.572019,-4.5202527
android.sensor.accelerometer,1538335647381,2004610717168119,2.360683,9.035717,-5.2480903
android.sensor.accelerometer,1538335647401,2004610736905517,2.408567,8.834604,-4.9943047
android.sensor.accelerometer,1538335647421,2004610756956509,1.8387469,8.796297,-4.3478703
android.sensor.accelerometer,1538335647441,2004610776649323,1.3455414,8.858546,-4.2425256
android.sensor.accelerometer,1538335647459,2004610796704794,1.3982137,8.805874,-4.6351743
android.sensor.accelerometer,1538335647479,2004610816425890,1.3215994,8.6334915,-5.506664
android.sensor.accelerometer,1538335647501,2004610836497037,1.2593501,8.738836,-5.793968
android.sensor.accelerometer,1538335647520,2004610856204748,1.3263878,8.8777,-5.3247046
