Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335623078,2004586393545018,0.0021305939,-0.046873067,0.019175345
android.sensor.gyroscope,1538335623078,2004586413700645,-0.0085223755,-0.04261188,0.028763017
android.sensor.gyroscope,1538335623096,2004586433252314,-0.015979454,-0.04261188,0.039415985
android.sensor.gyroscope,1538335623116,2004586453416379,-0.012783563,-0.044742472,0.034089502
android.sensor.gyroscope,1538335623138,2004586473040599,0.011718267,-0.05113425,0.031958908
android.sensor.gyroscope,1538335623156,2004586493101330,0.040481284,-0.060721926,0.046873067
android.sensor.gyroscope,1538335623175,2004586512824457,0.046873067,-0.059656627,0.05646074
android.sensor.gyroscope,1538335623199,2004586532864980,0.036220096,-0.050068956,0.05219955
android.sensor.gyroscope,1538335623216,2004586552598576,0.036220096,-0.035154797,0.04154658
android.sensor.gyroscope,1538335623236,2004586572589099,0.029828314,-0.014914157,0.045807768
android.sensor.gyroscope,1538335623255,2004586592399934,0.026632423,-0.005326485,0.054330144
android.sensor.gyroscope,1538335623275,2004586612462540,0.03835069,-0.009587673,0.031958908
android.sensor.gyroscope,1538335623296,2004586632355146,0.059656627,-0.01384886,0.0021305939
android.sensor.gyroscope,1538335623316,2004586652401711,0.11292148,-0.035154797,-0.0074570784
android.sensor.gyroscope,1538335623336,2004586672123119,0.15872924,-0.034089502,-0.02769772
android.sensor.gyroscope,1538335623356,2004586692185569,0.07350549,-0.0010652969,0.022371236
android.sensor.gyroscope,1538335623376,2004586711906821,-0.01384886,-0.0010652969,0.14274979
android.sensor.gyroscope,1538335623396,2004586731957812,0.0,-0.12996623,0.18003519
android.sensor.gyroscope,1538335623417,2004586751668960,0.15659864,-0.3398297,0.11505207
android.sensor.gyroscope,1538335623435,2004586771541098,0.12783563,-0.54649734,0.026632423
android.sensor.gyroscope,1538335623455,2004586791096829,-0.022371236,-0.5816521,-0.0021305939
android.sensor.gyroscope,1538335623473,2004586811219435,-0.07244019,-0.68924713,0.0
android.sensor.gyroscope,1538335623494,2004586831100739,0.04900366,-0.9001759,0.046873067
android.sensor.gyroscope,1538335623515,2004586851062980,0.20240642,-1.1079088,0.046873067
android.sensor.gyroscope,1538335623534,2004586870827253,0.25034478,-1.2890093,0.009587673
android.sensor.gyroscope,1538335623555,2004586890910693,0.24714889,-1.4125837,0.020240642
android.sensor.gyroscope,1538335623576,2004586910682987,0.25141007,-1.4679792,0.031958908
android.sensor.gyroscope,1538335623594,2004586930720124,0.2801731,-1.4466733,0.05113425
android.sensor.gyroscope,1538335623618,2004586950560595,0.2780425,-1.4573262,0.08202787
android.sensor.gyroscope,1538335623634,2004586970506743,0.25567126,-1.5563989,0.10013791
