Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538166029333,1834987910634127,0.0010652969,0.023436533,0.044742472
android.sensor.gyroscope,1538166029333,1834987930525587,-0.017044751,0.01384886,0.02450183
android.sensor.gyroscope,1538166029345,1834987950312568,-0.0063917814,-0.022371236,-0.005326485
android.sensor.gyroscope,1538166029363,1834987970251633,-0.014914157,0.005326485,-0.019175345
android.sensor.gyroscope,1538166029383,1834987990349656,-0.03728539,0.028763017,-0.0085223755
android.sensor.gyroscope,1538166029402,1834988010013720,-0.0085223755,0.023436533,0.0
android.sensor.gyroscope,1538166029423,1834988030004920,0.025567126,0.0074570784,0.0031958907
android.sensor.gyroscope,1538166029446,1834988049557005,0.011718267,-0.0085223755,-0.0031958907
android.sensor.gyroscope,1538166029463,1834988069782580,-0.025567126,-0.0063917814,0.0063917814
android.sensor.gyroscope,1538166029483,1834988089657895,-0.02450183,0.0,0.017044751
android.sensor.gyroscope,1538166029502,1834988109593834,-0.01065297,0.0021305939,0.011718267
android.sensor.gyroscope,1538166029522,1834988129368732,0.0021305939,0.020240642,0.01065297
android.sensor.gyroscope,1538166029544,1834988149396234,0.0042611877,0.02769772,0.01384886
android.sensor.gyroscope,1538166029564,1834988169171705,0.012783563,0.015979454,0.0042611877
android.sensor.gyroscope,1538166029583,1834988189306290,-0.009587673,0.009587673,-0.019175345
android.sensor.gyroscope,1538166029604,1834988208961292,-0.009587673,0.034089502,-0.018110048
android.sensor.gyroscope,1538166029623,1834988229010721,0.02130594,0.012783563,-0.014914157
android.sensor.gyroscope,1538166029643,1834988248786973,0.020240642,0.0010652969,-0.011718267
android.sensor.gyroscope,1538166029664,1834988268785621,-0.0021305939,0.01065297,-0.0010652969
android.sensor.gyroscope,1538166029683,1834988288670727,0.0010652969,0.005326485,-0.0010652969
android.sensor.gyroscope,1538166029703,1834988308296458,0.022371236,-0.012783563,0.012783563
android.sensor.gyroscope,1538166029723,1834988328428752,0.015979454,-0.0021305939,0.011718267
android.sensor.gyroscope,1538166029743,1834988348324275,-0.0042611877,0.0074570784,-0.005326485
android.sensor.gyroscope,1538166029765,1834988368255006,0.0021305939,-0.012783563,-0.01384886
android.sensor.gyroscope,1538166029784,1834988388334174,0.0021305939,0.011718267,-0.012783563
android.sensor.gyroscope,1538166029804,1834988408027718,0.0,0.018110048,-0.01065297
android.sensor.gyroscope,1538166029823,1834988427688918,0.012783563,-0.014914157,-0.0010652969
android.sensor.gyroscope,1538166029845,1834988447802618,-0.0021305939,-0.019175345,0.0085223755
android.sensor.gyroscope,1538166029863,1834988467691630,-0.017044751,0.012783563,0.015979454
android.sensor.gyroscope,1538166029888,1834988489366112,0.0021305939,0.0074570784,0.020240642
android.sensor.gyroscope,1538166029907,1834988509324082,0.020240642,0.009587673,0.02769772
android.sensor.gyroscope,1538166029928,1834988529057001,0.0063917814,0.0085223755,0.026632423
android.sensor.gyroscope,1538166029945,1834988549109503,0.020240642,0.014914157,0.0085223755
android.sensor.gyroscope,1538166029967,1834988568879869,0.014914157,-0.0074570784,-0.019175345
android.sensor.gyroscope,1538166029988,1834988588908569,-0.03089361,-0.005326485,-0.03089361
android.sensor.gyroscope,1538166030005,1834988608173207,-0.058591332,0.02769772,0.0
android.sensor.gyroscope,1538166030026,1834988628661230,-0.014914157,-0.0010652969,0.015979454
android.sensor.gyroscope,1538166030041,1834988646678054,0.036220096,-0.036220096,0.020240642
android.sensor.gyroscope,1538166030060,1834988666632796,0.02130594,0.0063917814,0.022371236
android.sensor.gyroscope,1538166030084,1834988687932069,-0.011718267,0.020240642,0.0031958907
android.sensor.gyroscope,1538166030102,1834988707911967,-0.01384886,-0.005326485,-0.029828314
android.sensor.gyroscope,1538166030124,1834988727829573,-0.0063917814,-0.009587673,-0.029828314
android.sensor.gyroscope,1538166030144,1834988747943273,0.01065297,-0.0031958907,-0.0074570784
android.sensor.gyroscope,1538166030160,1834988765859993,0.04154658,-0.014914157,-0.005326485
android.sensor.gyroscope,1538166030181,1834988786095985,0.044742472,-0.014914157,0.0063917814
android.sensor.gyroscope,1538166030204,1834988807471925,0.0010652969,-0.015979454,0.0085223755
android.sensor.gyroscope,1538166030223,1834988826263281,-0.03089361,-0.019175345,-0.005326485
android.sensor.gyroscope,1538166030241,1834988845405470,-0.028763017,0.0010652969,0.009587673
android.sensor.gyroscope,1538166030263,1834988867320941,-0.014914157,0.005326485,0.02130594
android.sensor.gyroscope,1538166030279,1834988885167557,-0.0031958907,0.0042611877,0.0063917814
android.sensor.gyroscope,1538166030303,1834988907199382,-0.01065297,0.0021305939,0.0021305939
android.sensor.gyroscope,1538166030323,1834988924931311,0.0021305939,0.005326485,0.01065297
android.sensor.gyroscope,1538166030341,1834988945022303,0.0063917814,0.0031958907,0.012783563
android.sensor.gyroscope,1538166030365,1834988966104544,-0.0085223755,0.0085223755,-0.0063917814
android.sensor.gyroscope,1538166030379,1834988984776838,0.0,0.012783563,-0.02450183
android.sensor.gyroscope,1538166030399,1834989004497830,0.018110048,-0.0074570784,-0.0021305939
android.sensor.gyroscope,1538166030421,1834989024541113,0.017044751,-0.0042611877,0.012783563
android.sensor.gyroscope,1538166030438,1834989044347938,-0.0021305939,-0.0031958907,0.009587673
android.sensor.gyroscope,1538166030458,1834989064345075,-0.0010652969,-0.009587673,-0.0021305939
android.sensor.gyroscope,1538166030480,1834989084033046,0.014914157,-0.0021305939,-0.009587673
android.sensor.gyroscope,1538166030498,1834989104151798,0.023436533,-0.0042611877,-0.011718267
android.sensor.gyroscope,1538166030519,1834989123903102,0.01065297,0.0010652969,-0.012783563
android.sensor.gyroscope,1538166030540,1834989143885396,-0.020240642,0.01384886,-0.017044751
android.sensor.gyroscope,1538166030559,1834989163556804,-0.01384886,0.0074570784,-0.005326485
android.sensor.gyroscope,1538166030579,1834989183529045,0.011718267,-0.0074570784,0.0063917814
