Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538335232538,2004195864223823,-2.4037786,7.0485296,5.118803
android.sensor.accelerometer,1538335232552,2004195883485075,-3.169923,6.540959,5.511452
android.sensor.accelerometer,1538335232567,2004195903553098,-4.2185836,6.4787097,5.707777
android.sensor.accelerometer,1538335232586,2004195923522840,-3.9264908,5.449203,5.267244
android.sensor.accelerometer,1538335232606,2004195943290238,-4.0078936,4.807557,5.171476
android.sensor.accelerometer,1538335232625,2004195963253469,-4.4244847,4.084508,5.985504
android.sensor.accelerometer,1538335232645,2004195983138887,-4.3239284,3.3854012,7.297527
android.sensor.accelerometer,1538335232668,2004196003143577,-3.9121256,2.767697,7.9391727
android.sensor.accelerometer,1538335232686,2004196022917277,-3.2752678,2.3798366,8.341399
android.sensor.accelerometer,1538335232706,2004196042813997,-1.1923125,2.2888567,9.457097
android.sensor.accelerometer,1538335232725,2004196062664208,0.33518824,2.5330653,10.836157
android.sensor.accelerometer,1538335232745,2004196082504262,2.2744915,2.4037786,12.320562
android.sensor.accelerometer,1538335232766,2004196102530722,2.4133554,2.6144683,14.168885
android.sensor.accelerometer,1538335232786,2004196122546245,0.7086837,2.7629087,17.132908
android.sensor.accelerometer,1538335232805,2004196142289216,-0.12928689,2.4372973,19.25417
android.sensor.accelerometer,1538335232826,2004196162325155,-0.16759412,2.360683,19.6133
android.sensor.accelerometer,1538335232845,2004196182163074,0.7134721,1.5610195,18.454506
android.sensor.accelerometer,1538335232865,2004196201986774,2.0350714,0.62249243,18.626888
android.sensor.accelerometer,1538335232886,2004196222014484,4.3766007,-0.4309563,19.2829
android.sensor.accelerometer,1538335232905,2004196241705528,5.7843914,-0.8379706,18.7466
android.sensor.accelerometer,1538335232925,2004196261762613,6.8569937,-0.90500826,16.82645
android.sensor.accelerometer,1538335232946,2004196281672459,8.24563,-1.2449849,16.342821
android.sensor.accelerometer,1538335232966,2004196301407304,8.034941,-1.115698,15.619772
android.sensor.accelerometer,1538335232985,2004196321269963,9.083601,-0.5315128,13.120225
android.sensor.accelerometer,1538335233006,2004196341362256,10.34774,0.25378537,9.888053
android.sensor.accelerometer,1538335233028,2004196361246738,9.68694,0.80924016,8.255207
android.sensor.accelerometer,1538335233046,2004196380866323,9.083601,1.4269443,7.335834
android.sensor.accelerometer,1538335233069,2004196402361117,8.949526,2.0446482,6.483498
android.sensor.accelerometer,1538335233088,2004196421286535,8.734048,3.0693667,6.4020953
android.sensor.accelerometer,1538335233109,2004196441200339,8.111555,4.213795,5.865794
android.sensor.accelerometer,1538335233127,2004196461054456,7.1969705,4.343082,5.329493
android.sensor.accelerometer,1538335233146,2004196480373781,6.1770406,4.405331,4.735731
android.sensor.accelerometer,1538335233168,2004196502178366,5.2289367,4.525041,3.8355112
android.sensor.accelerometer,1538335233186,2004196520184722,4.6686935,4.19943,2.8874073
android.sensor.accelerometer,1538335233208,2004196542013058,4.2425256,4.050989,2.006341
android.sensor.accelerometer,1538335233225,2004196559914049,4.783615,3.8259344,1.412579
android.sensor.accelerometer,1538335233249,2004196581723843,4.8937483,3.7588966,0.6703765
android.sensor.accelerometer,1538335233263,2004196599467490,4.6160207,3.490746,-0.46926352
android.sensor.accelerometer,1538335233284,2004196619463742,4.003105,3.098097,-1.292869
android.sensor.accelerometer,1538335233302,2004196639328849,3.6056678,3.1842883,-2.2697031
android.sensor.accelerometer,1538335233323,2004196659385986,3.7110126,2.992752,-3.6870706
android.sensor.accelerometer,1538335233343,2004196679276248,3.3423057,2.8060043,-4.6782703
android.sensor.accelerometer,1538335233362,2004196699104167,3.1028855,2.743755,-4.984728
android.sensor.accelerometer,1538335233385,2004196718785106,3.620033,2.8538885,-5.583278
android.sensor.accelerometer,1538335233401,2004196738815004,3.7062242,2.7246015,-6.50744
android.sensor.accelerometer,1538335233422,2004196758832923,3.5625722,2.2026656,-7.0581064
android.sensor.accelerometer,1538335233442,2004196778692092,3.8067808,1.508347,-7.1586633
android.sensor.accelerometer,1538335233462,2004196798547146,4.027047,0.7182605,-7.503428
android.sensor.accelerometer,1538335233484,2004196818473189,4.6112323,-0.7230489,-7.9631147
android.sensor.accelerometer,1538335233502,2004196838402670,5.0134583,-2.6623523,-7.608773
android.sensor.accelerometer,1538335233522,2004196858267204,5.5641246,-5.3103395,-6.253655
android.sensor.accelerometer,1538335233546,2004196878125070,7.2544312,-8.810662,-6.3206925
android.sensor.accelerometer,1538335233562,2004196898035541,11.066,-13.680469,-7.4124484
android.sensor.accelerometer,1538335233582,2004196917932522,16.745047,-20.484789,-8.714894
android.sensor.accelerometer,1538335233604,2004196937818149,25.22052,-28.227638,-8.604761
android.sensor.accelerometer,1538335233625,2004196957753464,36.621708,-35.879505,-8.250419
android.sensor.accelerometer,1538335233644,2004196977750966,44.512997,-42.449196,-7.795521
android.sensor.accelerometer,1538335233663,2004196997570863,51.10663,-47.247177,-6.95755
android.sensor.accelerometer,1538335233682,2004197017375865,57.039463,-51.67166,-7.043741
android.sensor.accelerometer,1538335233704,2004197037321857,57.839123,-54.243034,-6.9240313
android.sensor.accelerometer,1538335233724,2004197057203421,55.052273,-54.918198,-5.6886234
android.sensor.accelerometer,1538335233741,2004197077085871,56.014744,-52.686802,-5.9663506
android.sensor.accelerometer,1538335233761,2004197096995352,57.623646,-49.258305,-4.9799395
android.sensor.accelerometer,1538335233782,2004197117047177,53.429005,-47.314213,-0.94331545
android.sensor.accelerometer,1538335233811,2004197136435304,43.861774,-45.58081,5.085284
android.sensor.accelerometer,1538335233822,2004197157108067,40.93127,-45.633484,7.2113357
android.sensor.accelerometer,1538335233841,2004197177063225,32.77183,-49.76109,16.294937
android.sensor.accelerometer,1538335233865,2004197197077185,25.407269,-49.07156,30.214825
android.sensor.accelerometer,1538335233880,2004197215995677,16.55351,-42.631157,39.231388
android.sensor.accelerometer,1538335233904,2004197236867085,1.5897499,-32.695217,42.363007
android.sensor.accelerometer,1538335233920,2004197257064223,-8.494628,-26.714502,26.293123
android.sensor.accelerometer,1538335233941,2004197275971620,-12.411542,-18.459295,12.971785
android.sensor.accelerometer,1538335233961,2004197297073081,-12.933477,-10.443508,9.528923
android.sensor.accelerometer,1538335233980,2004197317073968,-8.169016,-5.482722,6.9383965
android.sensor.accelerometer,1538335234000,2004197336900428,-5.0374002,-2.6384103,5.4779334
android.sensor.accelerometer,1538335234020,2004197356646785,-6.3829417,-0.46926352,4.697424
android.sensor.accelerometer,1538335234042,2004197377075797,-6.291962,1.1540052,3.9743748
android.sensor.accelerometer,1538335234064,2004197397061528,-5.415684,2.815581,3.1124623
android.sensor.accelerometer,1538335234084,2004197417039082,-4.4819455,4.630386,2.777274
android.sensor.accelerometer,1538335234104,2004197436933616,-3.3327289,6.3063273,2.4181437
android.sensor.accelerometer,1538335234123,2004197456820180,-1.6567876,7.8865004,1.5849615
android.sensor.accelerometer,1538335234140,2004197474863203,-0.7469909,9.222465,0.9624691
android.sensor.accelerometer,1538335234163,2004197496591434,-0.095768064,10.448297,0.30166942
android.sensor.accelerometer,1538335234178,2004197514654092,0.6464345,11.027693,-0.35913026
android.sensor.accelerometer,1538335234202,2004197536366178,1.0151415,11.544841,-0.44532153
android.sensor.accelerometer,1538335234223,2004197556228888,0.7757214,11.722012,0.07182605
android.sensor.accelerometer,1538335234242,2004197574305452,1.0726024,11.96622,0.9768343
android.sensor.accelerometer,1538335234263,2004197596045090,1.4939818,11.87524,1.4556746
android.sensor.accelerometer,1538335234278,2004197614042383,1.0869676,11.81778,0.33997664
android.sensor.accelerometer,1538335234300,2004197636108167,1.292869,11.702858,-0.9768343
android.sensor.accelerometer,1538335234319,2004197655605096,1.5658079,11.415554,-2.1164744
android.sensor.accelerometer,1538335234340,2004197675218275,1.0869676,11.118672,-2.2505496
android.sensor.accelerometer,1538335234357,2004197693652495,0.8571242,10.79785,-1.2210429
android.sensor.accelerometer,1538335234382,2004197715352654,1.0726024,10.520123,-0.23942018
