Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335244918,2004208244415785,1.872792,-0.3835069,2.0411088
android.sensor.gyroscope,1538335244932,2004208264145475,1.9132733,-0.16512102,1.890902
android.sensor.gyroscope,1538335244947,2004208283950476,2.04537,-0.058591332,1.7992865
android.sensor.gyroscope,1538335244966,2004208304128187,2.1231368,0.035154797,1.6874304
android.sensor.gyroscope,1538335244986,2004208323642043,2.18812,0.26312834,1.3987349
android.sensor.gyroscope,1538335245006,2004208343937826,2.3202167,0.4506206,1.0855376
android.sensor.gyroscope,1538335245030,2004208363607932,2.6952012,0.5113425,0.9193513
android.sensor.gyroscope,1538335245046,2004208383691007,2.984962,0.68072474,0.7329243
android.sensor.gyroscope,1538335245065,2004208403367311,2.902934,0.95450604,0.46553475
android.sensor.gyroscope,1538335245086,2004208423484188,2.8006656,1.0610358,0.25886714
android.sensor.gyroscope,1538335245106,2004208443200649,2.8006656,1.0461216,0.14807628
android.sensor.gyroscope,1538335245127,2004208463427526,2.830494,1.104713,-0.12996623
android.sensor.gyroscope,1538335245147,2004208483164611,2.9370236,1.2005897,-0.32278496
android.sensor.gyroscope,1538335245168,2004208503204873,2.9327624,1.366776,-0.4133352
android.sensor.gyroscope,1538335245187,2004208522908104,2.8688447,1.6661245,-0.46553475
android.sensor.gyroscope,1538335245207,2004208542983159,3.049945,1.5990107,-0.57526034
android.sensor.gyroscope,1538335245226,2004208562700244,3.3929708,1.0770152,-0.8138869
android.sensor.gyroscope,1538335245247,2004208582762069,3.5218716,0.8362581,-1.0067056
android.sensor.gyroscope,1538335245265,2004208602474831,3.2278497,1.1995244,-1.0791458
android.sensor.gyroscope,1538335245286,2004208622537646,3.0222473,1.5777048,-1.0770152
android.sensor.gyroscope,1538335245306,2004208642268481,3.113863,1.4914157,-1.0535786
android.sensor.gyroscope,1538335245326,2004208662094472,3.3801873,1.0908641,-1.0557092
android.sensor.gyroscope,1538335245346,2004208682133068,3.436648,0.5550197,-1.1164312
android.sensor.gyroscope,1538335245366,2004208702139060,3.1298423,0.44103295,-1.1281495
android.sensor.gyroscope,1538335245389,2004208721671302,2.722899,0.6956389,-1.0897988
