Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335390757,2004354065455520,0.5347791,0.5827174,-0.28336897
android.sensor.gyroscope,1538335390757,2004354085589793,0.6231987,0.25993246,-0.18536167
android.sensor.gyroscope,1538335390772,2004354105254795,0.57952154,0.09800732,-0.08735435
android.sensor.gyroscope,1538335390787,2004354125271776,0.27271602,0.122509144,0.005326485
android.sensor.gyroscope,1538335390809,2004354145153236,-0.058591332,0.009587673,0.10759499
android.sensor.gyroscope,1538335390828,2004354165031676,-0.06285252,-0.36433154,0.2748466
android.sensor.gyroscope,1538335390848,2004354184988292,0.22584295,-0.9491796,0.5944357
android.sensor.gyroscope,1538335390868,2004354204836680,0.36859274,-1.4093878,0.9832691
android.sensor.gyroscope,1538335390887,2004354224817619,0.2769772,-1.7343034,1.1782184
android.sensor.gyroscope,1538335390907,2004354244629548,-0.011718267,-2.0219336,1.1846102
android.sensor.gyroscope,1538335390927,2004354264569290,-0.3185238,-2.249907,1.1920673
android.sensor.gyroscope,1538335390947,2004354284445646,-0.31958908,-2.5780187,1.392343
android.sensor.gyroscope,1538335390968,2004354304265492,0.27271602,-3.465411,1.8610737
android.sensor.gyroscope,1538335390989,2004354324227994,1.3816901,-5.142188,2.5087743
android.sensor.gyroscope,1538335391008,2004354344135808,2.575888,-7.5178003,3.4132113
android.sensor.gyroscope,1538335391028,2004354363989768,3.0520756,-9.9647875,4.0459976
android.sensor.gyroscope,1538335391048,2004354383900083,2.6131735,-11.005583,3.8968563
android.sensor.gyroscope,1538335391068,2004354403780970,1.0493175,-8.9719305,2.597194
android.sensor.gyroscope,1538335391087,2004354423659670,-0.7851238,-5.81226,0.122509144
android.sensor.gyroscope,1538335391108,2004354443545870,-1.9367099,-4.101393,-1.324164
android.sensor.gyroscope,1538335391127,2004354463412070,-2.019803,-4.9951773,-1.7300422
android.sensor.gyroscope,1538335391147,2004354483402384,-0.9150901,-7.2408233,-1.7417605
android.sensor.gyroscope,1538335391168,2004354503428845,0.19707993,-8.52344,-1.678908
android.sensor.gyroscope,1538335391187,2004354523172961,0.3206544,-8.151652,-1.600076
android.sensor.gyroscope,1538335391208,2004354543223172,0.06285252,-7.3313737,-1.384886
android.sensor.gyroscope,1538335391227,2004354563124476,0.36752746,-7.1332283,-1.3539925
android.sensor.gyroscope,1538335391249,2004354583013905,1.3081846,-7.4325767,-1.4573262
android.sensor.gyroscope,1538335391269,2004354603389792,2.0368478,-7.127902,-1.5233747
android.sensor.gyroscope,1538335391289,2004354622562138,1.8195271,-5.7419505,-1.3412088
android.sensor.gyroscope,1538335391313,2004354644359848,1.1111047,-4.62765,-1.277291
android.sensor.gyroscope,1538335391332,2004354664237975,0.59656626,-4.512598,-1.4125837
android.sensor.gyroscope,1538335391349,2004354682259227,0.15659864,-4.5115323,-1.6831691
android.sensor.gyroscope,1538335391373,2004354703932042,-0.3078708,-4.096067,-1.9953011
android.sensor.gyroscope,1538335391389,2004354724055794,-0.6157416,-3.6710134,-2.1849241
android.sensor.gyroscope,1538335391410,2004354742005796,-0.7222713,-3.6550338,-2.1625528
android.sensor.gyroscope,1538335391426,2004354762001266,-1.0077709,-3.9266846,-2.0634801
android.sensor.gyroscope,1538335391446,2004354781632727,-1.6320349,-3.7189517,-1.8759879
android.sensor.gyroscope,1538335391468,2004354802840802,-2.418224,-2.8038616,-1.6906263
android.sensor.gyroscope,1538335391489,2004354823153095,-2.9285014,-2.1614876,-1.3337518
android.sensor.gyroscope,1538335391504,2004354841369764,-3.0265086,-2.1178102,-0.85436815
android.sensor.gyroscope,1538335391529,2004354863107943,-3.1713889,-1.9718646,-0.42718408
android.sensor.gyroscope,1538335391545,2004354881126226,-3.5538306,-1.7982212,-0.060721926
android.sensor.gyroscope,1538335391568,2004354900820447,-4.1205688,-1.4956769,0.14381509
android.sensor.gyroscope,1538335391583,2004354920886282,-4.6830454,-0.98966086,0.22584295
android.sensor.gyroscope,1538335391604,2004354940752795,-5.0111566,-0.84158456,0.43783703
android.sensor.gyroscope,1538335391626,2004354960693213,-5.1752124,-1.287944,0.7957768
android.sensor.gyroscope,1538335391644,2004354980582174,-5.398925,-1.6437532,1.0184239
android.sensor.gyroscope,1538335391664,2004355000491759,-5.715318,-1.804613,1.3571883
android.sensor.gyroscope,1538335391685,2004355020354573,-6.2650113,-2.030456,1.998497
android.sensor.gyroscope,1538335391703,2004355040287180,-6.9691725,-1.8120701,2.7463355
android.sensor.gyroscope,1538335391723,2004355060150827,-7.5284534,-1.6821039,3.3354447
android.sensor.gyroscope,1538335391743,2004355080001298,-7.7393823,-2.0741332,3.7264087
android.sensor.gyroscope,1538335391763,2004355099934269,-7.8597608,-1.8706614,3.8265467
android.sensor.gyroscope,1538335391782,2004355119813802,-7.8768053,-1.3603842,4.207923
android.sensor.gyroscope,1538335391805,2004355139619533,-7.917287,-0.6029581,4.976002
android.sensor.gyroscope,1538335391823,2004355159581202,-7.820345,0.3781804,5.898549
android.sensor.gyroscope,1538335391843,2004355179300266,-7.097008,0.8469111,6.676216
android.sensor.gyroscope,1538335391863,2004355199378185,-5.298787,-0.034089502,7.1129875
android.sensor.gyroscope,1538335391883,2004355219252301,-2.522623,-0.87886995,8.136738
android.sensor.gyroscope,1538335391905,2004355239111574,1.1419983,0.47725302,10.995995
android.sensor.gyroscope,1538335391923,2004355258788035,6.6975217,3.0680552,14.145013
android.sensor.gyroscope,1538335391945,2004355278905432,7.8885236,6.4130874,14.040613
android.sensor.gyroscope,1538335391964,2004355298785851,9.065677,4.198335,10.877747
android.sensor.gyroscope,1538335391985,2004355318702259,19.450191,0.19068815,8.667255
android.sensor.gyroscope,1538335392004,2004355338631011,30.199038,-1.3763636,7.315394
android.sensor.gyroscope,1538335392025,2004355358447628,24.557224,-4.469986,6.4301324
android.sensor.gyroscope,1538335392044,2004355378499140,-11.543557,17.25568,15.023883
android.sensor.gyroscope,1538335392066,2004355398231330,-10.995995,10.479326,-1.883445
android.sensor.gyroscope,1538335392086,2004355418066488,16.651657,-15.804746,-8.781242
android.sensor.gyroscope,1538335392106,2004355437953782,8.513853,-8.311447,-8.175089
android.sensor.gyroscope,1538335392122,2004355457876492,1.416845,2.1902504,0.059656627
android.sensor.gyroscope,1538335392144,2004355477827952,-1.9644076,5.102772,3.3887095
android.sensor.gyroscope,1538335392163,2004355498023735,-1.0663623,3.0339656,1.6852998
android.sensor.gyroscope,1538335392185,2004355517634623,0.9694202,-0.4825795,-1.3912778
android.sensor.gyroscope,1538335392204,2004355537524312,0.8692823,-1.7066057,-2.2903883
android.sensor.gyroscope,1538335392222,2004355557402179,-0.22051647,-1.1345413,-1.6064677
android.sensor.gyroscope,1538335392242,2004355577303066,-1.1260189,0.15446806,-0.85543346
android.sensor.gyroscope,1538335392261,2004355597177131,-0.40800872,0.14168449,-0.33769912
android.sensor.gyroscope,1538335392281,2004355617112081,0.49642837,-0.56673795,-0.487906
android.sensor.gyroscope,1538335392302,2004355637109999,0.50388545,-0.6370476,-0.9715508
android.sensor.gyroscope,1538335392322,2004355657509064,-0.08202787,-0.2769772,-1.2368097
