Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538335292880,2004256195060511,-5.2720323,5.770026,2.1883004
android.sensor.accelerometer,1538335292891,2004256214906763,-4.7070007,5.8705826,2.0925324
android.sensor.accelerometer,1538335292898,2004256234636712,-4.0557775,6.0477533,2.719813
android.sensor.accelerometer,1538335292917,2004256254688902,-3.86903,6.105214,2.906561
android.sensor.accelerometer,1538335292936,2004256274532081,-3.4045548,5.913678,3.1172507
android.sensor.accelerometer,1538335292957,2004256294372395,-3.074155,5.779603,3.5529952
android.sensor.accelerometer,1538335292979,2004256314305783,-3.0310593,5.463568,3.763685
android.sensor.accelerometer,1538335292998,2004256334236722,-3.0310593,5.315128,3.3901896
android.sensor.accelerometer,1538335293017,2004256354079901,-3.4763808,5.425261,3.1651347
android.sensor.accelerometer,1538335293037,2004256374032664,-2.5474305,5.2049947,2.504335
android.sensor.accelerometer,1538335293056,2004256393936468,-1.1971009,4.697424,1.9919758
android.sensor.accelerometer,1538335293076,2004256413609439,-0.1436521,4.0078936,1.1971009
android.sensor.accelerometer,1538335293096,2004256433686784,0.5506664,3.0214825,0.8810662
android.sensor.accelerometer,1538335293116,2004256453578609,0.8762778,1.9776106,1.3120226
android.sensor.accelerometer,1538335293136,2004256473496372,0.842759,1.0151415,2.3654714
android.sensor.accelerometer,1538335293156,2004256493397780,1.2976574,-0.12449849,3.016694
android.sensor.accelerometer,1538335293176,2004256513290490,2.2840683,-1.2497733,3.2944214
android.sensor.accelerometer,1538335293196,2004256533135180,3.7253778,-2.6862943,3.4332852
android.sensor.accelerometer,1538335293215,2004256553042942,5.449203,-4.6351743,2.6431987
android.sensor.accelerometer,1538335293236,2004256572956642,7.5704656,-6.933608,1.8435353
android.sensor.accelerometer,1538335293258,2004256592831488,9.768343,-9.873688,1.5705963
android.sensor.accelerometer,1538335293277,2004256612898938,12.976573,-13.43626,1.2593501
android.sensor.accelerometer,1538335293300,2004256632702377,16.807297,-17.87511,0.7374141
android.sensor.accelerometer,1538335293318,2004256652728317,22.40494,-23.09447,-1.9393034
android.sensor.accelerometer,1538335293337,2004256672617746,29.14701,-28.692114,-7.043741
android.sensor.accelerometer,1538335293358,2004256692505508,35.7167,-32.197224,-12.41633
android.sensor.accelerometer,1538335293378,2004256712364573,42.425255,-33.312923,-19.124884
android.sensor.accelerometer,1538335293397,2004256732280356,42.961555,-33.80613,-14.700398
android.sensor.accelerometer,1538335293419,2004256753972858,42.784386,-40.122032,-3.1890767
android.sensor.accelerometer,1538335293439,2004256773780620,44.489056,-52.811302,-2.72939
android.sensor.accelerometer,1538335293458,2004256793635570,47.09395,-69.88675,-11.947066
android.sensor.accelerometer,1538335293477,2004256813525676,45.90642,-79.87057,-27.198132
android.sensor.accelerometer,1538335293499,2004256831861407,42.798748,-77.476364,-31.684866
android.sensor.accelerometer,1538335293517,2004256853630264,44.402866,-77.50989,-27.389668
android.sensor.accelerometer,1538335293538,2004256873144953,47.860092,-82.57602,-20.111294
android.sensor.accelerometer,1538335293557,2004256893093497,47.94628,-88.52322,-12.119449
android.sensor.accelerometer,1538335293577,2004256912982770,45.336605,-92.40182,-12.301409
android.sensor.accelerometer,1538335293595,2004256931148240,42.67904,-90.31408,-14.4370365
android.sensor.accelerometer,1538335293619,2004256952755534,37.93373,-82.93993,-11.104307
android.sensor.accelerometer,1538335293638,2004256972643661,36.085407,-73.83718,-13.417107
android.sensor.accelerometer,1538335293656,2004256992533975,30.68409,-64.57641,-11.061212
android.sensor.accelerometer,1538335293678,2004257012423300,28.874073,-58.66752,-7.5561004
android.sensor.accelerometer,1538335293697,2004257032317886,22.601265,-54.899044,-11.070788
android.sensor.accelerometer,1538335293717,2004257052473773,14.159308,-49.105076,-14.417883
android.sensor.accelerometer,1538335293738,2004257072097681,6.3302693,-41.96557,-15.638926
android.sensor.accelerometer,1538335293757,2004257091976642,-3.964798,-34.63931,-19.603724
android.sensor.accelerometer,1538335293777,2004257110092112,-10.204087,-27.183765,-23.467964
android.sensor.accelerometer,1538335293796,2004257129926072,-10.85531,-19.76653,-22.70661
android.sensor.accelerometer,1538335293816,2004257150010866,-8.619126,-14.168885,-19.546263
android.sensor.accelerometer,1538335293834,2004257169637795,-7.417237,-10.1226845,-16.175226
android.sensor.accelerometer,1538335293854,2004257189530401,-5.9759274,-7.2065473,-14.379576
android.sensor.accelerometer,1538335293878,2004257211307851,-4.6686935,-4.5777135,-14.777013
android.sensor.accelerometer,1538335293896,2004257231209416,-4.0414124,-2.1212628,-13.804967
android.sensor.accelerometer,1538335293913,2004257248984418,-3.5913026,0.18195933,-11.57836
android.sensor.accelerometer,1538335293931,2004257268902024,-3.5003228,2.0111294,-9.083601
android.sensor.accelerometer,1538335293952,2004257288892807,1.5275006,4.256891,-8.465898
android.sensor.accelerometer,1538335293972,2004257308814736,0.46926352,4.9655743,-7.929596
android.sensor.accelerometer,1538335293993,2004257328829374,-0.81881696,4.960786,-8.039729
android.sensor.accelerometer,1538335294011,2004257348574271,-0.56982,4.960786,-8.24563
android.sensor.accelerometer,1538335294033,2004257368253180,-0.81402856,4.7405195,-8.623915
android.sensor.accelerometer,1538335294051,2004257388422661,-0.8523358,4.620809,-8.805874
android.sensor.accelerometer,1538335294071,2004257408307142,-0.11971009,4.936844,-8.475474
android.sensor.accelerometer,1538335294091,2004257428213342,-0.34476504,5.0038815,-7.6470804
android.sensor.accelerometer,1538335294112,2004257448082771,0.06703765,5.142745,-7.881712
android.sensor.accelerometer,1538335294135,2004257469467565,-0.23463176,5.233725,-8.441956
android.sensor.accelerometer,1538335294155,2004257489748608,-0.2681506,5.161899,-8.848969
android.sensor.accelerometer,1538335294172,2004257507569652,-0.20590134,5.243302,-8.700529
android.sensor.accelerometer,1538335294190,2004257527507831,0.110133275,5.5401826,-7.675811
android.sensor.accelerometer,1538335294209,2004257547390854,0.6991069,6.105214,-8.7292595
android.sensor.accelerometer,1538335294230,2004257567359345,0.90500826,6.3063273,-9.528923
android.sensor.accelerometer,1538335294250,2004257587256535,0.17238252,6.0764837,-9.457097
android.sensor.accelerometer,1538335294270,2004257607169922,-0.6464345,5.616797,-8.585608
android.sensor.accelerometer,1538335294290,2004257627052424,-1.0055647,5.4061074,-8.192958
android.sensor.accelerometer,1538335294311,2004257646933468,-0.7422025,5.645528,-8.1642275
android.sensor.accelerometer,1538335294330,2004257666828678,-0.5793968,5.803545,-7.9631147
android.sensor.accelerometer,1538335294350,2004257686716128,-0.22505496,5.947197,-7.6853876
android.sensor.accelerometer,1538335294370,2004257706602797,0.0,6.0860605,-7.3789296
android.sensor.accelerometer,1538335294392,2004257728071653,0.29209262,6.143522,-7.350199
android.sensor.accelerometer,1538335294411,2004257746584832,0.29209262,6.081272,-7.5561004
android.sensor.accelerometer,1538335294434,2004257768742647,0.12449849,6.114791,-8.030152
android.sensor.accelerometer,1538335294450,2004257786250617,0.038307227,6.0381765,-8.6334915
android.sensor.accelerometer,1538335294470,2004257805829786,-0.11492168,6.009446,-8.336611
android.sensor.accelerometer,1538335294490,2004257826025152,-0.19153613,5.9902925,-7.905654
android.sensor.accelerometer,1538335294512,2004257847704477,-0.15322891,5.923255,-7.565677
android.sensor.accelerometer,1538335294530,2004257865789948,-0.019153614,5.861006,-7.7667904
android.sensor.accelerometer,1538335294549,2004257885702762,0.0,5.841852,-7.7667904
android.sensor.accelerometer,1538335294569,2004257905592921,-0.1340753,5.884948,-7.3310456
android.sensor.accelerometer,1538335294590,2004257925554954,-0.23463176,6.0142345,-7.503428
android.sensor.accelerometer,1538335294612,2004257947168341,-0.33039984,6.042965,-7.809886
