Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335272279,2004235581073612,0.68605125,-1.4509344,-0.088419646
android.sensor.gyroscope,1538335272279,2004235600702312,0.98433435,-1.9313834,-0.02769772
android.sensor.gyroscope,1538335272292,2004235620741116,1.4637179,-3.0904264,-0.09800732
android.sensor.gyroscope,1538335272303,2004235640409764,1.8738573,-3.9277499,-0.03728539
android.sensor.gyroscope,1538335272323,2004235660542631,2.0997002,-4.320844,0.0063917814
android.sensor.gyroscope,1538335272343,2004235680194873,2.2477765,-4.581842,-0.204537
android.sensor.gyroscope,1538335272363,2004235700219562,2.3915915,-5.014353,-0.703096
android.sensor.gyroscope,1538335272384,2004235719930866,2.3479145,-5.6663146,-1.241071
android.sensor.gyroscope,1538335272403,2004235740001337,1.9217957,-6.36728,-1.4807627
android.sensor.gyroscope,1538335272422,2004235759700870,1.2975317,-6.72735,-1.6810386
android.sensor.gyroscope,1538335272442,2004235779765976,0.59656626,-6.3800635,-2.1007655
android.sensor.gyroscope,1538335272462,2004235799562957,-0.33663383,-5.3413987,-2.5449944
android.sensor.gyroscope,1538335272482,2004235819648740,-1.395539,-4.799163,-2.6632423
android.sensor.gyroscope,1538335272505,2004235839549992,-1.9260569,-5.173082,-2.6376753
android.sensor.gyroscope,1538335272525,2004235859555671,-2.2978456,-5.241261,-2.5481904
android.sensor.gyroscope,1538335272543,2004235879071975,-2.938089,-4.531773,-2.5290148
android.sensor.gyroscope,1538335272563,2004235899278071,-3.6230748,-3.7317352,-2.4555094
android.sensor.gyroscope,1538335272584,2004235919079688,-3.96397,-3.4813905,-2.345784
android.sensor.gyroscope,1538335272604,2004235939138284,-3.9415987,-3.627336,-2.1774669
android.sensor.gyroscope,1538335272624,2004235958852140,-3.9405334,-3.3993626,-2.0794597
android.sensor.gyroscope,1538335272642,2004235978904277,-4.0012555,-2.6611118,-1.9612117
android.sensor.gyroscope,1538335272664,2004235998638706,-3.7114944,-2.5886714,-1.754544
android.sensor.gyroscope,1538335272682,2004236018508864,-3.4291909,-2.959395,-1.6437532
android.sensor.gyroscope,1538335272703,2004236038255585,-3.221458,-2.6461976,-1.5883577
android.sensor.gyroscope,1538335272723,2004236058342358,-2.7037237,-2.3958528,-1.1366718
android.sensor.gyroscope,1538335272742,2004236078038245,-2.095439,-2.2733436,-0.595501
android.sensor.gyroscope,1538335272763,2004236098121320,-1.7002139,-1.9686687,-0.14274979
android.sensor.gyroscope,1538335272782,2004236117829447,-1.5478765,-1.6639938,0.30360964
android.sensor.gyroscope,1538335272804,2004236137880855,-1.485024,-1.2272221,0.67752886
android.sensor.gyroscope,1538335272823,2004236157417628,-1.2943357,-0.8937841,1.1079088
android.sensor.gyroscope,1538335272844,2004236177631276,-1.0344033,-0.77447087,1.5542682
android.sensor.gyroscope,1538335272865,2004236197438309,-0.6359823,-0.6594188,1.9484282
android.sensor.gyroscope,1538335272885,2004236217498936,-0.23649593,-0.61041516,2.2126217
android.sensor.gyroscope,1538335272896,2004236230480240,-0.09907261,-0.62213343,2.321282
android.sensor.gyroscope,1538335272915,2004236248971335,0.23862651,-0.7009654,2.543929
android.sensor.gyroscope,1538335272932,2004236268613473,0.6913777,-0.6903124,2.7612495
android.sensor.gyroscope,1538335272952,2004236286913579,1.2730298,-0.6402435,3.0179863
android.sensor.gyroscope,1538335272969,2004236306711289,1.8173965,-0.42611876,3.4259949
android.sensor.gyroscope,1538335272989,2004236326593322,2.3851998,-0.2844343,3.9288151
android.sensor.gyroscope,1538335273009,2004236346501241,3.021182,-0.21412468,4.4071336
android.sensor.gyroscope,1538335273029,2004236366386972,3.76689,-0.39735577,4.807685
android.sensor.gyroscope,1538335273048,2004236386284734,4.515794,-0.65089643,5.098511
android.sensor.gyroscope,1538335273070,2004236405940205,4.653217,-0.53690964,5.4905405
android.sensor.gyroscope,1538335273089,2004236426125884,4.244143,0.02130594,5.9933605
android.sensor.gyroscope,1538335273109,2004236445989167,3.663556,0.14061919,6.196832
android.sensor.gyroscope,1538335273129,2004236465884586,3.1522136,0.5784562,6.163808
android.sensor.gyroscope,1538335273153,2004236487309849,3.0435534,0.91722065,5.965663
android.sensor.gyroscope,1538335273172,2004236507564174,3.5154798,1.5127217,5.2753506
android.sensor.gyroscope,1538335273193,2004236527424853,4.4209824,2.2658865,4.3549337
android.sensor.gyroscope,1538335273212,2004236547323032,6.3417125,1.4147143,3.4973698
android.sensor.gyroscope,1538335273231,2004236567165221,9.047566,-0.46873066,2.2445807
android.sensor.gyroscope,1538335273252,2004236587095431,10.848984,-0.75209963,1.3806248
android.sensor.gyroscope,1538335273273,2004236606978923,11.441289,-0.23436533,0.78725445
android.sensor.gyroscope,1538335273293,2004236626870435,12.276482,0.18110047,0.15872924
android.sensor.gyroscope,1538335273314,2004236646764187,12.450126,1.2890093,-0.2801731
android.sensor.gyroscope,1538335273332,2004236666661012,11.571256,2.9008036,-0.56673795
android.sensor.gyroscope,1538335273353,2004236686543775,11.791772,3.950121,-1.2890093
android.sensor.gyroscope,1538335273372,2004236704742475,12.972121,4.997308,-2.3415227
android.sensor.gyroscope,1538335273393,2004236726357685,13.469614,6.4663525,-3.3152041
android.sensor.gyroscope,1538335273413,2004236746212218,14.222779,4.5914297,-4.648956
android.sensor.gyroscope,1538335273432,2004236766089199,16.271345,1.0674275,-6.889275
android.sensor.gyroscope,1538335273452,2004236785985816,17.316402,1.1867408,-9.165814
android.sensor.gyroscope,1538335273472,2004236805870193,14.970618,3.1522136,-9.894478
android.sensor.gyroscope,1538335273488,2004236823922382,12.454387,4.618062,-9.836952
android.sensor.gyroscope,1538335273512,2004236845663426,11.282559,5.366966,-9.05822
android.sensor.gyroscope,1538335273529,2004236863830771,10.943795,4.5701237,-8.405192
android.sensor.gyroscope,1538335273549,2004236883685669,9.799666,3.2086744,-8.03447
android.sensor.gyroscope,1538335273572,2004236905311713,8.276292,2.8496692,-7.1193795
android.sensor.gyroscope,1538335273588,2004236923352340,6.149959,2.974309,-5.56085
android.sensor.gyroscope,1538335273608,2004236943378227,3.7551718,2.5929327,-4.4795737
android.sensor.gyroscope,1538335273628,2004236964857969,2.0901127,0.7925809,-3.2416985
android.sensor.gyroscope,1538335273648,2004236983440731,0.67220235,-0.36859274,-2.1252675
android.sensor.gyroscope,1538335273673,2004237004724171,-0.6231987,-0.351548,-1.2133732
android.sensor.gyroscope,1538335273688,2004237022494329,-1.3007276,0.06604841,-0.27165073
android.sensor.gyroscope,1538335273705,2004237042498081,-1.4317591,0.053264845,0.12783563
android.sensor.gyroscope,1538335273728,2004237062263708,-1.6032718,-0.19494934,0.175774
android.sensor.gyroscope,1538335273746,2004237082355429,-1.4125837,-0.16938221,0.29721785
android.sensor.gyroscope,1538335273766,2004237102718504,-1.0344033,-0.28336897,0.4495553
android.sensor.gyroscope,1538335273786,2004237122157568,-0.85756403,-0.16831692,0.3078708
android.sensor.gyroscope,1538335273805,2004237142090903,-0.82027864,0.11079088,0.13635801
android.sensor.gyroscope,1538335273825,2004237161893406,-0.6402435,0.2737813,0.022371236
android.sensor.gyroscope,1538335273845,2004237181815074,-0.31532788,0.27165073,0.07563608
android.sensor.gyroscope,1538335273865,2004237201702159,-0.22051647,0.29721785,0.17790459
android.sensor.gyroscope,1538335273885,2004237221598515,-0.3472868,0.380311,0.22797355
android.sensor.gyroscope,1538335273908,2004237241707320,-0.4474247,0.30893612,0.29934844
android.sensor.gyroscope,1538335273931,2004237261176592,-0.4953631,0.15979454,0.3142626
android.sensor.gyroscope,1538335273943,2004237281137636,-0.5496932,0.18216577,0.36007038
android.sensor.gyroscope,1538335273963,2004237301018107,-0.5603462,0.38883337,0.3845722
android.sensor.gyroscope,1538335273984,2004237320905973,-0.7755362,0.74996907,0.3824416
android.sensor.gyroscope,1538335274003,2004237340814204,-1.0567746,0.9332001,0.46873066
android.sensor.gyroscope,1538335274023,2004237360697488,-1.2421362,0.85862935,0.5283873
android.sensor.gyroscope,1538335274044,2004237380547698,-1.4413468,0.85756403,0.5550197
android.sensor.gyroscope,1538335274064,2004237400583585,-1.6576021,0.9459837,0.58378273
android.sensor.gyroscope,1538335274083,2004237420440671,-2.069872,1.3017929,0.60189277
android.sensor.gyroscope,1538335274103,2004237440347548,-2.5343413,1.4978075,0.60934985
android.sensor.gyroscope,1538335274123,2004237460214581,-2.6664383,1.4147143,0.36752746
android.sensor.gyroscope,1538335274143,2004237480150000,-2.7676415,1.3401436,0.3526133
android.sensor.gyroscope,1538335274166,2004237500090418,-2.9125218,1.3177723,0.52945256
android.sensor.gyroscope,1538335274183,2004237519960212,-2.8326244,1.1750225,0.39948636
android.sensor.gyroscope,1538335274203,2004237539834276,-2.551386,1.0130974,0.2737813
android.sensor.gyroscope,1538335274226,2004237560212768,-2.1966424,0.8309316,0.22158176
android.sensor.gyroscope,1538335274246,2004237579969228,-1.9377751,0.6455699,0.20134112
android.sensor.gyroscope,1538335274264,2004237599511209,-1.6895609,0.5145384,0.26419365
android.sensor.gyroscope,1538335274283,2004237619354597,-1.453065,0.49642837,0.28869548
android.sensor.gyroscope,1538335274303,2004237639227255,-1.2911398,0.50708133,0.22797355
android.sensor.gyroscope,1538335274325,2004237658924288,-1.2357445,0.45914298,0.16405573
android.sensor.gyroscope,1538335274344,2004237678874967,-1.1846102,0.3813763,0.14914156
android.sensor.gyroscope,1538335274365,2004237699033511,-1.0003139,0.31745848,0.08309316
android.sensor.gyroscope,1538335274386,2004237719425753,-0.7766015,0.26312834,0.0031958907
android.sensor.gyroscope,1538335274403,2004237738797213,-0.70203066,0.36113566,-0.06285252
android.sensor.gyroscope,1538335274422,2004237758582006,-0.6540923,0.44635943,-0.092680834
android.sensor.gyroscope,1538335274444,2004237778440863,-0.57952154,0.41013932,-0.1395539
android.sensor.gyroscope,1538335274463,2004237798322167,-0.43251055,0.26312834,-0.15553336
android.sensor.gyroscope,1538335274482,2004237818208314,-0.21945117,0.040481284,-0.14274979
android.sensor.gyroscope,1538335274506,2004237838109566,-0.10759499,-0.014914157,-0.12890093
android.sensor.gyroscope,1538335274522,2004237858013735,-0.15872924,0.03835069,-0.09587672
android.sensor.gyroscope,1538335274543,2004237877880768,-0.21625528,0.07350549,-0.092680834
android.sensor.gyroscope,1538335274562,2004237897799416,-0.2056023,0.028763017,-0.07244019
android.sensor.gyroscope,1538335274580,2004237917676189,-0.16405573,0.02130594,-0.057526033
android.sensor.gyroscope,1538335274602,2004237937551608,-0.094811425,-0.02450183,-0.08096257
android.sensor.gyroscope,1538335274620,2004237957444422,-0.03089361,-0.015979454,-0.09374613
android.sensor.gyroscope,1538335274640,2004237977354528,-0.12357444,0.012783563,-0.1033338
android.sensor.gyroscope,1538335274659,2004237996994426,-0.23010413,0.09800732,-0.13209683
android.sensor.gyroscope,1538335274679,2004238017020991,-0.25034478,0.117182665,-0.14594568
android.sensor.gyroscope,1538335274699,2004238036916982,-0.2077329,0.089484945,-0.15020686
android.sensor.gyroscope,1538335274719,2004238056799067,-0.05219955,-0.07883197,-0.19388404
android.sensor.gyroscope,1538335274739,2004238076715892,0.039415985,-0.25034478,-0.15872924
android.sensor.gyroscope,1538335274759,2004238096564592,0.034089502,-0.3877681,-0.10013791
