Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538335492938,2004456252854242,-0.36870706,10.108319,-0.2681506
android.sensor.accelerometer,1538335492938,2004456272675182,-0.5554548,9.988609,-0.34476504
android.sensor.accelerometer,1538335492955,2004456292758152,-0.6799533,9.916783,-0.16280572
android.sensor.accelerometer,1538335492975,2004456312327894,-0.7326257,9.77792,-0.01436521
android.sensor.accelerometer,1538335492997,2004456332328104,-0.59855044,9.797073,0.05267244
android.sensor.accelerometer,1538335493015,2004456352070033,-0.5602432,9.77792,-0.11492168
android.sensor.accelerometer,1538335493035,2004456372048108,-0.7182605,9.773131,0.019153614
android.sensor.accelerometer,1538335493054,2004456391775141,-0.866701,9.830592,0.19153613
android.sensor.accelerometer,1538335493074,2004456411966966,-0.6607997,9.878476,0.20111294
android.sensor.accelerometer,1538335493093,2004456431694052,-0.4309563,9.921572,0.047884032
android.sensor.accelerometer,1538335493114,2004456451689731,-0.59855044,9.830592,-0.21547815
android.sensor.accelerometer,1538335493134,2004456471408639,-0.8331822,9.854534,-0.18674773
android.sensor.accelerometer,1538335493155,2004456491511297,-0.78529817,9.892841,-0.320823
android.sensor.accelerometer,1538335493174,2004456511344580,-0.50278234,9.892841,-0.4357447
android.sensor.accelerometer,1538335493195,2004456531417916,-0.33039984,9.993398,-0.50278234
android.sensor.accelerometer,1538335493215,2004456551116407,0.12928689,10.160992,-0.9528923
android.sensor.accelerometer,1538335493236,2004456571193128,0.35434186,10.012551,-1.6950948
android.sensor.accelerometer,1538335493255,2004456590897401,0.40222588,9.916783,-2.1691468
android.sensor.accelerometer,1538335493275,2004456610953132,0.18674773,9.629479,-2.5570073
android.sensor.accelerometer,1538335493294,2004456630698134,-0.08140286,9.461885,-2.6527755
android.sensor.accelerometer,1538335493314,2004456650537355,-0.2633622,9.308656,-2.4468741
android.sensor.accelerometer,1538335493336,2004456670435430,-0.23463176,9.289502,-2.006341
android.sensor.accelerometer,1538335493356,2004456690560588,-0.20590134,9.016563,-1.9680338
android.sensor.accelerometer,1538335493382,2004456710065277,-0.7086837,8.949526,-1.7142484
android.sensor.accelerometer,1538335493393,2004456730068040,-1.0965444,8.652645,-1.661576
android.sensor.accelerometer,1538335493413,2004456749825229,-1.3215994,8.576031,-1.3024458
android.sensor.accelerometer,1538335493433,2004456769867939,-1.460463,8.331821,-1.0007763
android.sensor.accelerometer,1538335493453,2004456789568358,-1.7046716,8.212111,-1.2497733
android.sensor.accelerometer,1538335493473,2004456809739089,-2.0638018,8.159439,-1.5897499
android.sensor.accelerometer,1538335493495,2004456829180445,-2.1930888,8.054094,-1.733402
android.sensor.accelerometer,1538335493512,2004456849477739,-2.0925324,7.991845,-1.4221559
android.sensor.accelerometer,1538335493532,2004456869253679,-2.0733786,8.001422,-1.2593501
android.sensor.accelerometer,1538335493552,2004456889264931,-2.1452048,8.087613,-1.3934253
