Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335518397,2004481710151725,-0.10013791,-0.034089502,-0.029828314
android.sensor.gyroscope,1538335518398,2004481729799696,-0.12677033,-0.02769772,-0.026632423
android.sensor.gyroscope,1538335518413,2004481749796677,-0.120378554,-0.03089361,-0.0063917814
android.sensor.gyroscope,1538335518432,2004481769646471,-0.09587672,-0.03089361,0.0042611877
android.sensor.gyroscope,1538335518451,2004481789559806,-0.07457078,-0.033024207,0.01384886
android.sensor.gyroscope,1538335518472,2004481809309860,-0.059656627,-0.03835069,0.017044751
android.sensor.gyroscope,1538335518492,2004481829417779,-0.05646074,-0.02450183,0.023436533
android.sensor.gyroscope,1538335518513,2004481849151531,-0.057526033,-0.012783563,0.025567126
android.sensor.gyroscope,1538335518532,2004481869185491,-0.060721926,-0.012783563,0.022371236
android.sensor.gyroscope,1538335518552,2004481888939399,-0.054330144,-0.005326485,0.019175345
android.sensor.gyroscope,1538335518572,2004481908887995,-0.045807768,-0.0085223755,0.03835069
android.sensor.gyroscope,1538335518593,2004481928500705,-0.011718267,-0.0074570784,0.046873067
android.sensor.gyroscope,1538335518611,2004481948565499,0.029828314,-0.02130594,0.036220096
android.sensor.gyroscope,1538335518632,2004481968464980,0.035154797,-0.029828314,0.025567126
android.sensor.gyroscope,1538335518652,2004481988469305,0.0085223755,-0.040481284,-0.0021305939
android.sensor.gyroscope,1538335518671,2004482008215505,0.005326485,-0.08309316,-0.0063917814
android.sensor.gyroscope,1538335518693,2004482028293580,0.040481284,-0.20347172,-0.020240642
android.sensor.gyroscope,1538335518712,2004482047964207,0.16831692,-0.36965802,-0.0085223755
android.sensor.gyroscope,1538335518731,2004482068033688,0.35474387,-0.65622294,-0.019175345
android.sensor.gyroscope,1538335518751,2004482087751086,0.5539544,-1.0130974,-0.068179004
android.sensor.gyroscope,1538335518771,2004482107812807,0.7680791,-1.5010034,-0.08309316
android.sensor.gyroscope,1538335518791,2004482127613017,1.0695581,-2.1433775,-0.12357444
android.sensor.gyroscope,1538335518812,2004482147636665,1.3678412,-2.6813524,-0.10866029
android.sensor.gyroscope,1538335518833,2004482167409271,1.2975317,-2.543929,-0.10972559
android.sensor.gyroscope,1538335518853,2004482187706929,0.9992485,-1.7534788,-0.07776668
android.sensor.gyroscope,1538335518874,2004482207275473,0.75316495,-1.1004517,-0.020240642
android.sensor.gyroscope,1538335518894,2004482227302506,0.6711371,-0.82560515,0.044742472
android.sensor.gyroscope,1538335518910,2004482246930841,0.60402334,-0.5688686,0.10866029
android.sensor.gyroscope,1538335518930,2004482267038916,0.36752746,-0.25886714,0.15340276
android.sensor.gyroscope,1538335518950,2004482286756418,0.064983115,0.05646074,0.14381509
android.sensor.gyroscope,1538335518971,2004482306830326,-0.09055024,-0.08628905,0.04900366
android.sensor.gyroscope,1538335518995,2004482326522151,0.0074570784,-0.36859274,-0.053264845
android.sensor.gyroscope,1538335519010,2004482346636007,0.116117366,-0.66900647,-0.17896989
android.sensor.gyroscope,1538335519030,2004482366305489,0.21838588,-0.91615534,-0.23436533
android.sensor.gyroscope,1538335519050,2004482386377626,0.31958908,-1.0237503,-0.2066676
android.sensor.gyroscope,1538335519073,2004482406031430,0.47618774,-1.1792837,-0.21945117
android.sensor.gyroscope,1538335519091,2004482426111588,0.63065577,-1.5010034,-0.32917675
android.sensor.gyroscope,1538335519110,2004482445839455,0.8266704,-1.9324486,-0.43144527
android.sensor.gyroscope,1538335519134,2004482467802426,0.9065677,-2.0208683,-0.40694344
