Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538335566519,2004529830200530,-1.1013328,9.782708,0.92895025
android.sensor.accelerometer,1538335566519,2004529850212355,-1.043872,9.77792,0.9720459
android.sensor.accelerometer,1538335566533,2004529869825482,-1.1779473,9.868899,0.8379706
android.sensor.accelerometer,1538335566553,2004529889988036,-1.1683705,9.854534,0.7517793
android.sensor.accelerometer,1538335566573,2004529909747153,-1.1827357,9.878476,0.79487497
android.sensor.accelerometer,1538335566593,2004529929625800,-1.1587936,9.830592,0.8858546
android.sensor.accelerometer,1538335566613,2004529949575230,-1.1444284,9.873688,0.8379706
android.sensor.accelerometer,1538335566633,2004529969591117,-1.163582,9.911995,0.8714894
android.sensor.accelerometer,1538335566652,2004529989412838,-1.1971009,9.921572,0.866701
android.sensor.accelerometer,1538335566672,2004530009049610,-1.1444284,9.844957,0.80924016
android.sensor.accelerometer,1538335566691,2004530029149977,-1.091756,9.844957,0.78050977
android.sensor.accelerometer,1538335566711,2004530049037635,-1.0821792,9.797073,0.8523358
android.sensor.accelerometer,1538335566734,2004530068914304,-1.13964,9.77792,0.92895025
android.sensor.accelerometer,1538335566753,2004530088875400,-1.364695,9.811439,0.9768343
android.sensor.accelerometer,1538335566772,2004530108724985,-1.4891934,9.983821,0.7230489
android.sensor.accelerometer,1538335566792,2004530128468216,-1.9728222,10.151415,0.545878
android.sensor.accelerometer,1538335566812,2004530148473531,-2.6671407,10.381259,0.32561144
android.sensor.accelerometer,1538335566832,2004530168361345,-3.4380736,10.314221,0.076614454
android.sensor.accelerometer,1538335566852,2004530188305618,-3.8833952,10.218452,-0.4405331
android.sensor.accelerometer,1538335566872,2004530208141193,-3.7541082,9.983821,-1.1492168
android.sensor.accelerometer,1538335566891,2004530228029476,-3.3087866,9.610326,-1.4030021
android.sensor.accelerometer,1538335566912,2004530247972499,-3.0023289,9.370906,-1.2354081
android.sensor.accelerometer,1538335566932,2004530267871876,-2.8778305,9.160215,-0.9624691
android.sensor.accelerometer,1538335566951,2004530287719847,-2.4899697,8.892065,-0.7469909
android.sensor.accelerometer,1538335566971,2004530307659692,-2.1691468,8.762778,-0.4357447
android.sensor.accelerometer,1538335566995,2004530327272507,-1.7381904,8.734048,-0.36870706
android.sensor.accelerometer,1538335567009,2004530347138238,-1.4987702,8.690952,-0.24420857
android.sensor.accelerometer,1538335567029,2004530367184021,-1.5370775,8.7053175,-0.20590134
android.sensor.accelerometer,1538335567049,2004530387111784,-1.4269443,8.724471,-0.22505496
android.sensor.accelerometer,1538335567069,2004530406999233,-1.5131354,8.796297,-0.062249243
android.sensor.accelerometer,1538335567091,2004530426908819,-1.6424223,8.829816,0.009576807
android.sensor.accelerometer,1538335567113,2004530446838821,-1.6184803,8.78672,-0.08619126
android.sensor.accelerometer,1538335567129,2004530466760125,-1.5801731,8.748413,-0.16280572
android.sensor.accelerometer,1538335567149,2004530486657783,-1.4987702,8.576031,0.16759412
android.sensor.accelerometer,1538335567169,2004530506530545,-1.4939818,8.480263,0.272939
android.sensor.accelerometer,1538335567189,2004530526416120,-1.3838485,8.437167,-0.090979666
android.sensor.accelerometer,1538335567216,2004530548159091,-1.3503298,8.303091,-0.25857377
android.sensor.accelerometer,1538335567233,2004530568067374,-1.3503298,8.24563,-0.12449849
android.sensor.accelerometer,1538335567256,2004530587956595,-1.2401965,8.159439,0.090979666
android.sensor.accelerometer,1538335567273,2004530607856493,-1.091756,8.034941,0.019153614
android.sensor.accelerometer,1538335567290,2004530625836078,-0.8283938,7.9104424,0.1388637
android.sensor.accelerometer,1538335567312,2004530645729205,-0.7230489,7.905654,0.2873042
android.sensor.accelerometer,1538335567335,2004530667480145,-0.6655881,7.7907324,0.40222588
android.sensor.accelerometer,1538335567352,2004530687398845,-0.7038953,7.560889,0.61291564
android.sensor.accelerometer,1538335567376,2004530707290305,-0.6895301,7.383718,0.94331545
android.sensor.accelerometer,1538335567394,2004530727188849,-0.59376204,7.4603324,1.2449849
android.sensor.accelerometer,1538335567412,2004530747088017,-0.39264908,7.4268136,1.3359646
android.sensor.accelerometer,1538335567433,2004530767084321,-0.320823,7.2448545,1.4173675
android.sensor.accelerometer,1538335567452,2004530784964688,-0.4261679,7.350199,1.8770541
android.sensor.accelerometer,1538335567473,2004530804855679,-0.31603462,7.7093296,2.327164
android.sensor.accelerometer,1538335567493,2004530824787244,0.18674773,7.8386164,2.336741
android.sensor.accelerometer,1538335567513,2004530846507558,0.11971009,8.001422,3.3375173
android.sensor.accelerometer,1538335567531,2004530864569071,-0.32561144,8.207323,4.855441
android.sensor.accelerometer,1538335567553,2004530884829750,-0.40701428,8.590396,5.5976434
android.sensor.accelerometer,1538335567572,2004530906173033,-0.20111294,8.475474,5.6120086
android.sensor.accelerometer,1538335567589,2004530924237150,0.4309563,8.192958,5.8466406
android.sensor.accelerometer,1538335567612,2004530945948558,0.58897364,7.8386164,6.742072
android.sensor.accelerometer,1538335567629,2004530964009601,0.02873042,7.7332716,7.824251
android.sensor.accelerometer,1538335567652,2004530985724656,-0.320823,7.589619,7.4124484
android.sensor.accelerometer,1538335567672,2004531005639345,-0.38307226,7.201759,6.7803793
android.sensor.accelerometer,1538335567692,2004531025521014,-0.272939,6.703765,6.694188
android.sensor.accelerometer,1538335567712,2004531045398724,-0.2681506,6.421249,6.933608
android.sensor.accelerometer,1538335567733,2004531065284195,-0.23942018,6.2009826,7.445967
android.sensor.accelerometer,1538335567751,2004531085175655,-0.24420857,6.0046577,7.3645644
android.sensor.accelerometer,1538335567769,2004531105081386,-0.5506664,5.995081,7.5321584
android.sensor.accelerometer,1538335567791,2004531124944878,-1.6136919,6.220136,8.09719
android.sensor.accelerometer,1538335567808,2004531144835349,-2.4229321,6.3781533,7.8865004
android.sensor.accelerometer,1538335567832,2004531164730611,-2.6527755,6.3302693,7.953538
android.sensor.accelerometer,1538335567853,2004531184614832,-1.8004397,5.7508726,8.078036
android.sensor.accelerometer,1538335567872,2004531204492855,-1.8722657,5.425261,8.734048
android.sensor.accelerometer,1538335567893,2004531224361242,-3.3758245,5.722142,9.610326
android.sensor.accelerometer,1538335567911,2004531244279890,-4.1706996,5.9424086,9.519346
android.sensor.accelerometer,1538335567931,2004531264185256,-3.8163576,5.7269306,8.585608
android.sensor.accelerometer,1538335567950,2004531284084269,-3.040636,5.0038815,9.064447
android.sensor.accelerometer,1538335567966,2004531302205573,-3.2992098,4.7261543,10.448297
android.sensor.accelerometer,1538335567991,2004531323836721,-5.023035,5.3247046,10.912771
android.sensor.accelerometer,1538335568010,2004531341929379,-5.6646814,5.45878,9.787497
android.sensor.accelerometer,1538335568029,2004531361796047,-5.267244,5.0757074,8.887277
android.sensor.accelerometer,1538335568046,2004531381814851,-4.1659107,4.295198,9.677363
android.sensor.accelerometer,1538335568069,2004531403392510,-5.032612,4.4196963,11.386824
android.sensor.accelerometer,1538335568086,2004531423023345,-5.961562,4.8027687,11.161768
android.sensor.accelerometer,1538335568110,2004531441458711,-6.244078,4.5777135,9.811439
android.sensor.accelerometer,1538335568124,2004531461237776,-6.5505357,4.1659107,9.255983
android.sensor.accelerometer,1538335568143,2004531480990695,-6.579266,4.4580035,10.34774
android.sensor.accelerometer,1538335568164,2004531500706738,-7.311892,4.7261543,10.520123
android.sensor.accelerometer,1538335568183,2004531520829865,-6.775591,4.3143516,9.3661175
android.sensor.accelerometer,1538335568204,2004531540733096,-6.5218053,3.8115692,8.576031
android.sensor.accelerometer,1538335568224,2004531560621484,-5.8562174,3.6248214,9.504981
android.sensor.accelerometer,1538335568247,2004531580802944,-6.8282633,4.0797195,10.5440645
android.sensor.accelerometer,1538335568264,2004531600135706,-6.2967505,4.1946416,9.749189
android.sensor.accelerometer,1538335568283,2004531620034615,-5.7269306,3.6104562,9.562442
android.sensor.accelerometer,1538335568304,2004531640163471,-5.032612,2.8682537,10.43872
android.sensor.accelerometer,1538335568323,2004531660064827,-4.903325,3.064578,12.157756
android.sensor.accelerometer,1538335568343,2004531679881652,-6.26802,3.620033,12.258312
android.sensor.accelerometer,1538335568363,2004531699575873,-6.8091097,3.6583402,10.936713
android.sensor.accelerometer,1538335568382,2004531719468375,-6.6989765,3.7301662,9.916783
android.sensor.accelerometer,1538335568402,2004531739601033,-7.297527,4.4244847,9.792285
android.sensor.accelerometer,1538335568423,2004531759497649,-7.7907324,5.233725,9.155427
android.sensor.accelerometer,1538335568444,2004531779361141,-8.475474,5.8083334,8.48984
android.sensor.accelerometer,1538335568464,2004531799016924,-8.848969,6.129156,8.173804
android.sensor.accelerometer,1538335568483,2004531819104166,-8.863335,6.4547677,7.517793
android.sensor.accelerometer,1538335568502,2004531838826928,-8.738836,6.7564373,6.895301
android.sensor.accelerometer,1538335568522,2004531858890524,-8.738836,7.0006456,6.5744777
android.sensor.accelerometer,1538335568541,2004531878657193,-8.6813755,6.9383965,6.8043213
android.sensor.accelerometer,1538335568561,2004531898660059,-8.384495,6.8186865,6.4643445
android.sensor.accelerometer,1538335568584,2004531918355113,-7.9583263,6.8330517,6.0525417
android.sensor.accelerometer,1538335568602,2004531938458969,-7.943961,6.775591,6.1195793
android.sensor.accelerometer,1538335568622,2004531958329284,-8.101978,6.8569937,6.325481
android.sensor.accelerometer,1538335568641,2004531978213817,-7.85777,6.9958572,6.0860605
android.sensor.accelerometer,1538335568663,2004531997980225,-7.383718,6.895301,5.391742
android.sensor.accelerometer,1538335568681,2004532017996686,-6.7612257,6.742072,5.1906295
android.sensor.accelerometer,1538335568701,2004532037872729,-5.9663506,6.5601125,5.305551
android.sensor.accelerometer,1538335568720,2004532057814137,-5.511452,6.5218053,5.0900726
