Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335583158,2004546467076249,0.41440052,0.02769772,0.10652969
android.sensor.gyroscope,1538335583158,2004546487254480,0.5443667,0.11505207,0.09587672
android.sensor.gyroscope,1538335583171,2004546507035368,0.8138869,0.32278496,0.091615535
android.sensor.gyroscope,1538335583191,2004546527028963,0.94704896,0.43783703,0.07989727
android.sensor.gyroscope,1538335583209,2004546546729174,0.8362581,0.42931467,0.067113705
android.sensor.gyroscope,1538335583229,2004546566655374,0.6881818,0.54223615,0.08309316
android.sensor.gyroscope,1538335583249,2004546586547251,0.6903124,0.60082746,0.068179004
android.sensor.gyroscope,1538335583269,2004546606474284,0.7180101,0.6498311,0.039415985
android.sensor.gyroscope,1538335583289,2004546626223557,0.67646354,0.72333664,0.020240642
android.sensor.gyroscope,1538335583309,2004546646262882,0.6231987,0.79045033,-0.025567126
android.sensor.gyroscope,1538335583328,2004546665996477,0.60402334,0.8351928,-0.04154658
android.sensor.gyroscope,1538335583349,2004546686054188,0.5944357,0.9619631,-0.0010652969
android.sensor.gyroscope,1538335583370,2004546705855283,0.6295905,1.2176344,0.04793836
android.sensor.gyroscope,1538335583390,2004546725891535,0.71481425,1.474371,0.07137489
android.sensor.gyroscope,1538335583410,2004546745605235,0.77873206,1.5883577,0.033024207
android.sensor.gyroscope,1538335583429,2004546765691591,0.71587956,1.707671,0.053264845
android.sensor.gyroscope,1538335583449,2004546785342843,0.4868407,1.736434,0.13635801
android.sensor.gyroscope,1538335583470,2004546805460293,0.1033338,1.6895609,0.07883197
android.sensor.gyroscope,1538335583489,2004546825163160,-0.32171968,1.5382888,-0.0031958907
android.sensor.gyroscope,1538335583509,2004546845239828,-0.6967042,1.5468111,0.022371236
android.sensor.gyroscope,1538335583528,2004546864869883,-0.88845766,1.6916915,-0.03728539
android.sensor.gyroscope,1538335583548,2004546885008062,-0.8820659,1.7172587,-0.17151281
android.sensor.gyroscope,1538335583569,2004546904723064,-0.7766015,1.6437532,-0.312132
android.sensor.gyroscope,1538335583589,2004546924892128,-0.67752886,1.6320349,-0.40800872
android.sensor.gyroscope,1538335583609,2004546944550568,-0.5859133,1.5872924,-0.50495076
android.sensor.gyroscope,1538335583629,2004546964618695,-0.5496932,1.4669139,-0.5933704
android.sensor.gyroscope,1538335583649,2004546984326457,-0.75209963,1.3529271,-0.6668759
android.sensor.gyroscope,1538335583668,2004547004067344,-1.14839,1.2165691,-0.71161836
android.sensor.gyroscope,1538335583688,2004547024091669,-1.474371,1.1398677,-0.8021686
android.sensor.gyroscope,1538335583709,2004547044169380,-1.600076,1.1313454,-0.90869826
android.sensor.gyroscope,1538335583729,2004547063902923,-1.5595948,1.2069814,-0.9459837
android.sensor.gyroscope,1538335583748,2004547083937821,-1.3294905,1.2783563,-1.0024444
android.sensor.gyroscope,1538335583768,2004547103650323,-1.072754,1.280487,-1.0514481
android.sensor.gyroscope,1538335583788,2004547123724960,-1.0024444,1.1995244,-1.0397298
android.sensor.gyroscope,1538335583807,2004547143428608,-1.0706234,1.0887334,-1.0684928
android.sensor.gyroscope,1538335583827,2004547163533767,-1.1143006,0.95983255,-1.0823417
android.sensor.gyroscope,1538335583847,2004547183211841,-1.0759499,0.81175625,-1.0652969
android.sensor.gyroscope,1538335583867,2004547203299500,-1.0216198,0.692443,-1.1015171
android.sensor.gyroscope,1538335583886,2004547222977106,-0.9321348,0.6200028,-1.1196271
android.sensor.gyroscope,1538335583906,2004547243066274,-0.8479764,0.5528891,-1.1462595
android.sensor.gyroscope,1538335583926,2004547262774089,-0.9907262,0.49003658,-1.1473248
android.sensor.gyroscope,1538335583946,2004547282821382,-1.1505207,0.43251055,-1.2059162
android.sensor.gyroscope,1538335583966,2004547302539874,-1.3966043,0.38670278,-1.4466733
android.sensor.gyroscope,1538335583986,2004547322629199,-1.57877,0.380311,-1.6512103
android.sensor.gyroscope,1538335584006,2004547342318576,-1.4956769,0.50814664,-1.7161933
android.sensor.gyroscope,1538335584026,2004547362377745,-1.2911398,0.67326766,-1.7598705
android.sensor.gyroscope,1538335584045,2004547382090351,-1.2549198,0.6967042,-1.8866409
android.sensor.gyroscope,1538335584065,2004547402167957,-1.3071194,0.64450467,-1.8940979
android.sensor.gyroscope,1538335584085,2004547421838636,-1.2634422,0.67539823,-1.8418984
android.sensor.gyroscope,1538335584105,2004547441871607,-1.0919293,0.674333,-1.8450943
android.sensor.gyroscope,1538335584125,2004547461599890,-0.9768773,0.6114804,-1.8813144
android.sensor.gyroscope,1538335584145,2004547481721142,-0.92574304,0.5475626,-1.862139
android.sensor.gyroscope,1538335584165,2004547501422446,-0.7584914,0.40268224,-1.8035477
android.sensor.gyroscope,1538335584186,2004547521497656,-0.47512242,0.32491556,-1.7577399
android.sensor.gyroscope,1538335584206,2004547541195002,-0.25780186,0.32598087,-1.7502829
android.sensor.gyroscope,1538335584226,2004547561262348,-0.064983115,0.28976077,-1.959081
android.sensor.gyroscope,1538335584246,2004547580981777,0.17896989,0.19601464,-2.1668139
android.sensor.gyroscope,1538335584266,2004547601054591,0.35580918,0.2077329,-2.124202
android.sensor.gyroscope,1538335584286,2004547620791781,0.30360964,0.07776668,-1.9857135
android.sensor.gyroscope,1538335584305,2004547640831626,0.21945117,-0.25354066,-1.9484282
android.sensor.gyroscope,1538335584325,2004547660444649,0.22158176,-0.6881818,-1.8355067
android.sensor.gyroscope,1538335584345,2004547680545901,0.46020827,-0.87567407,-1.6277738
android.sensor.gyroscope,1538335584365,2004547700314028,0.7680791,-0.85117227,-1.4796975
android.sensor.gyroscope,1538335584385,2004547720415905,1.0397298,-0.9523755,-1.5489417
android.sensor.gyroscope,1538335584405,2004547740085803,1.3593189,-1.1643696,-1.6128596
android.sensor.gyroscope,1538335584424,2004547760154243,1.7066057,-1.2815522,-1.5670518
android.sensor.gyroscope,1538335584444,2004547779869036,1.9665382,-1.1665001,-1.3806248
android.sensor.gyroscope,1538335584464,2004547799948309,1.9953011,-1.2357445,-1.2027203
android.sensor.gyroscope,1538335584483,2004547819659509,2.069872,-1.5468111,-1.1505207
android.sensor.gyroscope,1538335584503,2004547839713573,2.3905263,-1.5798354,-1.14839
android.sensor.gyroscope,1538335584523,2004547859416961,2.7069194,-1.406192,-1.0514481
android.sensor.gyroscope,1538335584543,2004547879515609,2.8113186,-1.356123,-0.85862935
android.sensor.gyroscope,1538335584563,2004547899232850,2.604651,-1.4296285,-0.6881818
android.sensor.gyroscope,1538335584583,2004547919263685,2.4555094,-1.4988728,-0.653027
android.sensor.gyroscope,1538335584602,2004547938906552,2.8081226,-1.6874304,-0.8437152
android.sensor.gyroscope,1538335584623,2004547959038898,3.2853758,-1.686365,-0.7648832
android.sensor.gyroscope,1538335584642,2004547978808275,3.4686067,-1.7002139,-0.46127358
android.sensor.gyroscope,1538335584662,2004547998791818,3.2779186,-1.8173965,-0.17151281
android.sensor.gyroscope,1538335584682,2004548018488643,3.1127977,-1.8866409,0.07670138
android.sensor.gyroscope,1538335584702,2004548038544583,3.0552716,-1.8557472,0.30360964
android.sensor.gyroscope,1538335584721,2004548058253283,3.0126598,-1.7875682,0.50068957
android.sensor.gyroscope,1538335584742,2004548078347191,2.9423501,-1.6501449,0.70948774
android.sensor.gyroscope,1538335584762,2004548098014693,2.8613875,-1.4722403,0.87567407
android.sensor.gyroscope,1538335584782,2004548118066830,2.7825556,-1.2890093,1.012032
android.sensor.gyroscope,1538335584815,2004548137773186,2.6035857,-1.0866029,1.1941979
android.sensor.gyroscope,1538335584823,2004548157884595,2.3468492,-0.9140248,1.3177723
android.sensor.gyroscope,1538335584840,2004548177360378,2.1039615,-0.7766015,1.3209682
android.sensor.gyroscope,1538335584863,2004548197806161,2.0325866,-0.6200028,1.3635801
android.sensor.gyroscope,1538335584881,2004548217354080,1.9324486,-0.42718408,1.4509344
android.sensor.gyroscope,1538335584902,2004548237407884,1.7556094,-0.21305938,1.5681171
android.sensor.gyroscope,1538335584921,2004548257125542,1.5798354,-0.02130594,1.6586673
android.sensor.gyroscope,1538335584941,2004548277606430,1.3678412,0.119313255,1.6299043
android.sensor.gyroscope,1538335584964,2004548297130338,1.1633042,0.15127216,1.6128596
android.sensor.gyroscope,1538335584980,2004548316910652,1.043991,0.18536167,1.618186
android.sensor.gyroscope,1538335584999,2004548336609717,1.104713,0.29934844,1.660798
android.sensor.gyroscope,1538335585021,2004548356616177,1.3199029,0.47405714,1.5627906
android.sensor.gyroscope,1538335585039,2004548376240710,1.5958148,0.5603462,1.4519997
android.sensor.gyroscope,1538335585059,2004548396498369,1.8163313,0.6668759,1.3763636
android.sensor.gyroscope,1538335585079,2004548416187693,1.8110048,0.77020967,1.2868787
android.sensor.gyroscope,1538335585100,2004548436251810,1.5414847,0.8692823,1.230418
android.sensor.gyroscope,1538335585118,2004548456117489,1.1473248,0.8607599,1.1590431
android.sensor.gyroscope,1538335585138,2004548475825251,0.84478045,0.8596946,1.0983212
android.sensor.gyroscope,1538335585158,2004548495689472,0.8042992,0.8596946,1.0312074
android.sensor.gyroscope,1538335585178,2004548515751453,0.9310695,0.8980453,0.9491796
android.sensor.gyroscope,1538335585197,2004548535530778,1.0077709,1.0567746,0.8607599
android.sensor.gyroscope,1538335585218,2004548555609478,0.9033718,1.1174965,0.7339896
android.sensor.gyroscope,1538335585242,2004548575360626,0.6647453,1.0290768,0.6168069
android.sensor.gyroscope,1538335585259,2004548595163492,0.5017549,0.92041653,0.48044893
android.sensor.gyroscope,1538335585278,2004548615270734,0.46446946,0.87567407,0.3494174
android.sensor.gyroscope,1538335585298,2004548635506882,0.4538165,0.84158456,0.3185238
android.sensor.gyroscope,1538335585318,2004548654935530,0.36965802,0.68498594,0.29295665
android.sensor.gyroscope,1538335585338,2004548674998292,0.12677033,0.5891092,0.22158176
android.sensor.gyroscope,1538335585357,2004548694418502,-0.13422741,0.48151422,0.10759499
android.sensor.gyroscope,1538335585377,2004548714528817,-0.36859274,0.30360964,0.11079088
android.sensor.gyroscope,1538335585397,2004548734442360,-0.67220235,0.11185618,0.2428877
android.sensor.gyroscope,1538335585418,2004548754545852,-0.9023065,-0.12677033,0.31532788
android.sensor.gyroscope,1538335585437,2004548774290490,-0.9704855,-0.25034478,0.312132
android.sensor.gyroscope,1538335585460,2004548794200283,-0.78725445,-0.22903883,0.29934844
android.sensor.gyroscope,1538335585477,2004548813953827,-0.56673795,-0.175774,0.3142626
android.sensor.gyroscope,1538335585498,2004548834039610,-0.5219955,-0.22690825,0.28123838
android.sensor.gyroscope,1538335585516,2004548853541018,-0.57099915,-0.19281875,0.2109288
android.sensor.gyroscope,1538335585536,2004548873846593,-0.53264844,-0.11185618,0.1395539
android.sensor.gyroscope,1538335585556,2004548893538678,-0.47405714,-0.15127216,0.12783563
android.sensor.gyroscope,1538335585579,2004548913713055,-0.4868407,-0.26632422,0.12144385
android.sensor.gyroscope,1538335585598,2004548933575089,-0.64343935,-0.3504827,0.18110047
android.sensor.gyroscope,1538335585618,2004548955188580,-0.85756403,-0.3185238,0.29508725
android.sensor.gyroscope,1538335585636,2004548972995457,-1.0088362,-0.3771151,0.33343795
android.sensor.gyroscope,1538335585656,2004548993219574,-1.0461216,-0.67646354,0.31532788
android.sensor.gyroscope,1538335585675,2004549012889419,-1.0280116,-0.9150901,0.41226992
android.sensor.gyroscope,1538335585696,2004549032904265,-1.0184239,-0.98966086,0.49749365
android.sensor.gyroscope,1538335585720,2004549052637444,-0.88845766,-0.8937841,0.4474247
android.sensor.gyroscope,1538335585738,2004549074380988,-0.6189375,-0.7414467,0.41013932
android.sensor.gyroscope,1538335585759,2004549094330209,-0.5869786,-0.78618914,0.36539686
android.sensor.gyroscope,1538335585779,2004549114422867,-0.89698005,-0.8692823,0.43037996
android.sensor.gyroscope,1538335585799,2004549134139848,-1.3284253,-0.61787224,0.4548818
android.sensor.gyroscope,1538335585818,2004549154229382,-1.191002,-0.574195,0.35367858
android.sensor.gyroscope,1538335585839,2004549173945790,-0.64343935,-0.46233886,0.19814523
android.sensor.gyroscope,1538335585859,2004549194743240,-0.17151281,-0.40161693,-0.0031958907
android.sensor.gyroscope,1538335585878,2004549213697929,0.12996623,-0.34089503,-0.12783563
android.sensor.gyroscope,1538335585898,2004549233763348,0.2801731,-0.31745848,-0.21412468
android.sensor.gyroscope,1538335585918,2004549253478037,0.2823037,-0.32917675,-0.19707993
android.sensor.gyroscope,1538335585937,2004549273576581,0.18003519,-0.35793978,-0.119313255
android.sensor.gyroscope,1538335585959,2004549293250229,0.05539544,-0.46340418,-0.070309594
android.sensor.gyroscope,1538335585977,2004549313321376,0.070309594,-0.3835069,-0.091615535
android.sensor.gyroscope,1538335585996,2004549332868826,0.23756121,-0.19388404,-0.14914156
android.sensor.gyroscope,1538335586020,2004549350982786,0.37604982,-0.053264845,-0.14807628
android.sensor.gyroscope,1538335586034,2004549370693622,0.32811147,-0.070309594,-0.10866029
android.sensor.gyroscope,1538335586056,2004549390966332,0.15340276,-0.19388404,-0.034089502
android.sensor.gyroscope,1538335586073,2004549410670032,0.0031958907,-0.4570124,0.12357444
android.sensor.gyroscope,1538335586093,2004549430637638,-0.12570503,-0.3920293,0.16831692
android.sensor.gyroscope,1538335586113,2004549450450765,0.054330144,0.022371236,0.16512102
android.sensor.gyroscope,1538335586133,2004549470619778,0.1043991,0.045807768,0.050068956
android.sensor.gyroscope,1538335586153,2004549490222123,0.120378554,0.057526033,-0.025567126
android.sensor.gyroscope,1538335586173,2004549510283427,0.122509144,0.06604841,-0.053264845
android.sensor.gyroscope,1538335586193,2004549530001971,0.023436533,-0.020240642,-0.070309594
android.sensor.gyroscope,1538335586213,2004549550054213,0.0085223755,-0.0031958907,-0.07776668
android.sensor.gyroscope,1538335586239,2004549571541454,0.034089502,0.025567126,-0.11292148
android.sensor.gyroscope,1538335586256,2004549591587237,0.03835069,0.009587673,-0.13103153
android.sensor.gyroscope,1538335586275,2004549611303385,-0.018110048,-0.025567126,-0.088419646
android.sensor.gyroscope,1538335586293,2004549629653179,-0.088419646,-0.035154797,-0.03728539
android.sensor.gyroscope,1538335586315,2004549651089535,-0.1022685,-0.035154797,-0.0010652969
android.sensor.gyroscope,1538335586333,2004549669564901,-0.088419646,-0.046873067,0.02769772
android.sensor.gyroscope,1538335586356,2004549690854174,-0.07244019,-0.04793836,0.04261188
android.sensor.gyroscope,1538335586373,2004549709226051,-0.031958908,-0.03089361,0.058591332
android.sensor.gyroscope,1538335586396,2004549730647512,-0.04261188,-0.034089502,0.10652969
