Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538335665597,2004628905580660,1.3982137,9.715671,0.31124622
android.sensor.accelerometer,1538335665597,2004628925335037,1.4077905,9.682152,0.090979666
android.sensor.accelerometer,1538335665609,2004628944951602,1.3311762,9.653421,0.11971009
android.sensor.accelerometer,1538335665628,2004628965027437,1.3311762,9.706094,0.45489833
android.sensor.accelerometer,1538335665648,2004628984981918,1.3838485,9.725247,0.5315128
android.sensor.accelerometer,1538335665667,2004629004751660,1.5849615,9.782708,0.48841715
android.sensor.accelerometer,1538335665687,2004629024702547,1.5275006,9.792285,0.3878607
android.sensor.accelerometer,1538335665709,2004629044565935,1.1779473,9.739613,0.45489833
android.sensor.accelerometer,1538335665727,2004629064480832,1.1348516,9.65821,0.6368576
android.sensor.accelerometer,1538335665746,2004629084366251,1.0965444,9.696517,0.7757214
android.sensor.accelerometer,1538335665766,2004629104260003,1.115698,9.610326,0.8858546
android.sensor.accelerometer,1538335665786,2004629124141515,1.1779473,9.634268,0.7469909
android.sensor.accelerometer,1538335665808,2004629144043549,1.2545617,9.615114,0.63206923
android.sensor.accelerometer,1538335665828,2004629163916051,1.283292,9.600749,0.58418524
android.sensor.accelerometer,1538335665848,2004629183814126,1.1731589,9.691729,0.48841715
android.sensor.accelerometer,1538335665868,2004629203756419,1.1109096,9.878476,0.5267244
android.sensor.accelerometer,1538335665888,2004629223581057,1.1587936,9.998186,0.60812724
android.sensor.accelerometer,1538335665908,2004629243590902,1.2162545,10.146626,0.50757074
android.sensor.accelerometer,1538335665928,2004629263377779,1.4077905,10.237606,0.4405331
android.sensor.accelerometer,1538335665948,2004629283352052,1.4030021,10.295067,0.36870706
android.sensor.accelerometer,1538335665968,2004629303246169,1.2258313,10.419566,0.60812724
android.sensor.accelerometer,1538335665988,2004629323076275,1.1827357,10.491392,0.63206923
android.sensor.accelerometer,1538335666007,2004629343094141,1.1013328,10.611102,0.50757074
android.sensor.accelerometer,1538335666028,2004629362816279,1.2545617,10.860099,0.6464345
android.sensor.accelerometer,1538335666047,2004629382885291,1.3838485,10.874464,0.8810662
android.sensor.accelerometer,1538335666068,2004629402828418,1.5514427,11.075577,1.1827357
android.sensor.accelerometer,1538335666088,2004629422704670,1.70946,11.252748,1.5514427
android.sensor.accelerometer,1538335666109,2004629442556130,1.8914193,11.310209,2.231396
android.sensor.accelerometer,1538335666126,2004629462071497,1.8914193,11.190498,2.8682537
android.sensor.accelerometer,1538335666151,2004629484068895,2.0159178,10.94629,3.3518825
android.sensor.accelerometer,1538335666170,2004629503987126,2.135628,10.620679,3.7493198
android.sensor.accelerometer,1538335666188,2004629523770514,2.0015526,10.237606,4.357447
android.sensor.accelerometer,1538335666206,2004629542035776,1.7477672,9.873688,5.1523223
android.sensor.accelerometer,1538335666229,2004629563719945,1.2018893,9.548077,5.482722
android.sensor.accelerometer,1538335666247,2004629581706717,0.92416185,9.102755,5.2049947
android.sensor.accelerometer,1538335666265,2004629601465157,0.6655881,8.738836,4.8985367
android.sensor.accelerometer,1538335666288,2004629622353284,0.33518824,8.552089,4.927267
android.sensor.accelerometer,1538335666305,2004629641263442,0.22026655,8.37013,4.927267
android.sensor.accelerometer,1538335666329,2004629663063079,0.17717093,8.212111,4.5298295
android.sensor.accelerometer,1538335666344,2004629680979071,-0.04309563,8.145074,4.3478703
android.sensor.accelerometer,1538335666364,2004629700885844,-0.41180268,8.049306,4.4580035
android.sensor.accelerometer,1538335666384,2004629720861783,-0.5410896,8.0445175,4.189853
android.sensor.accelerometer,1538335666404,2004629740746160,-0.7613561,8.025364,3.7732618
android.sensor.accelerometer,1538335666424,2004629760648558,-0.8619126,7.991845,3.0933087
android.sensor.accelerometer,1538335666450,2004629782186112,-1.0055647,7.9583263,2.6479871
android.sensor.accelerometer,1538335666469,2004629800374083,-1.2449849,8.020576,2.4612393
android.sensor.accelerometer,1538335666489,2004629820268981,-1.2066777,8.034941,2.2984335
android.sensor.accelerometer,1538335666517,2004629840148878,-1.2449849,8.049306,2.1404164
android.sensor.accelerometer,1538335666524,2004629860036380,-1.2593501,8.073248,2.0973208
android.sensor.accelerometer,1538335666545,2004629879946330,-1.2066777,8.135497,2.0111294
android.sensor.accelerometer,1538335666568,2004629899804405,-1.1731589,8.221688,1.6089035
android.sensor.accelerometer,1538335666588,2004629919672428,-1.1061212,8.259995,1.2976574
android.sensor.accelerometer,1538335666608,2004629939567482,-0.92416185,8.288726,0.9576807
