Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538335639278,2004602582771632,0.6703765,9.844957,-0.8714894
android.sensor.accelerometer,1538335639278,2004602602874550,0.79966336,9.825804,-1.0151415
android.sensor.accelerometer,1538335639290,2004602622527157,0.91937345,9.868899,-1.3072342
android.sensor.accelerometer,1538335639306,2004602642860336,0.7374141,9.835381,-1.4460979
android.sensor.accelerometer,1538335639325,2004602662354661,0.51235914,9.77792,-1.3503298
android.sensor.accelerometer,1538335639345,2004602682379038,0.5554548,9.734824,-1.2880806
android.sensor.accelerometer,1538335639364,2004602702103987,0.521936,9.667787,-1.2641385
android.sensor.accelerometer,1538335639388,2004602722069667,0.5746084,9.543288,-1.2737153
android.sensor.accelerometer,1538335639405,2004602741799512,0.47884035,9.576807,-1.1779473
android.sensor.accelerometer,1538335639424,2004602761935868,0.4261679,9.533711,-1.0821792
android.sensor.accelerometer,1538335639444,2004602781652120,0.60812724,9.442732,-1.1827357
android.sensor.accelerometer,1538335639464,2004602801675820,0.8523358,9.394848,-1.5658079
android.sensor.accelerometer,1538335639487,2004602821381499,0.9816227,9.485827,-1.9728222
android.sensor.accelerometer,1538335639506,2004602841654835,1.292869,9.433155,-2.4995465
android.sensor.accelerometer,1538335639525,2004602861280878,1.6998832,9.394848,-3.2082303
android.sensor.accelerometer,1538335639545,2004602881451662,2.231396,9.361329,-3.940856
android.sensor.accelerometer,1538335639564,2004602900949736,2.542642,9.016563,-3.845088
android.sensor.accelerometer,1538335639584,2004602920829165,2.4420857,9.14585,-3.8977604
android.sensor.accelerometer,1538335639604,2004602940920522,2.1978772,9.126697,-4.2760444
android.sensor.accelerometer,1538335639624,2004602960996513,2.2840683,9.222465,-4.5441947
android.sensor.accelerometer,1538335639646,2004602980501932,2.456451,9.184157,-4.8745947
android.sensor.accelerometer,1538335639665,2004603000761726,2.801216,9.217676,-5.0757074
android.sensor.accelerometer,1538335639685,2004603020363290,3.145981,9.308656,-5.104438
android.sensor.accelerometer,1538335639704,2004603040583709,3.323152,9.390059,-4.271256
android.sensor.accelerometer,1538335639726,2004603060301523,3.4380736,9.394848,-3.4045548
android.sensor.accelerometer,1538335639744,2004603080228036,3.5577838,9.255983,-2.8538885
android.sensor.accelerometer,1538335639764,2004603099644235,3.2944214,9.303867,-2.504335
android.sensor.accelerometer,1538335639784,2004603119847414,2.9783869,9.433155,-2.3223755
android.sensor.accelerometer,1538335639802,2004603139634083,2.8107927,9.485827,-2.657564
android.sensor.accelerometer,1538335639823,2004603159638512,3.0358477,9.591172,-2.920926
android.sensor.accelerometer,1538335639842,2004603179444452,3.0023289,9.619903,-2.4851813
android.sensor.accelerometer,1538335639865,2004603199495599,2.6623523,9.911995,-1.436521
android.sensor.accelerometer,1538335639882,2004603219311591,2.456451,10.175357,-0.7134721
android.sensor.accelerometer,1538335639902,2004603239272531,2.0254946,10.280702,-0.33518824
android.sensor.accelerometer,1538335639922,2004603258997480,1.7238252,10.31901,0.35913026
android.sensor.accelerometer,1538335639942,2004603279048368,1.4173675,10.232818,0.45489833
android.sensor.accelerometer,1538335639965,2004603298603891,0.80924016,10.117896,0.7326257
android.sensor.accelerometer,1538335639984,2004603318776861,0.62249243,10.093954,1.9776106
android.sensor.accelerometer,1538335640005,2004603338518582,0.7422025,9.921572,3.4763808
android.sensor.accelerometer,1538335640022,2004603358495147,0.45968673,9.725247,4.050989
android.sensor.accelerometer,1538335640041,2004603378255409,-0.17238252,9.548077,3.7780502
android.sensor.accelerometer,1538335640062,2004603398354890,-0.2681506,9.423578,3.4620156
android.sensor.accelerometer,1538335640081,2004603418056090,-0.40222588,9.3421755,3.1986535
android.sensor.accelerometer,1538335640101,2004603438115727,-0.770933,9.437943,3.2561142
android.sensor.accelerometer,1538335640121,2004603457728386,-1.3024458,9.428367,2.8778305
android.sensor.accelerometer,1538335640142,2004603477709586,-1.436521,9.548077,2.3175871
android.sensor.accelerometer,1538335640160,2004603497404535,-1.316811,9.629479,2.0207062
android.sensor.accelerometer,1538335640180,2004603517481464,-1.316811,9.715671,1.9153614
android.sensor.accelerometer,1538335640200,2004603537188914,-1.1923125,9.80665,1.5705963
android.sensor.accelerometer,1538335640221,2004603557261260,-0.90979666,9.830592,1.3311762
android.sensor.accelerometer,1538335640241,2004603576967773,-1.2018893,9.888053,1.1827357
android.sensor.accelerometer,1538335640260,2004603597265691,-0.9816227,9.878476,0.6607997
android.sensor.accelerometer,1538335640280,2004603617016526,-0.62249243,9.830592,0.37828386
android.sensor.accelerometer,1538335640304,2004603637074028,-0.8475474,9.787497,0.25378537
android.sensor.accelerometer,1538335640320,2004603657000020,-0.9768343,9.629479,0.11492168
android.sensor.accelerometer,1538335640342,2004603676999085,-0.9911995,9.557653,0.25378537
android.sensor.accelerometer,1538335640362,2004603697009868,-0.94810385,9.3421755,0.3878607
android.sensor.accelerometer,1538335640379,2004603716554974,-0.8858546,9.193734,0.320823
android.sensor.accelerometer,1538335640399,2004603736111278,-0.8714894,8.949526,0.31124622
android.sensor.accelerometer,1538335640419,2004603756138624,-1.1731589,8.815451,0.32561144
android.sensor.accelerometer,1538335640440,2004603775875084,-1.2066777,8.671799,0.5602432
android.sensor.accelerometer,1538335640459,2004603795915034,-1.0869676,8.643068,0.81402856
android.sensor.accelerometer,1538335640480,2004603815850244,-1.0582372,8.556877,1.043872
android.sensor.accelerometer,1538335640502,2004603835913007,-1.0342951,8.456321,1.0151415
android.sensor.accelerometer,1538335640520,2004603857020405,-0.79487497,8.39886,0.89064306
android.sensor.accelerometer,1538335640540,2004603877026917,-0.272939,8.480263,0.5746084
android.sensor.accelerometer,1538335640560,2004603897024992,-0.04309563,8.566454,0.45010993
android.sensor.accelerometer,1538335640581,2004603917027181,-0.19153613,8.504205,0.30166942
android.sensor.accelerometer,1538335640600,2004603937022756,-0.12928689,8.259995,0.24420857
android.sensor.accelerometer,1538335640620,2004603957025206,-0.45010993,8.025364,1.1779473
android.sensor.accelerometer,1538335640640,2004603976826094,-0.076614454,8.169016,2.4037786
android.sensor.accelerometer,1538335640661,2004603996927346,0.90500826,8.178593,2.6671407
android.sensor.accelerometer,1538335640680,2004604016683598,1.316811,7.9726915,1.7908629
android.sensor.accelerometer,1538335640701,2004604036737610,1.067814,7.6710224,1.4221559
android.sensor.accelerometer,1538335640721,2004604056454747,-0.17238252,7.417237,1.4269443
android.sensor.accelerometer,1538335640741,2004604077029697,-0.16280572,7.9104424,2.2457612
android.sensor.accelerometer,1538335640761,2004604096231105,1.4077905,8.039729,2.2984335
android.sensor.accelerometer,1538335640780,2004604116298191,2.408567,7.9822683,2.0015526
android.sensor.accelerometer,1538335640800,2004604136029391,2.1212628,8.149862,1.7142484
android.sensor.accelerometer,1538335640820,2004604156057882,1.9919758,8.983045,1.6519991
android.sensor.accelerometer,1538335640840,2004604175768665,3.1028855,9.088389,0.7422025
android.sensor.accelerometer,1538335640860,2004604195849970,3.1172507,8.954314,-0.58418524
android.sensor.accelerometer,1538335640879,2004604215543044,3.3997664,9.308656,-1.3072342
android.sensor.accelerometer,1538335640899,2004604235617890,3.8019924,9.562442,-0.9624691
android.sensor.accelerometer,1538335640920,2004604255320392,3.5098996,9.332599,-0.1340753
android.sensor.accelerometer,1538335640937,2004604273570342,3.3087866,9.02614,0.6895301
android.sensor.accelerometer,1538335640957,2004604293207636,3.7541082,9.255983,1.8339585
android.sensor.accelerometer,1538335640981,2004604315165919,4.309563,9.241618,2.1308396
android.sensor.accelerometer,1538335640999,2004604334883317,5.5737014,8.944737,1.1587936
android.sensor.accelerometer,1538335641019,2004604354940819,6.38773,9.332599,0.33997664
android.sensor.accelerometer,1538335641038,2004604374498685,6.5696893,9.428367,0.2777274
android.sensor.accelerometer,1538335641058,2004604394324989,6.493075,9.11712,0.18195933
android.sensor.accelerometer,1538335641079,2004604414438429,6.7803793,9.313444,0.038307227
android.sensor.accelerometer,1538335641099,2004604434496348,7.5082164,9.797073,0.04309563
android.sensor.accelerometer,1538335641118,2004604454199787,7.9583263,9.730036,-0.4165911
