Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335631357,2004594667122561,-0.0085223755,-0.070309594,0.03835069
android.sensor.gyroscope,1538335631358,2004594687152980,0.009587673,-0.07883197,0.044742472
android.sensor.gyroscope,1538335631371,2004594706902461,0.025567126,-0.08096257,0.043677174
android.sensor.gyroscope,1538335631390,2004594726940692,0.035154797,-0.120378554,0.015979454
android.sensor.gyroscope,1538335631409,2004594746611475,0.0085223755,-0.13209683,-0.0074570784
android.sensor.gyroscope,1538335631437,2004594766750540,-0.045807768,-0.088419646,-0.0063917814
android.sensor.gyroscope,1538335631450,2004594786401688,-0.060721926,-0.070309594,0.031958908
android.sensor.gyroscope,1538335631471,2004594806303460,-0.025567126,-0.08309316,0.053264845
android.sensor.gyroscope,1538335631489,2004594826255910,0.0085223755,-0.064983115,0.046873067
android.sensor.gyroscope,1538335631509,2004594846315392,0.009587673,-0.06285252,0.019175345
android.sensor.gyroscope,1538335631528,2004594866022321,0.018110048,-0.07350549,0.005326485
android.sensor.gyroscope,1538335631548,2004594886090916,0.02769772,-0.063917816,0.0010652969
android.sensor.gyroscope,1538335631569,2004594905806022,0.05113425,-0.043677174,0.0031958907
android.sensor.gyroscope,1538335631590,2004594926074983,0.116117366,-0.03089361,-0.0021305939
android.sensor.gyroscope,1538335631610,2004594945769724,0.18855755,-0.11079088,-0.022371236
android.sensor.gyroscope,1538335631629,2004594965835143,0.26419365,-0.22158176,-0.03728539
android.sensor.gyroscope,1538335631649,2004594985548999,0.29934844,-0.3472868,-0.0063917814
android.sensor.gyroscope,1538335631681,2004595005426553,0.29508725,-0.39842105,0.04261188
android.sensor.gyroscope,1538335631688,2004595025324524,0.25780186,-0.46873066,0.036220096
android.sensor.gyroscope,1538335631708,2004595045387599,0.21838588,-0.64343935,0.015979454
android.sensor.gyroscope,1538335631730,2004595064913851,0.21412468,-0.8383887,-0.009587673
android.sensor.gyroscope,1538335631747,2004595084897707,0.22477765,-1.0429257,-0.02130594
android.sensor.gyroscope,1538335631767,2004595104760365,0.2098635,-1.2112426,-0.01384886
android.sensor.gyroscope,1538335631788,2004595124803857,0.12783563,-1.2858135,-0.0063917814
android.sensor.gyroscope,1538335631807,2004595144514171,0.04900366,-1.3998002,-0.009587673
android.sensor.gyroscope,1538335631828,2004595164499798,0.046873067,-1.474371,0.0042611877
android.sensor.gyroscope,1538335631849,2004595184288446,0.11079088,-1.5553335,0.01384886
android.sensor.gyroscope,1538335631868,2004595204340375,0.16725162,-1.610729,0.02450183
android.sensor.gyroscope,1538335631888,2004595224063762,0.16831692,-1.6597326,0.034089502
android.sensor.gyroscope,1538335631908,2004595244140379,0.1374233,-1.660798,0.02130594
android.sensor.gyroscope,1538335631935,2004595265724183,0.094811425,-1.6991487,0.036220096
android.sensor.gyroscope,1538335631949,2004595284078716,0.05539544,-1.7385646,0.029828314
android.sensor.gyroscope,1538335631971,2004595305500541,0.01065297,-1.7236505,-0.0042611877
android.sensor.gyroscope,1538335631988,2004595323660804,0.01065297,-1.7406952,-0.02130594
android.sensor.gyroscope,1538335632011,2004595344995337,0.017044751,-1.754544,-0.04261188
android.sensor.gyroscope,1538335632032,2004595365350912,-0.054330144,-1.7129974,-0.09694202
android.sensor.gyroscope,1538335632051,2004595385054404,-0.1725781,-1.6341655,-0.10759499
android.sensor.gyroscope,1538335632073,2004595405118103,-0.30147904,-1.6022066,-0.070309594
android.sensor.gyroscope,1538335632091,2004595424576022,-0.40161693,-1.5883577,-0.06285252
android.sensor.gyroscope,1538335632111,2004595444938837,-0.40161693,-1.5755742,-0.06604841
android.sensor.gyroscope,1538335632131,2004595464607953,-0.36539686,-1.550007,-0.07989727
android.sensor.gyroscope,1538335632149,2004595484665716,-0.38883337,-1.5169828,-0.063917816
android.sensor.gyroscope,1538335632171,2004595504385197,-0.46660006,-1.348666,0.02769772
android.sensor.gyroscope,1538335632192,2004595524445876,-0.6999001,-0.986465,0.14488038
android.sensor.gyroscope,1538335632207,2004595542473013,-1.3081846,-0.3856375,0.33450323
android.sensor.gyroscope,1538335632228,2004595562357859,-1.646949,-0.13635801,0.3845722
android.sensor.gyroscope,1538335632252,2004595583972236,-1.3156418,-0.4239882,0.23330003
android.sensor.gyroscope,1538335632271,2004595604014113,-0.40374753,-0.74464256,0.011718267
android.sensor.gyroscope,1538335632292,2004595623799792,0.33130735,-0.76168734,-0.19707993
android.sensor.gyroscope,1538335632312,2004595643878284,0.4495553,-0.5496932,-0.25247538
android.sensor.gyroscope,1538335632332,2004595663460577,0.13529271,-0.15446806,-0.2066676
android.sensor.gyroscope,1538335632354,2004595684838860,-0.122509144,0.068179004,-0.067113705
android.sensor.gyroscope,1538335632368,2004595703282144,-0.09587672,0.16192514,-0.02769772
android.sensor.gyroscope,1538335632390,2004595721812666,0.044742472,0.15553336,-0.089484945
android.sensor.gyroscope,1538335632409,2004595741804700,0.18536167,0.064983115,-0.116117366
android.sensor.gyroscope,1538335632431,2004595762903087,0.19175345,0.05539544,-0.14381509
android.sensor.gyroscope,1538335632446,2004595781725433,0.029828314,0.175774,-0.11079088
android.sensor.gyroscope,1538335632468,2004595800994445,-0.19494934,0.40055165,-0.018110048
android.sensor.gyroscope,1538335632490,2004595821327728,-0.20347172,0.48151422,0.045807768
android.sensor.gyroscope,1538335632510,2004595841315178,0.014914157,0.35793978,0.025567126
android.sensor.gyroscope,1538335632529,2004595860480180,0.15020686,0.3206544,0.04154658
android.sensor.gyroscope,1538335632549,2004595880537265,0.08522376,0.4868407,0.17683929
android.sensor.gyroscope,1538335632568,2004595900269090,-0.08522376,0.8021686,0.37498453
android.sensor.gyroscope,1538335632589,2004595920323415,-0.14168449,0.9790079,0.56780326
android.sensor.gyroscope,1538335632610,2004595941951959,0.019175345,1.0301422,0.71055305
android.sensor.gyroscope,1538335632628,2004595960075867,0.24608359,1.0695581,0.7510343
android.sensor.gyroscope,1538335632646,2004595979798109,0.39522517,1.0333381,0.7648832
android.sensor.gyroscope,1538335632669,2004596001468215,0.32704616,1.072754,0.7659485
android.sensor.gyroscope,1538335632686,2004596019614988,0.119313255,1.2677033,0.8479764
android.sensor.gyroscope,1538335632707,2004596039633844,-0.012783563,1.5436152,1.0525134
android.sensor.gyroscope,1538335632723,2004596059319992,-0.028763017,1.7129974,1.2229608
android.sensor.gyroscope,1538335632744,2004596079368014,0.0021305939,1.7023445,1.241071
android.sensor.gyroscope,1538335632764,2004596099094683,0.070309594,1.5244399,1.1686307
android.sensor.gyroscope,1538335632785,2004596119196195,0.07244019,1.4498692,1.1665001
android.sensor.gyroscope,1538335632804,2004596138833124,0.054330144,1.4818281,1.3422742
android.sensor.gyroscope,1538335632824,2004596158963439,0.122509144,1.5361582,1.5201787
