Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538335757758,2004721079607863,8.686164,2.7964275,3.2848446
android.sensor.accelerometer,1538335757771,2004721099489584,8.619126,2.7820623,3.1890767
android.sensor.accelerometer,1538335757783,2004721119182399,8.619126,2.7246015,3.1842883
android.sensor.accelerometer,1538335757804,2004721139522296,8.734048,2.72939,3.241749
android.sensor.accelerometer,1538335757822,2004721159221153,8.7771435,2.7246015,3.3518825
android.sensor.accelerometer,1538335757842,2004721179288290,8.652645,2.6527755,3.4620156
android.sensor.accelerometer,1538335757861,2004721198898292,8.714894,2.552219,3.6008794
android.sensor.accelerometer,1538335757883,2004721218814388,8.690952,2.5139117,3.6391866
android.sensor.accelerometer,1538335757902,2004721238673035,8.700529,2.4372973,3.6487634
android.sensor.accelerometer,1538335757922,2004721258750225,8.671799,2.3702598,3.691859
android.sensor.accelerometer,1538335757942,2004721278451894,8.513782,2.2888567,3.7205894
android.sensor.accelerometer,1538335757961,2004721298586062,8.437167,2.255338,3.8019924
android.sensor.accelerometer,1538335757982,2004721318298616,8.39886,2.4277205,3.892972
android.sensor.accelerometer,1538335758003,2004721338428566,8.595184,2.743755,3.940856
android.sensor.accelerometer,1538335758022,2004721358073308,9.270349,3.6822822,4.7405195
android.sensor.accelerometer,1538335758043,2004721378231851,13.268666,4.6830587,6.5696893
android.sensor.accelerometer,1538335758061,2004721397853155,20.719421,4.8506527,8.408437
android.sensor.accelerometer,1538335758082,2004721417901543,25.028984,4.793192,10.0029745
android.sensor.accelerometer,1538335758102,2004721437660347,23.218967,4.903325,10.682928
android.sensor.accelerometer,1538335758121,2004721457770870,20.57577,3.9264908,8.303091
android.sensor.accelerometer,1538335758143,2004721477227799,17.650055,3.0023289,4.357447
android.sensor.accelerometer,1538335758159,2004721497377905,12.512098,1.9967642,2.1260512
android.sensor.accelerometer,1538335758180,2004721517107647,7.345411,0.32561144,0.8858546
android.sensor.accelerometer,1538335758200,2004721537070044,2.5330653,-1.5227122,-0.047884032
android.sensor.accelerometer,1538335758221,2004721556742598,-2.633622,-2.896984,-0.8619126
android.sensor.accelerometer,1538335758241,2004721576836455,-8.394072,-4.687847,-2.4995465
android.sensor.accelerometer,1538335758266,2004721596522550,-14.877569,-5.81791,-3.6774938
android.sensor.accelerometer,1538335758280,2004721616585365,-19.215862,-6.4404025,-2.9879637
android.sensor.accelerometer,1538335758300,2004721636299898,-19.393034,-7.3789296,0.076614454
android.sensor.accelerometer,1538335758325,2004721656361931,-17.080235,-8.537724,2.6719291
android.sensor.accelerometer,1538335758342,2004721676341777,-12.6222315,-9.370906,2.135628
android.sensor.accelerometer,1538335758361,2004721697141467,-5.741296,-9.758766,-1.5993267
android.sensor.accelerometer,1538335758382,2004721717159594,7.541735,-10.721235,-3.3997664
android.sensor.accelerometer,1538335758403,2004721735939231,33.97851,-8.183381,3.3566709
android.sensor.accelerometer,1538335758422,2004721757135535,54.94693,-0.79966336,13.623008
android.sensor.accelerometer,1538335758442,2004721777147725,47.951073,8.049306,22.878992
android.sensor.accelerometer,1538335758461,2004721797119289,45.37012,11.008539,21.590912
android.sensor.accelerometer,1538335758481,2004721817118666,40.643967,10.352529,14.30775
android.sensor.accelerometer,1538335758502,2004721837118564,30.957027,6.8809357,9.064447
android.sensor.accelerometer,1538335758521,2004721857118149,22.203827,3.1364043,4.43885
android.sensor.accelerometer,1538335758541,2004721877126120,14.4849205,-1.7286136,1.0007763
android.sensor.accelerometer,1538335758561,2004721897138934,5.3965306,-6.301539,-1.2641385
android.sensor.accelerometer,1538335758579,2004721915101801,-4.256891,-9.9550905,-4.280833
android.sensor.accelerometer,1538335758602,2004721936979563,-14.121001,-13.010092,-4.984728
android.sensor.accelerometer,1538335758621,2004721956685711,-22.208614,-13.158532,-3.107674
android.sensor.accelerometer,1538335758641,2004721976754515,-24.23411,-11.980585,0.4261679
android.sensor.accelerometer,1538335758661,2004721996723423,-22.582111,-10.563218,2.72939
android.sensor.accelerometer,1538335758680,2004722016546707,-17.410635,-9.394848,0.33997664
android.sensor.accelerometer,1538335758701,2004722036379469,-6.8761473,-8.226477,-5.0661306
android.sensor.accelerometer,1538335758721,2004722056300513,13.139379,-7.3789296,-6.531382
android.sensor.accelerometer,1538335758741,2004722076015567,41.951202,-3.0262709,-0.8714894
android.sensor.accelerometer,1538335758761,2004722096081142,54.219093,5.7748146,7.3310456
android.sensor.accelerometer,1538335758778,2004722114107862,46.974236,11.822568,15.509639
android.sensor.accelerometer,1538335758801,2004722135692500,39.149986,12.469003,13.024457
android.sensor.accelerometer,1538335758819,2004722154135054,29.798235,10.228029,5.9759274
android.sensor.accelerometer,1538335758840,2004722175619223,22.036232,7.3310456,1.8004397
android.sensor.accelerometer,1538335758858,2004722193521047,16.55351,4.7884035,0.90979666
android.sensor.accelerometer,1538335758880,2004722215405008,10.778696,1.7717092,0.90500826
android.sensor.accelerometer,1538335758901,2004722235147978,5.559336,-1.7381904,0.2825158
android.sensor.accelerometer,1538335758920,2004722255297564,0.062249243,-5.6120086,-1.6136919
android.sensor.accelerometer,1538335758939,2004722274893347,-5.741296,-9.074024,-2.432509
android.sensor.accelerometer,1538335758957,2004722293139234,-12.665327,-10.85531,-1.7381904
android.sensor.accelerometer,1538335758979,2004722314673038,-18.526333,-10.745177,0.9624691
android.sensor.accelerometer,1538335758999,2004722334751478,-19.800049,-9.543288,4.414908
android.sensor.accelerometer,1538335759019,2004722354429657,-17.137695,-8.499416,5.1666875
android.sensor.accelerometer,1538335759038,2004722374444659,-11.180922,-7.824251,1.5849615
android.sensor.accelerometer,1538335759062,2004722394223723,-1.6759412,-7.422025,-3.265691
android.sensor.accelerometer,1538335759083,2004722414295653,15.9262295,-5.932832,-4.0414124
android.sensor.accelerometer,1538335759097,2004722432194456,40.30878,-2.8921957,-0.2681506
android.sensor.accelerometer,1538335759118,2004722454055604,53.496044,4.999093,7.8529816
android.sensor.accelerometer,1538335759140,2004722473786492,49.382805,11.305421,17.860744
android.sensor.accelerometer,1538335759159,2004722493836077,40.691853,12.449849,17.104177
android.sensor.accelerometer,1538335759179,2004722513568162,30.731974,9.337387,8.78672
android.sensor.accelerometer,1538335759198,2004722533626550,23.343466,6.349423,3.6487634
android.sensor.accelerometer,1538335759220,2004722553329364,16.567875,3.4476504,1.9919758
android.sensor.accelerometer,1538335759239,2004722573389158,9.921572,-0.20590134,0.90979666
android.sensor.accelerometer,1538335759259,2004722593112337,3.6727054,-3.6870706,-1.1204864
android.sensor.accelerometer,1538335759278,2004722613178120,-2.8299465,-7.038953,-2.552219
android.sensor.accelerometer,1538335759299,2004722632918383,-8.78672,-9.241618,-2.0015526
android.sensor.accelerometer,1538335759317,2004722652959270,-12.876017,-9.701305,0.4405331
android.sensor.accelerometer,1538335759339,2004722672668960,-14.987702,-9.313444,3.107674
android.sensor.accelerometer,1538335759358,2004722692738180,-15.8304615,-8.508993,4.2185836
android.sensor.accelerometer,1538335759379,2004722712446203,-13.656527,-8.250419,3.1364043
android.sensor.accelerometer,1538335759399,2004722732515476,-9.241618,-7.541735,0.15322891
android.sensor.accelerometer,1538335759419,2004722752215895,-3.3183637,-6.0525417,-2.5187001
android.sensor.accelerometer,1538335759436,2004722772234230,9.3182335,-4.280833,-1.2976574
android.sensor.accelerometer,1538335759453,2004722790078919,31.498117,-1.9728222,1.2689269
android.sensor.accelerometer,1538335759473,2004722809917515,49.468994,3.5865142,3.5098996
android.sensor.accelerometer,1538335759491,2004722829629131,48.13303,9.782708,8.145074
android.sensor.accelerometer,1538335759514,2004722849900488,39.384617,12.339716,9.725247
android.sensor.accelerometer,1538335759535,2004722871110594,29.803022,11.042058,5.889736
android.sensor.accelerometer,1538335759556,2004722891702263,22.85505,7.752425,2.054225
android.sensor.accelerometer,1538335759575,2004722909442889,18.330008,5.2624555,1.2689269
android.sensor.accelerometer,1538335759597,2004722931254037,13.618219,2.9257145,1.8818425
android.sensor.accelerometer,1538335759616,2004722950978571,8.992621,0.93373865,1.6711528
android.sensor.accelerometer,1538335759637,2004722971596333,5.109226,-0.8619126,0.8523358
android.sensor.accelerometer,1538335759655,2004722990740450,2.4229321,-2.5617957,0.2825158
android.sensor.accelerometer,1538335759677,2004723010798577,-0.41180268,-4.4484267,0.08619126
android.sensor.accelerometer,1538335759697,2004723030517954,-3.0214825,-5.693412,0.6560113
android.sensor.accelerometer,1538335759724,2004723050588320,-5.813122,-6.1195793,1.5897499
android.sensor.accelerometer,1538335759737,2004723070433791,-9.974244,-6.4404025,2.2505496
android.sensor.accelerometer,1538335759756,2004723090531501,-15.179238,-6.2728086,3.0933087
android.sensor.accelerometer,1538335759773,2004723110042649,-17.343597,-5.923255,3.2369606
