Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335733997,2004697302630598,-0.04793836,-0.2844343,-0.2801731
android.sensor.gyroscope,1538335733998,2004697322579454,-0.113986775,-0.36220095,-0.68498594
android.sensor.gyroscope,1538335734009,2004697342118154,0.0031958907,-0.29082605,-0.95450604
android.sensor.gyroscope,1538335734026,2004697362445292,0.23010413,-0.15446806,-1.0035098
android.sensor.gyroscope,1538335734045,2004697382116596,0.50921196,-0.18323107,-1.0993865
android.sensor.gyroscope,1538335734065,2004697402035400,0.74996907,-0.58378273,-1.5872924
android.sensor.gyroscope,1538335734085,2004697421906652,0.9449184,-1.0748847,-2.0560231
android.sensor.gyroscope,1538335734109,2004697441814310,1.0929947,-1.1718266,-2.106092
android.sensor.gyroscope,1538335734125,2004697461750354,1.0780805,-0.9193513,-1.8344413
android.sensor.gyroscope,1538335734145,2004697481578272,0.89698005,-0.51666903,-1.4733057
android.sensor.gyroscope,1538335734163,2004697501372232,0.6285252,-0.122509144,-1.3049887
android.sensor.gyroscope,1538335734184,2004697521143953,0.40800872,-0.020240642,-1.395539
android.sensor.gyroscope,1538335734206,2004697541153643,0.40268224,-0.12890093,-1.5404193
android.sensor.gyroscope,1538335734224,2004697560946874,0.7627526,-0.29295665,-1.6714509
android.sensor.gyroscope,1538335734244,2004697580816980,1.2602463,-0.82560515,-1.2176344
android.sensor.gyroscope,1538335734264,2004697600672503,0.53797495,-1.912208,0.4133352
android.sensor.gyroscope,1538335734286,2004697620565109,-1.1718266,-1.8205925,2.271213
android.sensor.gyroscope,1538335734305,2004697640486257,-2.4214199,-0.5827174,4.1791596
android.sensor.gyroscope,1538335734328,2004697660374228,-2.8645835,0.017044751,5.966728
android.sensor.gyroscope,1538335734342,2004697680347094,-2.3521757,-0.86289054,6.963846
android.sensor.gyroscope,1538335734362,2004697700247565,-2.1923811,-1.9548199,7.078898
android.sensor.gyroscope,1538335734382,2004697720183713,-2.5737574,-1.7875682,5.8953533
