Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538335354717,2004318027849118,13.532028,-9.069236,8.259995
android.sensor.accelerometer,1538335354717,2004318047907974,15.222335,-10.204087,7.7093296
android.sensor.accelerometer,1538335354733,2004318067423080,17.209522,-11.051635,5.770026
android.sensor.accelerometer,1538335354750,2004318087716312,19.445705,-12.612655,4.3287168
android.sensor.accelerometer,1538335354769,2004318107396314,22.91251,-14.279019,3.2273839
android.sensor.accelerometer,1538335354790,2004318127407826,24.77041,-15.26543,3.2513258
android.sensor.accelerometer,1538335354810,2004318147135901,25.139118,-14.824897,2.777274
android.sensor.accelerometer,1538335354829,2004318167205486,24.114399,-13.512875,-0.11492168
android.sensor.accelerometer,1538335354850,2004318186970124,22.19425,-12.263102,-1.8674773
android.sensor.accelerometer,1538335354870,2004318207030646,22.692244,-11.688493,-3.4380736
android.sensor.accelerometer,1538335354890,2004318226881169,22.811954,-11.180922,-5.094861
android.sensor.accelerometer,1538335354909,2004318246879557,22.031445,-10.793061,-7.086837
android.sensor.accelerometer,1538335354931,2004318266618673,19.967642,-10.970232,-7.881712
android.sensor.accelerometer,1538335354951,2004318286645967,18.29649,-11.03727,-7.52737
android.sensor.accelerometer,1538335354971,2004318306309146,15.710752,-11.243171,-7.1826053
android.sensor.accelerometer,1538335354991,2004318326625138,13.043611,-10.903194,-5.722142
android.sensor.accelerometer,1538335355011,2004318346259567,11.8896055,-9.701305,-5.6215854
android.sensor.accelerometer,1538335355031,2004318366118891,11.008539,-8.470686,-6.71813
android.sensor.accelerometer,1538335355051,2004318386053633,9.911995,-6.9527617,-6.981492
android.sensor.accelerometer,1538335355071,2004318406105093,9.030929,-5.947197,-6.603208
android.sensor.accelerometer,1538335355089,2004318425601449,9.107543,-5.1140146,-6.6510925
android.sensor.accelerometer,1538335355110,2004318445751660,9.433155,-4.213795,-6.9623384
android.sensor.accelerometer,1538335355131,2004318465620724,9.050082,-3.596091,-6.4260373
android.sensor.accelerometer,1538335355149,2004318485414060,8.523358,-3.5529952,-5.3199162
android.sensor.accelerometer,1538335355169,2004318505306510,8.130709,-3.4476504,-3.739743
android.sensor.accelerometer,1538335355190,2004318525495366,6.517017,-2.5953147,-2.030283
android.sensor.accelerometer,1538335355210,2004318545199013,5.3342814,-2.1404164,-0.5793968
android.sensor.accelerometer,1538335355230,2004318564829068,4.721366,-1.4796166,0.90021986
android.sensor.accelerometer,1538335355250,2004318584934851,4.0797195,-1.2066777,0.9768343
android.sensor.accelerometer,1538335355268,2004318604825374,2.7389667,-0.7278373,0.7661445
android.sensor.accelerometer,1538335355293,2004318626460063,2.1212628,-0.33039984,1.3790601
android.sensor.accelerometer,1538335355312,2004318646495586,2.0015526,0.15322891,2.3798366
android.sensor.accelerometer,1538335355333,2004318666234494,2.657564,0.4309563,1.685518
android.sensor.accelerometer,1538335355348,2004318684129340,2.7389667,0.60333884,0.82360536
android.sensor.accelerometer,1538335355372,2004318706008613,2.8107927,1.115698,0.4405331
android.sensor.accelerometer,1538335355389,2004318724235750,2.7868507,1.5658079,0.5650316
android.sensor.accelerometer,1538335355412,2004318745802679,2.9831753,1.2976574,0.2873042
android.sensor.accelerometer,1538335355429,2004318764014452,3.2944214,1.067814,0.12928689
android.sensor.accelerometer,1538335355450,2004318785555287,3.8642416,0.7565677,1.0055647
android.sensor.accelerometer,1538335355472,2004318805617633,4.486734,0.15801731,0.4213795
android.sensor.accelerometer,1538335355492,2004318825339562,4.232949,-0.23942018,-1.6041151
android.sensor.accelerometer,1538335355509,2004318843713470,4.012682,-0.7038953,-3.2130187
android.sensor.accelerometer,1538335355533,2004318865120868,4.185065,-1.4939818,-3.1603463
android.sensor.accelerometer,1538335355548,2004318883264047,4.1802764,-2.054225,-1.70946
android.sensor.accelerometer,1538335355572,2004318904896601,4.582502,-3.1794999,-2.528277
android.sensor.accelerometer,1538335355590,2004318923137905,5.1379566,-5.2002063,-2.9783869
android.sensor.accelerometer,1538335355610,2004318942512126,5.60722,-7.824251,-1.7860745
android.sensor.accelerometer,1538335355627,2004318962709420,6.469133,-9.691729,-0.38307226
android.sensor.accelerometer,1538335355644,2004318982432078,8.7292595,-11.463438,-2.1499932
android.sensor.accelerometer,1538335355665,2004319002353069,9.720459,-14.81532,-7.441179
android.sensor.accelerometer,1538335355685,2004319022092134,11.324574,-19.804836,-5.851429
android.sensor.accelerometer,1538335355706,2004319042361823,16.232687,-26.36016,3.2225955
android.sensor.accelerometer,1538335355725,2004319061839169,21.38501,-33.19321,3.9983168
android.sensor.accelerometer,1538335355745,2004319082041723,26.470293,-40.00711,-4.534618
android.sensor.accelerometer,1538335355765,2004319101849538,32.494106,-46.734818,-15.528792
android.sensor.accelerometer,1538335355785,2004319121927977,35.822044,-54.01319,-25.665842
android.sensor.accelerometer,1538335355808,2004319141629333,36.243423,-61.013836,-32.11582
android.sensor.accelerometer,1538335355829,2004319163451523,37.924156,-66.01293,-39.65756
android.sensor.accelerometer,1538335355845,2004319181458660,35.735855,-69.17328,-42.29118
android.sensor.accelerometer,1538335355868,2004319202912569,34.079067,-70.64332,-43.27759
android.sensor.accelerometer,1538335355887,2004319221081789,27.188555,-68.55078,-42.0757
android.sensor.accelerometer,1538335355907,2004319241265437,26.173412,-64.54289,-37.086185
android.sensor.accelerometer,1538335355930,2004319261580022,28.510155,-60.118404,-33.643322
android.sensor.accelerometer,1538335355950,2004319282926118,27.940334,-54.34359,-33.92584
android.sensor.accelerometer,1538335355971,2004319302653412,21.801601,-41.367016,-40.87381
android.sensor.accelerometer,1538335355985,2004319320830653,18.942924,-26.45114,-47.606308
android.sensor.accelerometer,1538335356005,2004319340529926,10.606314,-14.417883,-37.6991
android.sensor.accelerometer,1538335356029,2004319362490345,2.1691468,-6.7324953,-29.012936
android.sensor.accelerometer,1538335356049,2004319382181076,-0.2681506,-0.34476504,-34.984074
android.sensor.accelerometer,1538335356067,2004319400369411,-2.1883004,5.93762,-29.788658
android.sensor.accelerometer,1538335356089,2004319421939153,0.46447513,8.930372,-19.948488
android.sensor.accelerometer,1538335356106,2004319440141759,2.2601264,9.102755,-7.28795
android.sensor.accelerometer,1538335356129,2004319461685042,1.5562311,7.800309,-0.5267244
android.sensor.accelerometer,1538335356144,2004319480009107,2.1308396,5.482722,0.60333884
android.sensor.accelerometer,1538335356166,2004319499634161,1.3024458,2.7581203,-1.3982137
android.sensor.accelerometer,1538335356186,2004319519641506,1.1204864,0.37349546,0.090979666
android.sensor.accelerometer,1538335356209,2004319541346040,2.8107927,-2.0350714,7.6853876
android.sensor.accelerometer,1538335356225,2004319559469531,4.381389,-3.265691,11.784261
android.sensor.accelerometer,1538335356245,2004319579159273,5.770026,-4.390966,13.661315
android.sensor.accelerometer,1538335356263,2004319599273754,6.775591,-5.3007627,15.9022875
android.sensor.accelerometer,1538335356283,2004319619126308,5.554548,-5.329493,15.040375
android.sensor.accelerometer,1538335356305,2004319639654591,4.76925,-5.602432,12.727576
android.sensor.accelerometer,1538335356324,2004319658726989,5.4061074,-5.5737014,11.81778
android.sensor.accelerometer,1538335356343,2004319678899647,5.482722,-4.817134,12.181698
android.sensor.accelerometer,1538335356365,2004319699113087,5.60722,-4.5441947,11.314998
android.sensor.accelerometer,1538335356384,2004319718586943,6.6606693,-4.9943047,11.027693
android.sensor.accelerometer,1538335356403,2004319738055955,6.71813,-5.023035,11.583148
android.sensor.accelerometer,1538335356426,2004319758367988,6.703765,-4.4484267,11.147403
android.sensor.accelerometer,1538335356446,2004319778078511,7.225701,-5.0421886,11.281479
android.sensor.accelerometer,1538335356466,2004319797899607,7.1395097,-6.2488666,12.531252
android.sensor.accelerometer,1538335356485,2004319817622161,5.506664,-6.0525417,13.086706
android.sensor.accelerometer,1538335356505,2004319837672163,4.8027687,-5.233725,11.7268
android.sensor.accelerometer,1538335356524,2004319857599665,5.5497594,-5.9519854,12.5025215
android.sensor.accelerometer,1538335356543,2004319877687011,6.7803793,-6.967127,14.441825
android.sensor.accelerometer,1538335356564,2004319897390711,6.5984197,-6.5026517,14.939818
android.sensor.accelerometer,1538335356585,2004319917531494,5.142745,-5.0038815,14.135366
android.sensor.accelerometer,1538335356603,2004319937258319,2.954445,-4.0174704,13.019669
android.sensor.accelerometer,1538335356622,2004319957334935,0.45010993,-3.2992098,11.587936
android.sensor.accelerometer,1538335356642,2004319977075094,-1.4221559,-2.5570073,10.290278
android.sensor.accelerometer,1538335356662,2004319997091502,-1.9632454,-1.2689269,8.7053175
