Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335333098,2004296409429255,-4.398611,-0.68179005,-0.95024484
android.sensor.gyroscope,1538335333098,2004296429223372,-4.424178,-0.79151565,-0.8383887
android.sensor.gyroscope,1538335333112,2004296449194311,-4.2526655,-1.1004517,-0.73612016
android.sensor.gyroscope,1538335333131,2004296468914261,-4.1962047,-1.4136491,-0.67539823
android.sensor.gyroscope,1538335333151,2004296488992232,-4.4252434,-1.5414847,-0.6295905
android.sensor.gyroscope,1538335333171,2004296508628536,-4.818338,-1.7918295,-0.47512242
android.sensor.gyroscope,1538335333194,2004296528567549,-5.0132875,-2.1657486,-0.35793978
android.sensor.gyroscope,1538335333211,2004296548437290,-5.1198173,-2.460836,-0.42292288
android.sensor.gyroscope,1538335333231,2004296568473386,-5.0058303,-2.7537925,-0.3781804
android.sensor.gyroscope,1538335333251,2004296588302554,-4.7853136,-2.8102534,-0.12357444
android.sensor.gyroscope,1538335333271,2004296608410525,-4.326171,-3.0052028,0.15340276
android.sensor.gyroscope,1538335333291,2004296628062558,-4.3506727,-3.4824557,-0.089484945
android.sensor.gyroscope,1538335333312,2004296648200894,-4.9046273,-3.1713889,-0.3771151
android.sensor.gyroscope,1538335333332,2004296667872406,-5.4841485,-2.9615254,-0.95131016
android.sensor.gyroscope,1538335333351,2004296687921106,-6.005079,-2.8816283,-1.2346791
android.sensor.gyroscope,1538335333371,2004296707640587,-6.6144285,-2.8933465,-1.2559851
android.sensor.gyroscope,1538335333391,2004296727693714,-6.9222994,-2.948742,-1.1398677
android.sensor.gyroscope,1538335333411,2004296747421841,-6.544119,-3.0265086,-1.2634422
android.sensor.gyroscope,1538335333431,2004296767496010,-5.9262466,-3.0297046,-1.4232367
android.sensor.gyroscope,1538335333450,2004296787188668,-5.316897,-3.3120081,-1.2602463
android.sensor.gyroscope,1538335333470,2004296807248201,-5.0686827,-3.2310457,-1.2357445
android.sensor.gyroscope,1538335333490,2004296826963724,-5.0793357,-2.625957,-1.3625147
android.sensor.gyroscope,1538335333510,2004296847028518,-5.004765,-1.6810386,-1.3614495
android.sensor.gyroscope,1538335333530,2004296866544509,-4.762943,-0.99285674,-1.3369477
android.sensor.gyroscope,1538335333550,2004296886851647,-4.392219,-0.64876586,-1.4264326
android.sensor.gyroscope,1538335333570,2004296906566024,-3.8393302,-0.70203066,-1.4903504
android.sensor.gyroscope,1538335333590,2004296926632640,-3.6081607,-0.9417225,-1.5958148
android.sensor.gyroscope,1538335333609,2004296946028788,-3.5101533,-1.3262947,-1.6085984
android.sensor.gyroscope,1538335333631,2004296966430873,-3.454758,-1.3827554,-1.3774289
android.sensor.gyroscope,1538335333650,2004296986121709,-3.5687447,-0.98966086,-0.99392205
android.sensor.gyroscope,1538335333671,2004297006190929,-3.4813905,-0.5102772,-0.5230608
android.sensor.gyroscope,1538335333690,2004297025896556,-3.214001,-0.204537,-0.19281875
android.sensor.gyroscope,1538335333710,2004297045981142,-2.9689825,-0.10652969,-0.18110047
android.sensor.gyroscope,1538335333730,2004297065689008,-2.63661,-0.39415985,-0.2823037
android.sensor.gyroscope,1538335333756,2004297085833542,-2.4363341,-0.57632565,-0.36859274
android.sensor.gyroscope,1538335333771,2004297105354846,-2.3255432,-0.4559471,-0.36433154
android.sensor.gyroscope,1538335333792,2004297127204223,-2.0325866,-0.38670278,-0.29295665
android.sensor.gyroscope,1538335333811,2004297145338183,-1.6352308,-0.41440052,-0.21518998
android.sensor.gyroscope,1538335333832,2004297166982664,-1.1846102,-0.45914298,-0.033024207
android.sensor.gyroscope,1538335333850,2004297186871937,-0.6658106,-0.30041373,0.204537
android.sensor.gyroscope,1538335333872,2004297206736002,-0.09800732,-0.21838588,0.39735577
android.sensor.gyroscope,1538335333889,2004297224752514,0.57739097,-0.54117084,0.3792457
android.sensor.gyroscope,1538335333909,2004297244827516,1.3870167,-1.198459,0.29934844
android.sensor.gyroscope,1538335333929,2004297264442309,2.1764016,-1.6938221,0.26419365
android.sensor.gyroscope,1538335333946,2004297284337989,2.9785702,-2.0783944,0.41866168
android.sensor.gyroscope,1538335333965,2004297304035803,3.9117703,-2.1231368,0.72333664
android.sensor.gyroscope,1538335333986,2004297324080128,3.789261,-1.3827554,1.1952631
android.sensor.gyroscope,1538335334005,2004297343867369,2.0219336,0.65622294,1.5265706
