Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538335837798,2004801113501305,9.3661175,2.27928,-1.9728222
android.sensor.accelerometer,1538335837798,2004801133288234,9.399636,2.2601264,-1.9153614
android.sensor.accelerometer,1538335837820,2004801153135371,9.624691,2.0973208,-2.0638018
android.sensor.accelerometer,1538335837835,2004801173254332,9.404425,2.408567,-2.1404164
android.sensor.accelerometer,1538335837855,2004801192943500,9.500193,2.1164744,-2.3463178
android.sensor.accelerometer,1538335837875,2004801213071107,9.916783,1.8483237,-2.5761611
android.sensor.accelerometer,1538335837895,2004801232743713,10.338163,1.6903064,-3.371036
android.sensor.accelerometer,1538335837919,2004801252776006,10.759542,1.3790601,-4.6782703
android.sensor.accelerometer,1538335837935,2004801272546217,10.749966,1.2880806,-5.439626
android.sensor.accelerometer,1538335837955,2004801292615385,10.58716,1.2737153,-5.2863975
android.sensor.accelerometer,1538335837975,2004801312268721,10.328587,1.2449849,-4.7979803
android.sensor.accelerometer,1538335837995,2004801332399712,10.223241,0.80445176,-4.132392
android.sensor.accelerometer,1538335838015,2004801351892266,10.19451,0.33997664,-3.8594532
android.sensor.accelerometer,1538335838036,2004801372140654,10.802638,-0.82360536,-4.697424
android.sensor.accelerometer,1538335838055,2004801391671697,11.812991,-1.4460979,-6.205771
android.sensor.accelerometer,1538335838076,2004801411776960,12.50731,-2.1452048,-8.959103
android.sensor.accelerometer,1538335838096,2004801431704566,12.291832,-2.815581,-11.48738
android.sensor.accelerometer,1538335838116,2004801451910401,11.999739,-3.3039982,-12.445061
android.sensor.accelerometer,1538335838136,2004801471451236,11.851298,-3.6870706,-11.880029
android.sensor.accelerometer,1538335838154,2004801491456030,11.51611,-4.1802764,-11.219229
android.sensor.accelerometer,1538335838175,2004801511152803,10.5919485,-4.4819455,-11.166556
android.sensor.accelerometer,1538335838197,2004801531493742,9.351752,-4.4196963,-10.936713
android.sensor.accelerometer,1538335838215,2004801551126869,8.020576,-4.3382936,-10.0748005
android.sensor.accelerometer,1538335838236,2004801571292080,6.9383965,-4.247314,-8.939949
android.sensor.accelerometer,1538335838255,2004801591025103,6.042965,-4.390966,-7.52737
android.sensor.accelerometer,1538335838276,2004801611093021,5.0996494,-4.927267,-6.4882865
android.sensor.accelerometer,1538335838295,2004801630804638,3.5051112,-5.583278,-5.094861
android.sensor.accelerometer,1538335838317,2004801650661411,1.7812861,-5.837064,-2.753332
android.sensor.accelerometer,1538335838335,2004801670606517,0.15801731,-5.5401826,0.34955344
android.sensor.accelerometer,1538335838358,2004801691190060,-1.4317327,-4.261679,3.3039982
android.sensor.accelerometer,1538335838377,2004801712819958,-2.695871,-2.2218192,5.0996494
android.sensor.accelerometer,1538335838396,2004801733024388,-3.4955344,-0.5506664,5.5162406
android.sensor.accelerometer,1538335838417,2004801751838296,-4.414908,0.94331545,4.630386
android.sensor.accelerometer,1538335838438,2004801771918350,-4.5058875,1.8818425,4.3287168
android.sensor.accelerometer,1538335838457,2004801791612050,-4.343082,2.7341783,3.9360676
android.sensor.accelerometer,1538335838478,2004801811669031,-3.7588966,3.394978,3.3662477
android.sensor.accelerometer,1538335838497,2004801831392679,-2.432509,3.7110126,2.753332
android.sensor.accelerometer,1538335838518,2004801851462993,-0.90500826,3.8833952,1.6663644
android.sensor.accelerometer,1538335838537,2004801869215911,1.9201498,3.6056678,-0.35913026
android.sensor.accelerometer,1538335838558,2004801891237945,5.947197,3.8546648,-3.86903
android.sensor.accelerometer,1538335838578,2004801910961541,9.23683,3.6487634,-5.535394
android.sensor.accelerometer,1538335838598,2004801931027324,12.512098,3.0789435,-5.4922986
android.sensor.accelerometer,1538335838618,2004801950768993,16.01242,2.087744,-6.766014
android.sensor.accelerometer,1538335838633,2004801969096494,17.956512,0.6368576,-10.357317
android.sensor.accelerometer,1538335838657,2004801990523684,18.373104,-0.20590134,-14.96376
android.sensor.accelerometer,1538335838673,2004802008874415,17.76019,-0.80445176,-17.089811
android.sensor.accelerometer,1538335838697,2004802030292386,17.630901,-1.6759412,-17.041927
android.sensor.accelerometer,1538335838716,2004802050356190,16.773777,-2.4756045,-16.534357
android.sensor.accelerometer,1538335838737,2004802070068640,15.988479,-3.107674,-15.940595
android.sensor.accelerometer,1538335838757,2004802090124059,14.633361,-3.1268275,-16.816874
android.sensor.accelerometer,1538335838777,2004802107971300,13.182474,-2.7820623,-17.329231
android.sensor.accelerometer,1538335838796,2004802128350677,10.994174,-3.2321723,-18.349161
android.sensor.accelerometer,1538335838813,2004802147752033,10.113108,-3.6008794,-17.33402
android.sensor.accelerometer,1538335838836,2004802167814275,9.303867,-3.916914,-15.83525
