Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335822739,2004786047409282,0.63065577,-0.50068957,0.60082746
android.sensor.gyroscope,1538335822739,2004786067280586,0.5603462,-0.30467492,0.5923051
android.sensor.gyroscope,1538335822751,2004786087200120,0.5347791,-0.2077329,0.6114804
android.sensor.gyroscope,1538335822772,2004786107083403,0.59656626,-0.32171968,0.61361104
android.sensor.gyroscope,1538335822791,2004786126978561,0.73931605,-0.5891092,0.5933704
android.sensor.gyroscope,1538335822810,2004786146622209,0.85756403,-0.79471153,0.61041516
android.sensor.gyroscope,1538335822829,2004786166754971,0.9385266,-0.9140248,0.7297284
android.sensor.gyroscope,1538335822853,2004786186583203,1.0205544,-0.9917914,0.9236124
android.sensor.gyroscope,1538335822871,2004786206523048,1.0834069,-0.9523755,1.0695581
android.sensor.gyroscope,1538335822890,2004786226410342,1.0866029,-0.85862935,1.09406
android.sensor.gyroscope,1538335822909,2004786246305865,1.0482522,-0.8671517,1.0386645
android.sensor.gyroscope,1538335822929,2004786266102481,1.0354686,-0.9310695,1.0003139
android.sensor.gyroscope,1538335822952,2004786286070869,1.1334759,-1.1856755,0.9992485
android.sensor.gyroscope,1538335822969,2004786306052642,1.2836828,-1.5137869,1.0557092
android.sensor.gyroscope,1538335822990,2004786325909519,1.4765016,-1.9825176,1.1696961
android.sensor.gyroscope,1538335823010,2004786345745823,1.7705235,-2.7271602,1.348666
android.sensor.gyroscope,1538335823031,2004786365826502,2.2413847,-3.637989,1.5020686
android.sensor.gyroscope,1538335823050,2004786385717233,2.766576,-4.5701237,1.7790459
android.sensor.gyroscope,1538335823069,2004786405594162,3.365273,-5.6641836,2.1220715
android.sensor.gyroscope,1538335823088,2004786425284268,3.8446567,-6.6091022,2.371351
android.sensor.gyroscope,1538335823108,2004786445123957,3.7114944,-6.885014,2.4022446
android.sensor.gyroscope,1538335823128,2004786465092762,3.0605981,-6.4141526,2.2158177
android.sensor.gyroscope,1538335823150,2004786486361097,2.174271,-5.359509,1.8397678
android.sensor.gyroscope,1538335823168,2004786504880995,0.8266704,-3.7423882,1.5457458
android.sensor.gyroscope,1538335823191,2004786524898340,-0.80749506,-2.3873305,1.2634422
android.sensor.gyroscope,1538335823209,2004786544687561,-2.245646,-1.4999381,1.0482522
android.sensor.gyroscope,1538335823228,2004786564387824,-3.1191895,-1.0333381,0.91828597
android.sensor.gyroscope,1538335823248,2004786584384596,-3.5325246,-0.9140248,0.95024484
android.sensor.gyroscope,1538335823272,2004786604316161,-3.7903266,-0.98753023,1.1334759
android.sensor.gyroscope,1538335823293,2004786626282830,-4.083283,-1.2432015,1.3976696
android.sensor.gyroscope,1538335823309,2004786644199446,-4.644695,-1.3721025,1.7311075
android.sensor.gyroscope,1538335823333,2004786665884709,-5.180539,-1.2101773,1.9878441
android.sensor.gyroscope,1538335823349,2004786684068669,-5.532087,-0.95876724,2.1550958
android.sensor.gyroscope,1538335823373,2004786705679765,-5.5374136,-0.6711371,2.1966424
android.sensor.gyroscope,1538335823389,2004786723753673,-5.087858,-0.5315832,2.001693
android.sensor.gyroscope,1538335823412,2004786745454144,-4.4508104,-0.39629045,1.8706614
android.sensor.gyroscope,1538335823433,2004786765274771,-3.921358,-0.21518998,1.8067436
android.sensor.gyroscope,1538335823449,2004786783360137,-3.594312,0.08202787,1.8067436
android.sensor.gyroscope,1538335823459,2004786796203680,-3.522937,0.27058542,1.833376
android.sensor.gyroscope,1538335823479,2004786815444984,-3.383383,0.63065577,1.8823797
android.sensor.gyroscope,1538335823499,2004786834961757,-2.9466114,0.9726161,1.8781185
android.sensor.gyroscope,1538335823519,2004786855018061,-2.0560231,1.2506586,1.890902
android.sensor.gyroscope,1538335823538,2004786874545459,-0.8714129,1.4722403,2.0975697
android.sensor.gyroscope,1538335823559,2004786894805148,0.3185238,1.6991487,2.4171588
android.sensor.gyroscope,1538335823578,2004786914511869,1.3689066,2.0208683,2.722899
android.sensor.gyroscope,1538335823598,2004786934576454,2.2829313,2.4544442,3.0755122
android.sensor.gyroscope,1538335823618,2004786954287081,2.877367,3.0094638,3.3439672
android.sensor.gyroscope,1538335823638,2004786972460989,3.0989487,3.2331762,3.4110808
android.sensor.gyroscope,1538335823659,2004786994123700,3.1096017,2.9711132,3.619879
android.sensor.gyroscope,1538335823679,2004787014127191,3.2512863,2.4938602,3.7573023
android.sensor.gyroscope,1538335823699,2004787033850058,3.806306,1.7438911,3.7615635
android.sensor.gyroscope,1538335823719,2004787053911883,4.6478906,0.78725445,3.6688826
android.sensor.gyroscope,1538335823738,2004787071932718,5.528891,-0.046873067,3.648642
android.sensor.gyroscope,1538335823759,2004787093696887,5.924116,-0.71587956,3.5666142
android.sensor.gyroscope,1538335823777,2004787111672618,5.736624,-1.3635801,3.3024206
android.sensor.gyroscope,1538335823800,2004787133478141,4.9823937,-1.6639938,3.1777809
android.sensor.gyroscope,1538335823820,2004787153175018,4.1269603,-1.7012792,3.095753
android.sensor.gyroscope,1538335823837,2004787173232572,3.5367858,-1.883445,3.0712512
android.sensor.gyroscope,1538335823858,2004787192963459,3.1671278,-2.2307317,3.0275738
android.sensor.gyroscope,1538335823877,2004787213039555,3.003072,-2.8027961,2.874171
android.sensor.gyroscope,1538335823897,2004787232743255,2.8251674,-3.2885716,2.7644455
android.sensor.gyroscope,1538335823916,2004787251106382,2.0421743,-3.0052028,2.916783
android.sensor.gyroscope,1538335823935,2004787270586123,0.6977695,-2.571627,3.0520756
android.sensor.gyroscope,1538335823955,2004787290651490,-0.93000424,-2.195577,3.0307698
android.sensor.gyroscope,1538335823976,2004787312299356,-2.1923811,-1.7556094,2.766576
android.sensor.gyroscope,1538335823997,2004787332358004,-3.0787082,-1.2517239,2.4448564
android.sensor.gyroscope,1538335824016,2004787352079048,-3.7104292,-0.98859555,2.198773
android.sensor.gyroscope,1538335824038,2004787373088894,-4.1844864,-1.1654348,2.116745
android.sensor.gyroscope,1538335824058,2004787391857750,-4.506206,-1.395539,2.1700099
android.sensor.gyroscope,1538335824075,2004787411759106,-4.6148663,-1.6426879,2.2019687
android.sensor.gyroscope,1538335824092,2004787429712389,-4.6308455,-1.6490797,2.1774669
android.sensor.gyroscope,1538335824117,2004787451725204,-4.664935,-1.2559851,2.2658865
android.sensor.gyroscope,1538335824138,2004787471442602,-4.8119464,-0.8703476,2.4171588
android.sensor.gyroscope,1538335824158,2004787491493124,-5.034593,-0.6029581,2.4927948
android.sensor.gyroscope,1538335824179,2004787511190157,-5.2146287,-0.3845722,2.4384646
android.sensor.gyroscope,1538335824197,2004787531256097,-5.1677556,-0.12463974,2.2658865
android.sensor.gyroscope,1538335824216,2004787549669797,-4.846036,0.12144385,2.1668139
android.sensor.gyroscope,1538335824236,2004787569263653,-4.386893,0.50388545,2.1327245
android.sensor.gyroscope,1538335824256,2004787588923394,-3.9884717,0.95876724,2.083721
android.sensor.gyroscope,1538335824277,2004787610820636,-3.7999141,1.3571883,2.127398
android.sensor.gyroscope,1538335824296,2004787630076471,-3.7871306,1.8898368,2.2509725
android.sensor.gyroscope,1538335824316,2004787650587984,-3.7913918,2.8571265,2.3298044
android.sensor.gyroscope,1538335824336,2004787670303611,-3.5719407,4.0193653,2.4768155
android.sensor.gyroscope,1538335824357,2004787691671790,-2.7942739,4.701155,2.7932086
android.sensor.gyroscope,1538335824374,2004787710107573,-1.5148523,4.7767916,3.2299802
android.sensor.gyroscope,1538335824395,2004787730150179,-0.4112046,4.43057,3.74878
android.sensor.gyroscope,1538335824417,2004787749855910,0.19601464,3.8798115,3.9575782
android.sensor.gyroscope,1538335824436,2004787769921589,0.41440052,2.9892232,3.8510485
android.sensor.gyroscope,1538335824454,2004787787815654,0.8277357,2.2147524,3.9543822
android.sensor.gyroscope,1538335824476,2004787809716541,1.1430637,1.9388404,4.1269603
android.sensor.gyroscope,1538335824492,2004787827621022,1.043991,1.9835829,4.2409472
android.sensor.gyroscope,1538335824516,2004787849539462,0.96835494,1.4999381,4.1535926
android.sensor.gyroscope,1538335824534,2004787869198266,1.2357445,0.4868407,3.9128356
android.sensor.gyroscope,1538335824557,2004787889532487,1.646949,-0.19388404,3.8627667
android.sensor.gyroscope,1538335824575,2004787909024937,2.2850618,-0.4953631,3.9586434
android.sensor.gyroscope,1538335824595,2004787929052334,2.8784323,-0.9917914,3.9266846
android.sensor.gyroscope,1538335824615,2004787948759784,2.7836208,-1.3582536,3.706168
android.sensor.gyroscope,1538335824633,2004787968813432,1.9505587,-1.5265706,3.3162694
android.sensor.gyroscope,1538335824653,2004787987033069,0.6956389,-1.1995244,2.9434154
android.sensor.gyroscope,1538335824671,2004788006814947,-0.4559471,-0.72333664,2.460836
android.sensor.gyroscope,1538335824696,2004788028362865,-1.306054,-0.46233886,1.8568126
android.sensor.gyroscope,1538335824713,2004788046581461,-1.8972938,-0.37391922,1.015228
