Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335354717,2004318027879638,-6.006144,-3.7296045,1.883445
android.sensor.gyroscope,1538335354717,2004318047969015,-5.66738,-4.393285,1.592619
android.sensor.gyroscope,1538335354733,2004318067453600,-5.5470014,-5.3754883,1.4136491
android.sensor.gyroscope,1538335354750,2004318087746832,-5.833566,-6.310819,1.442412
android.sensor.gyroscope,1538335354770,2004318107426834,-6.1680694,-6.9787602,1.5862272
android.sensor.gyroscope,1538335354790,2004318127438346,-6.3630185,-7.4112706,1.4935462
android.sensor.gyroscope,1538335354810,2004318147166421,-6.0029483,-7.538041,1.4839586
android.sensor.gyroscope,1538335354829,2004318167236006,-5.2945256,-7.1630564,1.4573262
android.sensor.gyroscope,1538335354850,2004318187000644,-5.132601,-6.006144,1.4029961
android.sensor.gyroscope,1538335354870,2004318207061166,-5.1677556,-4.5807767,1.4860892
android.sensor.gyroscope,1538335354890,2004318226911689,-5.219955,-3.7221475,1.2005897
android.sensor.gyroscope,1538335354909,2004318246910077,-5.343529,-3.4206684,0.760622
android.sensor.gyroscope,1538335354932,2004318266679714,-5.718514,-3.0765777,0.24821419
android.sensor.gyroscope,1538335354952,2004318286676487,-6.0434294,-2.9348931,-0.14807628
android.sensor.gyroscope,1538335354971,2004318306339666,-6.051952,-2.428877,-0.5518238
android.sensor.gyroscope,1538335354992,2004318326655658,-5.826109,-2.1593568,-0.868217
android.sensor.gyroscope,1538335355011,2004318346290087,-5.159233,-2.3628285,-0.9662243
android.sensor.gyroscope,1538335355031,2004318366149411,-4.4838347,-2.658981,-1.022685
android.sensor.gyroscope,1538335355051,2004318386114674,-4.167442,-2.8816283,-1.0780805
android.sensor.gyroscope,1538335355071,2004318406135613,-3.9618392,-3.0073333,-1.0141627
android.sensor.gyroscope,1538335355089,2004318425662490,-3.8542442,-2.6760259,-0.74996907
android.sensor.gyroscope,1538335355111,2004318445782180,-3.8915298,-2.1412468,-0.54649734
android.sensor.gyroscope,1538335355131,2004318465651244,-4.0257573,-1.7737194,-0.5401055
android.sensor.gyroscope,1538335355149,2004318485444580,-4.129091,-1.6320349,-0.57526034
android.sensor.gyroscope,1538335355170,2004318505337030,-4.207923,-1.4626527,-0.595501
android.sensor.gyroscope,1538335355190,2004318525525886,-4.175964,-1.241071,-0.64663523
android.sensor.gyroscope,1538335355210,2004318545229533,-3.8691585,-1.062101,-0.5571503
android.sensor.gyroscope,1538335355230,2004318564890109,-3.4259949,-1.0844723,-0.47618774
android.sensor.gyroscope,1538335355250,2004318584965371,-2.7942739,-1.1441289,-0.5230608
android.sensor.gyroscope,1538335355269,2004318604855894,-2.3095639,-1.2218956,-0.5592809
android.sensor.gyroscope,1538335355293,2004318626490583,-2.073068,-1.1270841,-0.35367858
android.sensor.gyroscope,1538335355312,2004318646526106,-1.7055404,-1.0003139,-0.036220096
android.sensor.gyroscope,1538335355333,2004318666265014,-1.1611737,-0.8905882,0.26206306
android.sensor.gyroscope,1538335355348,2004318684159860,-0.8618252,-0.53690964,0.43570644
android.sensor.gyroscope,1538335355372,2004318706039133,-0.71587956,-0.29828313,0.5933704
android.sensor.gyroscope,1538335355389,2004318724266270,-0.57526034,-0.22903883,0.6999001
android.sensor.gyroscope,1538335355413,2004318745833199,-0.3206544,-0.12783563,0.8639558
android.sensor.gyroscope,1538335355429,2004318764044972,-0.16299044,0.060721926,1.072754
android.sensor.gyroscope,1538335355450,2004318785585807,0.06604841,0.064983115,1.1153659
android.sensor.gyroscope,1538335355472,2004318805648153,0.70629185,-0.3877681,0.89591473
android.sensor.gyroscope,1538335355492,2004318825370082,1.3444047,-0.74783844,0.63065577
android.sensor.gyroscope,1538335355509,2004318843743990,1.5851618,-0.7563608,0.5592809
android.sensor.gyroscope,1538335355533,2004318865151388,1.5702477,-0.54117084,0.64450467
android.sensor.gyroscope,1538335355548,2004318883325088,1.7438911,-0.5241261,0.6583535
android.sensor.gyroscope,1538335355572,2004318904927121,2.2935843,-0.78725445,0.5603462
android.sensor.gyroscope,1538335355590,2004318923198946,2.5396678,-0.74357724,0.50068957
android.sensor.gyroscope,1538335355610,2004318942542646,2.5631044,-0.3781804,0.56780326
android.sensor.gyroscope,1538335355627,2004318962739940,3.0233128,-0.29082605,0.6327864
android.sensor.gyroscope,1538335355644,2004318982462598,4.010843,-0.6615494,0.5145384
android.sensor.gyroscope,1538335355665,2004319002383589,4.506206,-0.4452941,0.44635943
android.sensor.gyroscope,1538335355685,2004319022122654,3.476064,0.12463974,0.868217
android.sensor.gyroscope,1538335355706,2004319042392343,2.8784323,0.6327864,1.2932705
android.sensor.gyroscope,1538335355725,2004319061869689,4.6905026,1.0237503,1.2059162
android.sensor.gyroscope,1538335355745,2004319082072243,7.2568026,1.9217957,0.839454
android.sensor.gyroscope,1538335355765,2004319101880058,9.218015,2.8134491,0.24501829
android.sensor.gyroscope,1538335355785,2004319121989018,10.705169,3.0968182,-0.6295905
android.sensor.gyroscope,1538335355808,2004319141659853,11.744899,3.1458218,-1.3145764
android.sensor.gyroscope,1538335355829,2004319163512564,12.520435,3.541047,-1.5233747
android.sensor.gyroscope,1538335355845,2004319181489180,12.308441,4.257992,-1.5798354
android.sensor.gyroscope,1538335355868,2004319202943089,11.686307,5.1656246,-1.198459
android.sensor.gyroscope,1538335355887,2004319221112309,10.897987,5.948618,-0.7638179
android.sensor.gyroscope,1538335355907,2004319241295957,9.809255,6.514291,0.5784562
android.sensor.gyroscope,1538335355930,2004319261610542,8.9761915,7.5433674,1.8035477
android.sensor.gyroscope,1538335355950,2004319282956638,8.810005,7.321786,2.0858514
android.sensor.gyroscope,1538335355971,2004319302683932,8.804679,6.145698,1.5361582
android.sensor.gyroscope,1538335355985,2004319320861173,7.7361865,4.0055165,1.3380129
android.sensor.gyroscope,1538335356005,2004319340590967,4.7022204,3.4334521,0.7009654
android.sensor.gyroscope,1538335356029,2004319362520865,3.4707375,2.7495315,0.40374753
