Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538335844799,2004808114452418,0.49003658,-1.9239262,0.6157416
android.sensor.gyroscope,1538335844799,2004808134550597,0.43464115,-1.6565367,0.5901745
android.sensor.gyroscope,1538335844818,2004808154418151,0.2844343,-1.1494554,0.5198649
android.sensor.gyroscope,1538335844836,2004808174300237,0.16085984,-0.7510343,0.43677175
android.sensor.gyroscope,1538335844856,2004808194046384,0.15766394,-0.60828453,0.351548
android.sensor.gyroscope,1538335844876,2004808214093626,0.1747087,-0.5571503,0.3494174
android.sensor.gyroscope,1538335844896,2004808233810607,0.14807628,-0.4527512,0.38883337
android.sensor.gyroscope,1538335844918,2004808253844828,0.07883197,-0.3824416,0.4112046
android.sensor.gyroscope,1538335844936,2004808273586809,0.018110048,-0.44849002,0.4527512
android.sensor.gyroscope,1538335844956,2004808293572384,0.039415985,-0.54117084,0.5603462
android.sensor.gyroscope,1538335844976,2004808313289209,0.13422741,-0.5869786,0.58378273
android.sensor.gyroscope,1538335844996,2004808333387336,0.25673655,-0.57952154,0.5283873
android.sensor.gyroscope,1538335845018,2004808353348067,0.4154658,-0.52945256,0.56780326
android.sensor.gyroscope,1538335845038,2004808373379163,0.7307937,-0.68924713,0.8991106
android.sensor.gyroscope,1538335845059,2004808393117706,1.4189755,-1.5521376,1.485024
android.sensor.gyroscope,1538335845077,2004808413152031,2.533276,-3.2949634,2.134855
android.sensor.gyroscope,1538335845096,2004808432712971,3.6944497,-5.8751125,2.6398058
android.sensor.gyroscope,1538335845117,2004808452815369,4.4369617,-8.379625,2.9391541
android.sensor.gyroscope,1538335845136,2004808472510839,4.534969,-9.585542,2.9988108
android.sensor.gyroscope,1538335845155,2004808492523289,3.666752,-9.287259,2.6675036
android.sensor.gyroscope,1538335845176,2004808512191312,1.9899746,-7.692509,2.1487038
android.sensor.gyroscope,1538335845196,2004808532434960,-0.4154658,-5.431949,1.5340276
android.sensor.gyroscope,1538335845217,2004808552248191,-2.92424,-3.3098776,0.86289054
android.sensor.gyroscope,1538335845237,2004808572282203,-4.944043,-1.5894231,0.30680552
android.sensor.gyroscope,1538335845257,2004808592044705,-6.2405095,-0.53371376,0.0074570784
android.sensor.gyroscope,1538335845278,2004808611986634,-6.8296185,-0.15233746,-0.15766394
android.sensor.gyroscope,1538335845297,2004808631816272,-7.0778327,0.012783563,-0.19707993
android.sensor.gyroscope,1538335845316,2004808651687524,-7.0405474,0.15766394,-0.16831692
android.sensor.gyroscope,1538335845339,2004808673269193,-6.8296185,0.39629045,-0.12463974
android.sensor.gyroscope,1538335845358,2004808693329559,-6.4045653,0.70629185,-0.09587672
android.sensor.gyroscope,1538335845379,2004808713071957,-5.8548717,0.8096257,-0.019175345
android.sensor.gyroscope,1538335845399,2004808733153157,-5.2646976,0.52945256,0.15553336
android.sensor.gyroscope,1538335845417,2004808752862690,-4.4433537,0.0085223755,0.44635943
android.sensor.gyroscope,1538335845440,2004808772896025,-3.5208063,-0.44209823,0.80749506
android.sensor.gyroscope,1538335845456,2004808790748267,-2.6611118,-0.65622294,1.2208303
android.sensor.gyroscope,1538335845475,2004808810918113,-1.9388404,-0.46873066,1.6533408
android.sensor.gyroscope,1538335845493,2004808830527229,-1.2943357,-0.06604841,2.1401815
android.sensor.gyroscope,1538335845514,2004808850600200,-0.5944357,0.47938362,2.669634
android.sensor.gyroscope,1538335845534,2004808870318223,0.33130735,1.1015171,3.2406332
android.sensor.gyroscope,1538335845554,2004808890362131,1.434955,1.5872924,3.8371994
android.sensor.gyroscope,1538335845573,2004808910036821,2.4619012,2.083721,4.4827695
android.sensor.gyroscope,1538335845592,2004808929871614,3.031835,2.5886714,4.936586
android.sensor.gyroscope,1538335845614,2004808949885783,3.2907023,2.4800112,4.8066196
android.sensor.gyroscope,1538335845633,2004808969937764,3.960774,1.2645074,4.5509486
android.sensor.gyroscope,1538335845653,2004808989690214,4.789575,-0.63385165,4.5392303
android.sensor.gyroscope,1538335845677,2004809009714851,5.2401958,-2.171075,4.438027
android.sensor.gyroscope,1538335845697,2004809029421885,4.890778,-2.6611118,3.9852757
android.sensor.gyroscope,1538335845718,2004809051340272,3.7104292,-2.2381887,3.4334521
android.sensor.gyroscope,1538335845738,2004809071063816,2.2467113,-1.8418984,2.9402196
android.sensor.gyroscope,1538335845758,2004809091140641,1.3870167,-2.0443048,2.5098395
android.sensor.gyroscope,1538335845778,2004809110067986,1.0834069,-2.8262327,2.2009034
android.sensor.gyroscope,1538335845797,2004809129047467,1.1313454,-3.6369238,2.0283253
android.sensor.gyroscope,1538335845815,2004809150386532,0.7510343,-4.0513244,2.1295285
android.sensor.gyroscope,1538335845836,2004809171095492,-0.42505348,-4.012974,2.4086363
android.sensor.gyroscope,1538335845853,2004809190012838,-1.8163313,-3.8478525,2.4650972
android.sensor.gyroscope,1538335845876,2004809210465444,-2.9039993,-3.439844,2.321282
android.sensor.gyroscope,1538335845898,2004809230202061,-3.6848621,-2.8688447,2.073068
android.sensor.gyroscope,1538335845916,2004809250270500,-4.501945,-2.3361962,1.8376372
android.sensor.gyroscope,1538335845936,2004809269970815,-5.395729,-1.8024824,1.6117942
android.sensor.gyroscope,1538335845956,2004809288675191,-6.2085505,-0.94278777,1.4370855
android.sensor.gyroscope,1538335845974,2004809309747173,-7.100204,0.46127358,1.5691824
android.sensor.gyroscope,1538335845992,2004809328143216,-8.079212,1.8962286,1.610729
android.sensor.gyroscope,1538335846017,2004809349524833,-8.7439575,3.0009415,1.3252294
android.sensor.gyroscope,1538335846033,2004809369597752,-8.661929,3.4238644,0.98007315
android.sensor.gyroscope,1538335846058,2004809389456920,-7.7297945,2.9828315,0.77020967
android.sensor.gyroscope,1538335846077,2004809409366401,-6.106282,2.160422,0.60402334
android.sensor.gyroscope,1538335846093,2004809429079424,-4.4678555,1.4370855,0.6903124
android.sensor.gyroscope,1538335846115,2004809449145312,-3.221458,0.8596946,1.015228
android.sensor.gyroscope,1538335846134,2004809468860522,-2.2680173,0.49749365,1.3209682
android.sensor.gyroscope,1538335846157,2004809488922503,-1.3092499,0.39948636,1.6320349
